outer_fold,trial,learning_rate,max_iter,max_leaf_nodes,l2_regularization,inner_macro_f1_mean
2,79,0.1,200,31,0.1,0.889685893295404
2,80,0.1,200,31,1.0,0.889685893295404
3,0,0.03,50,7,0.0,0.8967598332519406
3,1,0.03,50,7,0.1,0.8967598332519406
3,2,0.03,50,7,1.0,0.8968561568399203
3,3,0.03,50,15,0.0,0.8967598332519406
3,4,0.03,50,15,0.1,0.8967598332519406
3,5,0.03,50,15,1.0,0.8968561568399203
3,6,0.03,50,31,0.0,0.8967598332519406
3,7,0.03,50,31,0.1,0.8967598332519406
3,8,0.03,50,31,1.0,0.8968561568399203
3,9,0.03,100,7,0.0,0.8967598332519406
3,10,0.03,100,7,0.1,0.8967598332519406
3,11,0.03,100,7,1.0,0.8967598332519406
3,12,0.03,100,15,0.0,0.8967598332519406
3,13,0.03,100,15,0.1,0.8967598332519406
3,14,0.03,100,15,1.0,0.8967598332519406
3,15,0.03,100,31,0.0,0.8967598332519406
3,16,0.03,100,31,0.1,0.8967598332519406
3,17,0.03,100,31,1.0,0.8967598332519406
3,18,0.03,200,7,0.0,0.8919730891216154
3,19,0.03,200,7,0.1,0.8919730891216154
3,20,0.03,200,7,1.0,0.8967598332519406
3,21,0.03,200,15,0.0,0.8919730891216154
3,22,0.03,200,15,0.1,0.8919730891216154
3,23,0.03,200,15,1.0,0.8967598332519406
3,24,0.03,200,31,0.0,0.8919730891216154
3,25,0.03,200,31,0.1,0.8919730891216154
3,26,0.03,200,31,1.0,0.8967598332519406
3,27,0.05,50,7,0.0,0.8967598332519406
3,28,0.05,50,7,0.1,0.8967598332519406
3,29,0.05,50,7,1.0,0.8967598332519406
3,30,0.05,50,15,0.0,0.8967598332519406
3,31,0.05,50,15,0.1,0.8967598332519406
3,32,0.05,50,15,1.0,0.8967598332519406
3,33,0.05,50,31,0.0,0.8967598332519406
3,34,0.05,50,31,0.1,0.8967598332519406
3,35,0.05,50,31,1.0,0.8967598332519406
3,36,0.05,100,7,0.0,0.8919730891216154
3,37,0.05,100,7,0.1,0.8919730891216154
3,38,0.05,100,7,1.0,0.8967598332519406
3,39,0.05,100,15,0.0,0.8919730891216154
3,40,0.05,100,15,0.1,0.8919730891216154
3,41,0.05,100,15,1.0,0.8967598332519406
3,42,0.05,100,31,0.0,0.8919730891216154
3,43,0.05,100,31,0.1,0.8919730891216154
3,44,0.05,100,31,1.0,0.8967598332519406
3,45,0.05,200,7,0.0,0.8764304588303352
3,46,0.05,200,7,0.1,0.8776483789569104
3,47,0.05,200,7,1.0,0.88838188253237
3,48,0.05,200,15,0.0,0.8764304588303352
3,49,0.05,200,15,0.1,0.8776483789569104
3,50,0.05,200,15,1.0,0.88838188253237
3,51,0.05,200,31,0.0,0.8764304588303352
3,52,0.05,200,31,0.1,0.8776483789569104
3,53,0.05,200,31,1.0,0.88838188253237
3,54,0.1,50,7,0.0,0.8919730891216154
3,55,0.1,50,7,0.1,0.8919730891216154
3,56,0.1,50,7,1.0,0.8967598332519406
3,57,0.1,50,15,0.0,0.8919730891216154
3,58,0.1,50,15,0.1,0.8919730891216154
3,59,0.1,50,15,1.0,0.8967598332519406
3,60,0.1,50,31,0.0,0.8919730891216154
3,61,0.1,50,31,0.1,0.8919730891216154
3,62,0.1,50,31,1.0,0.8967598332519406
3,63,0.1,100,7,0.0,0.8728392522410898
3,64,0.1,100,7,0.1,0.8812395855461558
3,65,0.1,100,7,1.0,0.88838188253237
3,66,0.1,100,15,0.0,0.8728392522410898
3,67,0.1,100,15,0.1,0.8812395855461558
3,68,0.1,100,15,1.0,0.88838188253237
3,69,0.1,100,31,0.0,0.8728392522410898
3,70,0.1,100,31,0.1,0.8812395855461558
3,71,0.1,100,31,1.0,0.88838188253237
3,72,0.1,200,7,0.0,0.8694525174302065
3,73,0.1,200,7,0.1,0.8694525174302065
3,74,0.1,200,7,1.0,0.8742565775198933
3,75,0.1,200,15,0.0,0.8694525174302065
3,76,0.1,200,15,0.1,0.8694525174302065
3,77,0.1,200,15,1.0,0.8742565775198933
3,78,0.1,200,31,0.0,0.8694525174302065
3,79,0.1,200,31,0.1,0.8694525174302065
3,80,0.1,200,31,1.0,0.8742565775198933
4,0,0.03,50,7,0.0,0.8975431923898675
