config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
7c94963a0a75524d,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.2,0.1,0.25,0.2536477869305616,0.43403742125617284,0.5199735216201434,0.24158758746247888,0.11388611388611389,4,0.5668191056910569,False
566f19bbd91beb81,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.0,0.0,0.2329583994132386,0.7084272364061305,0.3606246376728046,0.2355468154287644,0.10472279260780287,4,0.48787446504992865,False
5d50e1b5021e360c,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.0,0.15,0.22404911120719448,0.6745726411264821,0.35893450494418006,0.23176586404052554,0.09827213822894168,4,0.5021289091176039,False
99dd5ebc681fb0e3,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.0,0.25,0.22094976872723507,0.6210409869415848,0.3837437205552314,0.2371835806925593,0.1006590772917915,4,0.5445844632317755,False
89cdccf7e2d086d3,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.02,0.0,0.2400070646249253,0.6582509145975411,0.39961461290468964,0.23375706558883316,0.10696095076400679,4,0.48867212083071115,False
429ed5ebdd3308d5,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.02,0.15,0.23038464052967153,0.6243963193178929,0.3979244801760651,0.2297894334284947,0.09994015559545183,4,0.5044664609387689,False
3d2c621d90aa9f59,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.02,0.25,0.22758280885229587,0.5709713317996622,0.42273369578711645,0.23541201921438581,0.09866102889358704,4,0.5520926090828139,False
1d6a691322981a26,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.05,0.0,0.2505204456107507,0.5926895196036175,0.4456020575284338,0.23563474792957984,0.1091026468689477,4,0.4871379744558374,False
7d511c15f6fa8870,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.05,0.15,0.24021891733455722,0.5601214157911687,0.44380996381166904,0.2314795171443761,0.10191518467852258,4,0.5043769789532502,False
31cdc50801c06ae3,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.05,0.25,0.2380631962380119,0.5066964282729381,0.46855032817019365,0.23612725157135828,0.1035923141186299,4,0.5596520298260149,False
2493432bcf6af7f0,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.1,0.0,0.26403811464973764,0.511973342424445,0.49812715746810005,0.23742796781555076,0.10966693744922827,4,0.48471710383698247,False
d2b06000c0173c3e,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.1,0.15,0.25421422128171994,0.4872482845534707,0.4951980856254174,0.23322207573613318,0.10819949281487742,4,0.49955317247542447,False
7e88ce3a0e442ce3,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.4,0.1,0.25,0.2536477869305616,0.43403742125617284,0.5199735216201434,0.24158758746247888,0.11388611388611389,4,0.5668191056910569,False
e7b88be442b6828d,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.0,0.0,0.2265442359079434,0.6866148824207613,0.3572475299034032,0.23254069228915544,0.09491347666491871,4,0.49536634810309876,False
38f4fda3d626cbbd,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.0,0.15,0.22194375426783633,0.6680166309901999,0.3575222172912506,0.23069496750781135,0.0969139144558744,4,0.5045722713864307,False
3a4145b3b032c553,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.0,0.25,0.22016146632174763,0.6188929245322489,0.38322602027063013,0.23676471941353228,0.10011990407673861,4,0.5455271565495208,False
085b7c869743faa6,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.02,0.0,0.23303463180337844,0.6365468912372397,0.396133869445368,0.23055941513585054,0.09617612977983778,4,0.4969619443556124,False
