config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
3934cffaf2fa0110,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.15,0.23384070108649266,0.31547639715454373,0.5391720622933293,0.17176053606871766,0.1,4,0.49603567888999006,False
5b4606648d310a72,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.25,0.2291800414017328,0.27617051342242516,0.5555767433420008,0.17876657777756808,0.10465116279069768,4,0.5578338590956887,False
1af70fb253025f6a,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.0,0.2116883134671419,0.4777513354946088,0.4187512432749636,0.16518062800154143,0.08830275229357798,4,0.48993487270574304,False
5bb77e52f6b6bf4d,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.15,0.19969822126944123,0.449100055470628,0.4146683630068721,0.15719567039633178,0.0863905325443787,4,0.5036518563603165,False
5f8edd3f054503f9,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.25,0.19407179637888516,0.4097941717385094,0.4311260213812482,0.16006570795684547,0.08758169934640522,4,0.5401436031331592,False
44f7a64efa02a0c7,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.0,0.21847482323024614,0.44129441464277613,0.4528961460835456,0.16973149113948968,0.08756345177664974,4,0.49420721615359153,False
666d73b1ada18468,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.15,0.20527640800761895,0.4126431346187955,0.44881326581545417,0.16114462363456028,0.08541392904073587,4,0.509730283373165,False
2feb8265665bd6f8,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.25,0.1994389933912142,0.37333725088667685,0.4652179468641256,0.16541984480468977,0.08663729809104258,4,0.5515330624307351,False
0a713dd826a2a5c0,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.0,0.23304498996535652,0.394695678711351,0.49765450467888067,0.176387127580214,0.09172932330827067,4,0.48458837300039015,False
062be06895462a7e,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.15,0.2181551599321919,0.36637467712919564,0.4935186470850846,0.16715547308126358,0.0904836193447738,4,0.5022240194096239,False
e1b165f8bea047d6,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.25,0.2127042242969451,0.32706879339707706,0.5099233281337562,0.17333176386988502,0.09269162210338681,4,0.5552288954220915,False
83013d48f455a0e8,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.1,0.0,0.24922993672993674,0.3384785748191723,0.5438843982631586,0.18146411293492984,0.09980806142034548,4,0.48125,False
6fa955a878fef7c0,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.1,0.15,0.23384070108649266,0.31547639715454373,0.5391720622933293,0.17176053606871766,0.1,4,0.49603567888999006,False
8c7061c7fa34198d,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.1,0.25,0.2291800414017328,0.27617051342242516,0.5555767433420008,0.17876657777756808,0.10465116279069768,4,0.5578338590956887,False
3a961744f864f7d5,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.6,0.0,0.0,0.20594236368398547,0.4642976209964404,0.4165291815192154,0.16142487480198464,0.08478513356562137,4,0.496996996996997,False
