dataset,fold,information_level,model,seed,epochs_run,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,1,S1,LR,42,24,0.7216209574665449,0.8834467120181406,0.59375,0.6551724137931034,0.5428571428571428,0.9206349206349206,0.8385093167701864,0.7317460317460317,0.138799285294061,0.1526097307004821,0.6069479394636015,0.6483129033766615,0.71,19,10,116,16,161,0.217391304347826
uci,1,S1,RF,42,24,0.7737206994259208,0.9163265306122448,0.6933333333333334,0.65,0.7428571428571429,0.8888888888888888,0.8571428571428571,0.8158730158730159,0.1037864801263995,0.099136329302275,0.5954440278849471,0.6004689851963544,0.55,26,14,112,9,161,0.217391304347826
uci,1,S2,Hybrid,42,24,0.8831895524562453,0.9580498866213152,0.7631578947368421,0.7073170731707317,0.8285714285714286,0.9047619047619048,0.8881987577639752,0.8666666666666667,0.096722393681834,0.1022101327652539,0.167014091466721,0.0455033961311485,0.79,29,12,114,6,161,0.217391304347826
uci,1,S2,LR,42,24,0.8343061211828842,0.9263038548752834,0.72,0.675,0.7714285714285715,0.8968253968253969,0.8695652173913043,0.8341269841269842,0.1040751872277839,0.1320390018782005,0.5822473822270743,0.6534132983307215,0.59,27,13,113,8,161,0.217391304347826
uci,1,S2,RF,42,24,0.9106959914278911,0.9700680272108844,0.8205128205128205,0.7441860465116279,0.9142857142857144,0.9126984126984128,0.9130434782608696,0.9134920634920636,0.0649384125454651,0.1170448975287586,0.5414661528214839,0.5199775101366224,0.46,32,11,115,3,161,0.217391304347826
uci,2,S0,Hybrid,42,14,0.533708585839276,0.7797348484848484,0.5393258426966292,0.4897959183673469,0.6,0.8106060606060606,0.7616279069767442,0.7053030303030303,0.1866295101134021,0.2103266730731309,0.8994082165158203,0.9331159504443608,0.56,24,25,107,16,172,0.2325581395348837
uci,2,S0,LR,42,14,0.5346583466439405,0.775,0.3076923076923077,0.6666666666666666,0.2,0.9696969696969696,0.7906976744186046,0.5848484848484848,0.1714844762720648,0.1412690881325668,0.6803008173230783,0.7589456191422426,0.82,8,4,128,32,172,0.2325581395348837
uci,2,S0,RF,42,14,0.5236966284176295,0.7839015151515152,0.4193548387096774,0.5909090909090909,0.325,0.9318181818181818,0.7906976744186046,0.6284090909090909,0.1476263026059071,0.0665827798873705,0.7312878961391929,0.7973027451001211,0.42,13,9,123,27,172,0.2325581395348837
uci,2,S1,Hybrid,42,14,0.8871631222036671,0.9520833333333332,0.7945205479452054,0.8787878787878788,0.725,0.9696969696969696,0.9127906976744186,0.8473484848484849,0.0737634092765213,0.0659694097892836,0.3756654314650425,0.257169575071553,0.65,29,4,128,11,172,0.2325581395348837
uci,2,S1,LR,42,14,0.8426007103484854,0.9320075757575758,0.5964912280701754,1.0,0.425,1.0,0.8662790697674418,0.7125,0.0910501683461097,0.1012864274116297,0.5585600468900215,0.5711368622374351,0.82,17,0,132,23,172,0.2325581395348837
uci,2,S1,RF,42,14,0.8730173076159022,0.9528409090909092,0.7741935483870968,0.6792452830188679,0.9,0.8712121212121212,0.877906976744186,0.8856060606060606,0.0785864277231035,0.0778119780047428,0.5175269857460438,0.4335028229443721,0.32,36,17,115,4,172,0.2325581395348837
uci,2,S2,Hybrid,42,14,0.9159822835183238,0.968560606060606,0.8,0.6909090909090909,0.95,0.8712121212121212,0.8895348837209303,0.9106060606060606,0.0588018623307758,0.064828613762159,0.3631698525611124,0.225344856763873,0.21,38,17,115,2,172,0.2325581395348837
uci,2,S2,LR,42,14,0.8379480235406227,0.9327651515151516,0.6229508196721312,0.9047619047619048,0.475,0.9848484848484848,0.8662790697674418,0.7299242424242425,0.0911941244066972,0.0774562046849601,0.5254464252663195,0.4740420417911689,0.74,19,2,130,21,172,0.2325581395348837
uci,2,S2,RF,42,14,0.9013033568566092,0.9583333333333331,0.7222222222222222,0.8125,0.65,0.9545454545454546,0.8837209302325582,0.8022727272727272,0.0678057133143841,0.076393415718231,0.4669122529732256,0.3628905759835446,0.56,26,6,126,14,172,0.2325581395348837
uci,3,S0,Hybrid,42,23,0.4684285909523423,0.7571059431524547,0.4859813084112149,0.3661971830985915,0.7222222222222222,0.6511627906976745,0.6666666666666666,0.6866925064599483,0.2071643565752026,0.2041873136704618,0.6980660664434497,0.7337121379798293,0.39,26,45,84,10,165,0.2181818181818181
uci,3,S0,LR,42,23,0.4534126850232584,0.7273901808785529,0.4565217391304347,0.375,0.5833333333333334,0.7286821705426356,0.696969696969697,0.6560077519379846,0.2194002625209855,0.2101186768236485,0.6820192173572045,0.7300808020264293,0.55,21,35,94,15,165,0.2181818181818181
