candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
A1,2,42,60,39,39,True,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A1,2,123,60,17,17,True,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A1,2,155,60,25,25,True,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,2,42,60,31,31,True,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,2,123,34,24,24,False,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,2,155,42,32,32,False,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N0,3,42,38,28,28,False,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,3,123,21,11,11,False,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,3,155,60,46,46,True,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,3,42,40,32,32,True,253,True,True,True,"{""learning_rate"": 0.009477856970467742, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
