dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,threshold_grid,calibrate_temperature,prediction_mode,threshold_low,temperature,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
xapi,xapi,xapi_gated_k1_c64_h32,xapi_gated_fusion_v30,fusion,False,,1,64,32,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.44999999999999996,1.0,0.8711443730047105,0.765625,0.7662269934194278,0.7874966724327369,0.774002634340187,0.9306930693069307,0.8703703703703703,2.955728019456459,0.5997116436313015,0.7620950185774534,0.765625,0.7662269934194278,0.7874966724327369,0.774002634340187,0.9306930693069307,0.8703703703703703,2.955728019456459,0.5997116436313015,0.7620950185774534,0.765625,0.00637887953849786,0.766366932287985,0.006076991592143005,0.7875290201141594,0.008272660279701137,0.7739627467993485,0.006725917332784454,0.9307783719548426,0.013464372184937226,0.8703542921659843,0.006687926533525417,2.9537957435831443,0.10685892658127447,0.5998183868106673,0.027355510746858998,False
xapi,xapi,xapi_gated_k1_c64_h32,xapi_gated_fusion_v30,fusion,False,,1,64,32,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.15,1.0,0.929983498349835,0.7265625,0.7279491081265336,0.7618947039518651,0.7318105035741732,0.9603960396039604,0.8083333333333333,3.410977224344953,0.46690862086109175,0.7620950185774534,0.7265625,0.7279491081265336,0.7618947039518651,0.7318105035741732,0.9603960396039604,0.8083333333333333,3.410977224344953,0.46690862086109175,0.7620950185774534,0.7265625,0.01275775907699572,0.7284792967183784,0.010630732554538835,0.7618971299311857,0.00993388453800656,0.7317592643337562,0.012711746592873269,0.960190136660725,0.02815922902215753,0.8084836973725862,0.03141408352024128,3.4069951654095143,0.16477125925414077,0.46646131179655864,0.05646711172845211,False
xapi,xapi,xapi_gated_k1_c64_h32,xapi_gated_fusion_v30,fusion,False,,1,64,32,ce,True,none,0.15,64,,standard,False,balanced_low_macro,0.42499999999999993,1.0,0.8375927562544573,0.7630208333333334,0.76287519838574,0.7868522292901977,0.7710985284680447,0.9405940594059405,0.867579908675799,2.9772356795636226,0.5938649696728646,0.7620950185774534,0.7630208333333334,0.76287519838574,0.7868522292901977,0.7710985284680447,0.9405940594059405,0.867579908675799,2.9772356795636226,0.5938649696728646,0.7620950185774534,0.7630208333333334,0.003682847818679935,0.7630167388074415,0.0028413472604575775,0.7868635492474502,0.006032336456409543,0.7710122593455928,0.003664220040737499,0.94058229352347,0.02402930214366155,0.8674074074074074,0.008904307614941688,2.9758592711471703,0.09052010823070336,0.5939063361057835,0.023731706721290644,False
xapi,xapi,xapi_seq_k1_c64_h64,xapi_sequence_only_v30,sequence,False,,1,64,64,ce,True,none,0.15,64,,standard,False,argmax,,1.0,0.6270445405140667,0.625,0.6406151588168333,0.6817619164594753,0.6270445405140667,0.900990099009901,0.774468085106383,3.985814690875631,0.27208909217460464,0.6548493975943112,0.625,0.6406151588168333,0.6817619164594753,0.6270445405140667,0.900990099009901,0.774468085106383,3.985814690875631,0.27208909217460464,0.6548493975943112,0.625,0.0318943976924893,0.6446771523450034,0.0429096323712763,0.6818310258712735,0.03544535926951519,0.6267557099427566,0.028568032048070378,0.9010695187165775,0.013279558311721337,0.7745320783295466,0.014921591130702933,3.9828480054468893,0.1537547251558044,0.2718308660632346,0.05795044545560225,False
xapi,xapi,xapi_seq_k1_c64_h64,xapi_sequence_only_v30,sequence,False,,1,64,64,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.44999999999999996,1.0,0.7802903980446368,0.6276041666666666,0.644268077601411,0.6850622464924786,0.6293810954842329,0.9108910891089109,0.7796610169491526,3.9697751300713917,0.2779357661330416,0.6548493975943112,0.6276041666666666,0.644268077601411,0.6850622464924786,0.6293810954842329,0.9108910891089109,0.7796610169491526,3.9697751300713917,0.2779357661330416,0.6548493975943112,0.6276041666666666,0.02876396098225849,0.647461944713129,0.039336407493596764,0.6850989997274827,0.031200925191638907,0.6290258485021855,0.02598844000731084,0.9108734402852049,0.0012604398951631913,0.7797251974467164,0.014883890450696217,3.9672100211055237,0.14268577985644934,0.2776456550221816,0.05450665156398108,False
xapi,xapi,xapi_seq_k1_c64_h64,xapi_sequence_only_v30,sequence,False,,1,64,64,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.125,1.0,0.9187830783078308,0.578125,0.624247400109469,0.6555545619962183,0.5561756925919475,0.9702970297029703,0.7127272727272728,4.561643755270681,0.04657452520632377,0.6548493975943112,0.578125,0.624247400109469,0.6555545619962183,0.5561756925919475,0.9702970297029703,0.7127272727272728,4.561643755270681,0.04657452520632377,0.6548493975943112,0.578125,0.0229993772560621,0.6289143543975239,0.04768615538694693,0.6554811717350417,0.02474819729067892,0.5555720763776133,0.02007612434435982,0.9699940582293524,0.024745887608982508,0.7125226231609211,0.016729010952921453,4.5587872143853625,0.16140905785159698,0.04636511358890383,0.06868799666099028,False
xapi,xapi,xapi_seq_k1_c64_h64,xapi_sequence_only_v30,sequence,False,,1,64,64,ce,True,none,0.15,64,,standard,False,balanced_low_macro,0.44999999999999996,1.0,0.7373285742566323,0.6276041666666666,0.644268077601411,0.6850622464924786,0.6293810954842329,0.9108910891089109,0.7796610169491526,3.9697751300713917,0.2779357661330416,0.6548493975943112,0.6276041666666666,0.644268077601411,0.6850622464924786,0.6293810954842329,0.9108910891089109,0.7796610169491526,3.9697751300713917,0.2779357661330416,0.6548493975943112,0.6276041666666666,0.02876396098225849,0.647461944713129,0.039336407493596764,0.6850989997274827,0.031200925191638907,0.6290258485021855,0.02598844000731084,0.9108734402852049,0.0012604398951631913,0.7797251974467164,0.014883890450696217,3.9672100211055237,0.14268577985644934,0.2776456550221816,0.05450665156398108,False
xapi,xapi,xapi_gated_k1_c64_h64,xapi_gated_fusion_v30,fusion,False,,1,64,64,ce,True,none,0.15,64,,standard,False,argmax,,1.0,0.7671457106885002,0.7578125,0.7622734135923585,0.7838804590518224,0.7671457106885002,0.8910891089108911,0.8530805687203792,3.0197914870070086,0.5821716217559908,0.8026953049837298,0.7578125,0.7622734135923585,0.7838804590518224,0.7671457106885002,0.8910891089108911,0.8530805687203792,3.0197914870070086,0.5821716217559908,0.8026953049837298,0.7578125,0.019136638615493577,0.7623246714176958,0.01815264201291251,0.7839360358710205,0.01636742868624123,0.7669597067314088,0.018744433590179833,0.8909685086155674,0.03703730182087877,0.8526800092017485,0.026068652090655692,3.0156077488569886,0.1589041536074069,0.5819621462137875,0.044744713355700245,False
xapi,xapi,xapi_gated_k1_c64_h64,xapi_gated_fusion_v30,fusion,False,,1,64,64,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.475,1.0,0.8498209751245839,0.7552083333333334,0.7592820459243739,0.7819080724640511,0.7643713509989226,0.8910891089108911,0.8490566037735849,3.040846065105346,0.5763249477975538,0.8026953049837298,0.7552083333333334,0.7592820459243739,0.7819080724640511,0.7643713509989226,0.8910891089108911,0.8490566037735849,3.040846065105346,0.5763249477975538,0.8026953049837298,0.7552083333333334,0.01948779888944761,0.7592305835409993,0.018391128609445244,0.7819519088868935,0.017151048672953445,0.7642017814442995,0.01921665094171947,0.8909685086155674,0.03703730182087877,0.8486772486772488,0.0284339234762844,3.0358182499088513,0.1747922915549393,0.5761473572548406,0.04887284939738306,False
xapi,xapi,xapi_gated_k1_c64_h64,xapi_gated_fusion_v30,fusion,False,,1,64,64,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.1,1.0,0.9247684445863942,0.7109375,0.723282598411067,0.7576731045885654,0.7133292599474425,0.9603960396039604,0.782258064516129,3.613397379890565,0.40175996818136617,0.8026953049837298,0.7109375,0.723282598411067,0.7576731045885654,0.7133292599474425,0.9603960396039604,0.782258064516129,3.613397379890565,0.40175996818136617,0.8026953049837298,0.7109375,0.02209708691207961,0.7245861231737974,0.017363597650998316,0.7576504020002472,0.01508958224969587,0.7132063176663621,0.023720397795145898,0.960190136660725,0.02815922902215753,0.783329954366159,0.026298354839177137,3.6101545719775494,0.15305094390299165,0.4015478606289215,0.05181082825758428,False
xapi,xapi,xapi_gated_k1_c64_h64,xapi_gated_fusion_v30,fusion,False,,1,64,64,ce,True,none,0.15,64,,standard,False,balanced_low_macro,0.25,1.0,0.8178722451096799,0.7421875,0.7455231597452586,0.7786858567513556,0.7487807938497228,0.9405940594059405,0.8333333333333334,3.195761352948621,0.5320572735408173,0.8026953049837298,0.7421875,0.7455231597452586,0.7786858567513556,0.7487807938497228,0.9405940594059405,0.8333333333333334,3.195761352948621,0.5320572735408173,0.8026953049837298,0.7421875,0.016876928902103804,0.7460402392410012,0.01462681802917685,0.7787878043296,0.011730182777805985,0.7486534378199846,0.017457910295276255,0.94058229352347,0.02402930214366155,0.8333918333918334,0.021439453381554795,3.1914177599109497,0.16656322140549581,0.5316764728699592,0.05220368469526096,False
xapi,xapi,xapi_seq_k2_c16_h32,xapi_sequence_only_v30,sequence,False,,2,16,32,ce,True,none,0.15,64,,standard,False,argmax,,1.0,0.6486003774787996,0.6458333333333334,0.6593570259705889,0.697541009161645,0.6486003774787996,0.900990099009901,0.7679324894514767,3.9539174930272214,0.28369295018395135,0.567072056360581,0.6458333333333334,0.6593570259705889,0.697541009161645,0.6486003774787996,0.900990099009901,0.7679324894514767,3.9539174930272214,0.28369295018395135,0.567072056360581,0.6458333333333334,0.025779934730759544,0.6634607640421594,0.029727233024688625,0.6974255677816049,0.022838743259677045,0.6494291528116879,0.025423144895070682,0.9010695187165775,0.013279558311721337,0.7705216528745941,0.046167754830890265,3.945425825429568,0.25899536231384346,0.28302259003076896,0.09798742501285153,False
