dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.38868497039103406, 0.3865165711007496, 0.40442294655453565]",0.39320816268210645,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.4539025486737905, 0.4094784294489991, 0.43193179729287445]",0.4317709251385547,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.41698511288573403, 0.40953346855983774, 0.4207598903251077]",0.4157594905902265,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.4643432252127904, 0.3889748907127766, 0.40604604038547626]",0.41978805210368103,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.44904644904644897, 0.41554666875767793, 0.4383453583453583]",0.4343128253831617,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4734896943852167, 0.42957242957242964, 0.4448123423824358]",0.4492914887800274,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.3790849673202614, 0.34986946076184927, 0.42498240294547623]",0.38464561034252903,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5045310245310245, 0.45344251757848975, 0.4672683559281497]",0.47508063267922135,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.451713718380385, 0.41948884448884455, 0.46738738738738744]",0.446196650085539,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.5196999006885904, 0.3947980647501909, 0.44894400154301145]",0.4544806556605976,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,6,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.3870748299319728, 0.3555184256938643, 0.42498240294547623]",0.38919188619043776,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,7,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.47388167388167385, 0.46943251312445206, 0.46780850335927093]",0.47037423012179896,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,0,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4328056709460884, 0.32765151515151514, 0.4132804132804133]",0.39124586645933895,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,1,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.45745533769063185, 0.35121832160436073, 0.4203367003367003]",0.40967011987723095,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,2,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.46489869660601363, 0.34113877470426685, 0.4370370370370371]",0.41435816944910586,,False
