dataset,scenario,model_id,outer_fold,selected_params,selected_inner_macro_f1,outer_rows_used_for_selection
student_mat,S2_LATE_G1_G2,random_forest,1,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9045189488642648,False
student_mat,S2_LATE_G1_G2,xgboost,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.8989190376232795,False
student_mat,S2_LATE_G1_G2,mlp,1,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}",0.8506168877776097,False
student_mat,S2_LATE_G1_G2,decision_tree,1,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 5}",0.9064498361787452,False
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,1,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.8937500720689996,False
student_mat,S2_LATE_G1_G2,svm,1,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.8584811634095822,False
student_mat,S2_LATE_G1_G2,logistic_regression,2,"{""C"": 0.1, ""class_weight"": null}",0.8846802167085186,False
student_mat,S2_LATE_G1_G2,random_forest,2,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.9033754987082886,False
student_mat,S2_LATE_G1_G2,xgboost,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.8956478152905273,False
student_mat,S2_LATE_G1_G2,mlp,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}",0.8451583529507447,False
student_mat,S2_LATE_G1_G2,decision_tree,2,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5}",0.8999480361549327,False
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,2,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.8818537655944795,False
student_mat,S2_LATE_G1_G2,svm,2,"{""C"": 2.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.8684707740327554,False
student_mat,S2_LATE_G1_G2,logistic_regression,3,"{""C"": 10.0, ""class_weight"": null}",0.8567785034823053,False
student_mat,S2_LATE_G1_G2,random_forest,3,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.904760160151124,False
student_mat,S2_LATE_G1_G2,xgboost,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",0.8935475342323108,False
student_mat,S2_LATE_G1_G2,mlp,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8528308717211929,False
student_mat,S2_LATE_G1_G2,decision_tree,3,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.89490650795012,False
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,3,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.8734459896926908,False
student_mat,S2_LATE_G1_G2,svm,3,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.8630902840019475,False
student_mat,S2_LATE_G1_G2,logistic_regression,4,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.8588789595445664,False
student_mat,S2_LATE_G1_G2,random_forest,4,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9000968149074504,False
student_mat,S2_LATE_G1_G2,xgboost,4,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.8839179933921608,False
student_mat,S2_LATE_G1_G2,mlp,4,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}",0.849942766693594,False
student_mat,S2_LATE_G1_G2,decision_tree,4,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.9053181468602668,False
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.877123428208702,False
student_mat,S2_LATE_G1_G2,svm,4,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.8546598030726648,False
student_mat,S0_EARLY_NO_GRADE,decision_tree,0,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5}",0.4275902116192497,False
student_mat,S0_EARLY_NO_GRADE,decision_tree,1,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.4374641819710795,False
student_mat,S0_EARLY_NO_GRADE,decision_tree,2,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5}",0.418820785321415,False
student_mat,S0_EARLY_NO_GRADE,decision_tree,3,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.3925768319393936,False
student_mat,S0_EARLY_NO_GRADE,decision_tree,4,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.3816487287148604,False
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.462895304057378,False
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,1,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.4530594030026214,False
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.4063812550380603,False
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,3,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.3970919362187593,False
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.4056492197515684,False
student_mat,S0_EARLY_NO_GRADE,svm,0,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.4022349124029742,False
