dataset,scenario,model_id,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,confusion_matrix,seed_mean_macro_f1,seed_std_macro_f1,seed_min_macro_f1,seed_max_macro_f1,low_precision,low_recall,low_f1,low_support,medium_precision,medium_recall,medium_f1,medium_support,high_precision,high_recall,high_f1,high_support
student_mat,S1_MID_G1_ONLY,logistic_regression,Logistic Regression,0.739240506329114,0.7440891728134879,0.7447091147949644,0.7440891728134879,0.7443938512431663,0.7392419281026875,0.7975688073848212,0.8876736718777778,0.36213819076519593,0.5710352563689901,0.05289523125136182,"[[95, 35, 0], [34, 141, 17], [0, 17, 56]]",0.7443938512431663,0.0,0.7443938512431663,0.7443938512431663,0.7364341085271318,0.7307692307692307,0.7335907335907336,130,0.7305699481865285,0.734375,0.7324675324675325,192,0.7671232876712328,0.7671232876712328,0.7671232876712328,73
student_mat,S1_MID_G1_ONLY,decision_tree,Decision Tree,0.7417721518987341,0.7365069956679546,0.7496509117952468,0.7365069956679546,0.7425843682744776,0.7417920162812116,0.7955635876611616,0.8843052760081592,0.3561577252944736,1.0516013385339336,0.06963692460063926,"[[94, 36, 0], [30, 146, 16], [0, 20, 53]]",0.7403498524873633,0.001366481998014828,0.7382676489811405,0.7425843682744776,0.7580645161290323,0.7230769230769231,0.7401574803149606,130,0.7227722772277227,0.7604166666666666,0.7411167512690355,192,0.7681159420289855,0.726027397260274,0.7464788732394366,73
student_mat,S1_MID_G1_ONLY,random_forest,Random Forest,0.7164556962025317,0.7241138332747923,0.7250898903668409,0.7241138332747923,0.7233470951938842,0.7161757080615196,0.8218228731434297,0.891978611031725,0.35359909989199856,0.5475721257309923,0.05142576197018636,"[[100, 30, 0], [46, 130, 16], [0, 20, 53]]",0.7241090025578247,0.0018576816644368364,0.7213061078822228,0.7259771922388986,0.684931506849315,0.7692307692307693,0.7246376811594203,130,0.7222222222222222,0.6770833333333334,0.6989247311827957,192,0.7681159420289855,0.726027397260274,0.7464788732394366,73
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,HistGradientBoosting,0.6911392405063291,0.6801823556960542,0.7027417027417027,0.6801823556960542,0.689965272881497,0.6908952646859587,0.7697604308265925,0.862659626481665,0.4528505918255811,0.8069033141961565,0.17725598687384492,"[[85, 45, 0], [34, 140, 18], [0, 25, 48]]",0.689965272881497,0.0,0.689965272881497,0.689965272881497,0.7142857142857143,0.6538461538461539,0.6827309236947792,130,0.6666666666666666,0.7291666666666666,0.6965174129353234,192,0.7272727272727273,0.6575342465753424,0.6906474820143885,73
student_mat,S1_MID_G1_ONLY,svm,SVM,0.7468354430379747,0.7501254975998126,0.7530257421170871,0.7501254975998126,0.7515530589677454,0.7468757737334709,0.8367483189585169,0.9030442890024645,0.3374362020568423,0.5282130389572995,0.052242592737525545,"[[96, 34, 0], [33, 143, 16], [0, 17, 56]]",0.7512941908161642,0.0027889475689988293,0.7486994555487706,0.7564621682339255,0.7441860465116279,0.7384615384615385,0.7413127413127413,130,0.7371134020618557,0.7447916666666666,0.7409326424870466,192,0.7777777777777778,0.7671232876712328,0.7724137931034483,73
student_mat,S1_MID_G1_ONLY,xgboost,XGBoost,0.7113924050632912,0.714363804004215,0.729185076946271,0.714363804004215,0.7212454212454212,0.7118764779524274,0.815140417658255,0.8867710067418119,0.3645721462161764,0.5681345834332119,0.08853210741562371,"[[89, 41, 0], [41, 138, 13], [0, 19, 54]]",0.7199675539947269,0.0023686065398033705,0.7176958885380383,0.7235317706552525,0.6846153846153846,0.6846153846153846,0.6846153846153846,130,0.696969696969697,0.71875,0.7076923076923077,192,0.8059701492537313,0.7397260273972602,0.7714285714285715,73
student_mat,S1_MID_G1_ONLY,mlp,MLP,0.7417721518987341,0.7393370946025056,0.7551150497512439,0.7393370946025056,0.7466355534461847,0.7419842638262253,0.8251671439408753,0.8975929089067725,0.3532112063901903,0.5717452609913747,0.07266508021536293,"[[94, 36, 0], [34, 145, 13], [0, 19, 54]]",0.7278568823788852,0.01119991805844778,0.7089090878420476,0.7389368395579575,0.734375,0.7230769230769231,0.7286821705426356,130,0.725,0.7552083333333334,0.7397959183673469,192,0.8059701492537313,0.7397260273972602,0.7714285714285715,73
student_mat,S1_MID_G1_ONLY,cnn_only,CNN-only,0.7088607594936709,0.7694265162158999,0.7140556624064441,0.7694265162158999,0.7127620708115695,0.6949313562250924,0.8139619856752046,0.8963572031279862,0.3931736622265958,0.6296936488647101,0.05148920069082177,"[[120, 10, 0], [59, 95, 38], [0, 8, 65]]",0.7010993640536756,0.01648347074315831,0.6726291200500721,0.7223925283760836,0.6703910614525139,0.9230769230769231,0.7766990291262136,130,0.8407079646017699,0.4947916666666667,0.6229508196721312,192,0.6310679611650486,0.8904109589041096,0.7386363636363636,73
student_mat,S1_MID_G1_ONLY,bilstm_only,BiLSTM-only,0.6582278481012658,0.7387085089567966,0.6727864892690268,0.7387085089567966,0.6588210474809547,0.6331938173598305,0.7774624767773681,0.8739914798256444,0.43439123662140133,0.6856728311250507,0.052634835872517015,"[[118, 12, 0], [64, 75, 53], [1, 5, 67]]",0.6396182368930864,0.015432657166541497,0.6152145018373135,0.6536382926783467,0.644808743169399,0.9076923076923077,0.7539936102236422,130,0.8152173913043478,0.390625,0.528169014084507,192,0.5583333333333333,0.9178082191780822,0.694300518134715,73
student_mat,S1_MID_G1_ONLY,cnn_bilstm,CNN-BiLSTM,0.7113924050632912,0.7658485540334855,0.7137682614029218,0.7658485540334855,0.7175646005364135,0.700440438993436,0.8242858374088456,0.8981030524473046,0.3852608131284709,0.6005697686673296,0.05033291499736216,"[[117, 13, 0], [58, 100, 34], [0, 9, 64]]",0.7087014483548878,0.02249867671256597,0.6726109378925126,0.7329615544892764,0.6685714285714286,0.9,0.7672131147540984,130,0.819672131147541,0.5208333333333334,0.6369426751592356,192,0.6530612244897959,0.8767123287671232,0.7485380116959064,73
student_mat,S2_LATE_G1_G2,logistic_regression,Logistic Regression,0.8860759493670886,0.8976528655895094,0.8928717345130348,0.8976528655895094,0.8951984435013155,0.8858832373324886,0.9611584830027913,0.9735897861926355,0.17068974136784806,0.2728338505239576,0.03685335173668438,"[[111, 19, 0], [18, 169, 5], [0, 3, 70]]",0.8951984435013156,1.1102230246251565e-16,0.8951984435013155,0.8951984435013155,0.8604651162790697,0.8538461538461538,0.8571428571428571,130,0.8848167539267016,0.8802083333333334,0.8825065274151436,192,0.9333333333333333,0.958904109589041,0.9459459459459459,73
student_mat,S2_LATE_G1_G2,decision_tree,Decision Tree,0.8936708860759494,0.9018228251961129,0.9054785793916228,0.9018228251961129,0.9024249717831561,0.8941631386231517,0.9143592256070492,0.9539449350138102,0.17649326294377654,1.0420557900266,0.04771105301266734,"[[120, 10, 0], [24, 166, 2], [0, 6, 67]]",0.9024249717831561,0.0,0.9024249717831561,0.9024249717831561,0.8333333333333334,0.9230769230769231,0.8759124087591241,130,0.9120879120879121,0.8645833333333334,0.8877005347593583,192,0.9710144927536232,0.9178082191780822,0.9436619718309859,73
student_mat,S2_LATE_G1_G2,random_forest,Random Forest,0.8911392405063291,0.8939446493384849,0.9072807704512558,0.8939446493384849,0.8998331533550239,0.8917246510290221,0.9624649391203214,0.9760861720664372,0.15940238963233183,0.26719442654592246,0.03210406262121747,"[[116, 14, 0], [21, 170, 1], [0, 7, 66]]",0.8996657341488102,0.0019793550984338404,0.8976451545530493,0.9031069412093077,0.8467153284671532,0.8923076923076924,0.8689138576779026,130,0.8900523560209425,0.8854166666666666,0.8877284595300261,192,0.9850746268656716,0.9041095890410958,0.9428571428571428,73
