dataset,scenario,comparator,metric,delta,ci_95_low,ci_95_high,conclusion,replicates,sampling
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,low_f1,0.08448219105931931,0.029617238032663817,0.1452324397900982,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,svm,macro_f1,-0.033988458431331914,-0.07263912342913544,0.004844894611181951,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,svm,low_recall,0.16153846153846152,0.10000000000000009,0.22307692307692317,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,svm,low_f1,0.025900373441357094,-0.018525315853820085,0.07306325966415934,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,xgboost,macro_f1,-0.0036808207090077705,-0.044766477339563765,0.039331112649417826,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,xgboost,low_recall,0.2153846153846154,0.1461538461538462,0.29230769230769227,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,xgboost,low_f1,0.08259773013871385,0.03331609765906965,0.13568086605355015,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,mlp,macro_f1,-0.02907095290977124,-0.06821549569211069,0.011538864231851553,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,mlp,low_recall,0.17692307692307696,0.11538461538461542,0.2384615384615385,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,mlp,low_f1,0.03853094421146297,-0.006307039460581667,0.08700298230722196,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,grade_band_reference,macro_f1,-0.04908411844774763,-0.08620855558163443,-0.010208495836494,comparator higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,grade_band_reference,low_recall,0.09999999999999998,0.053846153846153766,0.15384615384615385,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,grade_band_reference,low_f1,0.0025072324011573555,-0.03404410767168662,0.04107666395369861,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,cnn_only,macro_f1,0.03031789041441657,0.009843440618843322,0.05260085828557678,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,cnn_only,low_recall,-0.015384615384615441,-0.03846153846153855,0.0,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,cnn_only,low_f1,0.007403174273320157,-0.010505918800726013,0.024848578971889967,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,bilstm_only,macro_f1,0.037542645768119165,0.013574638201143014,0.06327624710057603,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,bilstm_only,low_recall,-0.023076923076923106,-0.06153846153846154,0.007692307692307776,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,bilstm_only,low_f1,0.012472787808938457,-0.014347933156870434,0.03792623844550465,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,logistic_regression,macro_f1,-0.012311912658189872,-0.03710172696943098,0.01383424338501556,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,logistic_regression,low_recall,0.06153846153846154,0.023076923076923106,0.10769230769230764,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,logistic_regression,low_f1,0.011470281543274341,-0.018189856572401474,0.044193146475457384,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,decision_tree,macro_f1,-0.019538440940030544,-0.04207861844027898,0.003201840750314946,insufficient evidence of difference,5000,paired_stratified_by_true_class
