dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
oulad,75pct,control,0,42,0.9005200835170052,0.7985739750445633,0.8368617683686177,0.7636363636363637,0.867810489374147,0.8500995237962224,0.8429342399956825,0.7636363636363637,0.31,8246,5129,15,8246,8246,1.065588116645813
oulad,100pct,control,0,42,0.9306975783037322,0.845771144278607,0.9205776173285198,0.7822085889570553,0.9069813962792559,0.8895904267863033,0.8747789753927455,0.7822085889570553,0.45,7998,4999,15,7998,7998,1.065588116645813
oulad,20pct,smote,0,42,0.742399915604002,0.6739248775176919,0.6221105527638191,0.7351543942992874,0.6951653944020356,0.6938664043584637,0.7001684705245323,0.7351543942992874,0.17,11000,5895,13,11000,9521,1.065588116645813
oulad,35pct,smote,0,42,0.7956314964921697,0.6929789765965887,0.637824023366192,0.7585757707338254,0.7270803949224259,0.7236713353309824,0.7320631896114957,0.7585757707338254,0.21,11004,5672,13,11004,9122,1.065588116645813
oulad,50pct,smote,0,42,0.843275563327773,0.7322534540257265,0.7298195631528965,0.7347036328871893,0.7941768906793627,0.782545525347188,0.7829053931725944,0.7347036328871893,0.23,11004,5461,13,11004,8748,1.065588116645813
oulad,75pct,smote,0,42,0.887533576137689,0.7785276073619631,0.846,0.7210227272727273,0.8592318190680445,0.8376776362045597,0.8262281935562212,0.7210227272727273,0.4,11004,5129,13,11004,8246,1.065588116645813
oulad,100pct,smote,0,42,0.9243306936364828,0.8350081037277147,0.8852233676975945,0.7901840490797546,0.8981796359271854,0.8806893549160778,0.8703072219278263,0.7901840490797546,0.43,11004,4999,13,11004,7998,1.065588116645813
oulad,20pct,adasyn,0,42,0.7393398149365595,0.675038706347841,0.5968968664435655,0.7767220902612827,0.6795589482612383,0.6794969339000373,0.6917151561428112,0.7767220902612827,0.16,10530,5895,11,10530,9521,1.065588116645813
oulad,35pct,adasyn,0,42,0.7937844517811877,0.689043937393928,0.609,0.7933130699088146,0.7092736248236954,0.7080379428734249,0.7225692687032942,0.7933130699088146,0.21,10709,5672,11,10709,9122,1.065588116645813
oulad,50pct,adasyn,0,42,0.842904066747951,0.7270688495178291,0.6848331220954795,0.7748565965583174,0.7771470426661784,0.7693831018438597,0.776712952479218,0.7748565965583174,0.25,10724,5461,11,10724,8748,1.065588116645813
oulad,75pct,adasyn,0,42,0.8828595407827804,0.7800637496377861,0.7959787108219988,0.7647727272727273,0.852017937219731,0.8342804424698407,0.8311842265036833,0.7647727272727273,0.52,11007,5129,11,11007,8246,1.065588116645813
oulad,100pct,adasyn,0,42,0.9207069327867969,0.8317941952506597,0.8994293865905849,0.7736196319018405,0.8979795959191839,0.8792907238096537,0.8658837251227813,0.7736196319018405,0.82,11026,4999,11,11026,7998,1.065588116645813
oulad,20pct,control,0,1201,0.7620359252631569,0.6856047403276403,0.6123910336239103,0.778701504354711,0.693977947413062,0.693760731036259,0.7045778225246395,0.778701504354711,0.17,9521,5895,14,9521,9521,1.065588116645813
oulad,35pct,control,0,1201,0.8144997862760298,0.7103128621089224,0.6396521739130435,0.798523664785063,0.735543018335684,0.7335216597278313,0.7455070090028015,0.798523664785063,0.22,9122,5672,14,9122,9122,1.065588116645813
oulad,50pct,control,0,1201,0.8587484424607041,0.742544731610338,0.7732919254658385,0.7141491395793499,0.8102911554660318,0.7961781355935134,0.7920701174299243,0.7141491395793499,0.32,8748,5461,14,8748,8748,1.065588116645813
oulad,75pct,control,0,1201,0.9018472861161544,0.7975495915985997,0.8195443645083933,0.7767045454545455,0.8646909728992006,0.8479695249354638,0.8436802632289053,0.7767045454545455,0.37,8246,5129,14,8246,8246,1.065588116645813
oulad,100pct,control,0,1201,0.9324459068612061,0.851063829787234,0.8967391304347826,0.8098159509202454,0.9075815163032607,0.8920342350792319,0.8823493527234056,0.8098159509202454,0.48,7998,4999,14,7998,7998,1.065588116645813
oulad,20pct,smote,0,1201,0.7422593185207984,0.6693026599568656,0.6129032258064516,0.7371338083927158,0.6878710771840543,0.6868839030590623,0.6940344019701781,0.7371338083927158,0.3,11000,5895,12,11000,9521,1.065588116645813
oulad,35pct,smote,0,1201,0.7922098882775962,0.6843901562780672,0.5836397058823529,0.827181936604429,0.6902327221438646,0.6901265304499216,0.7118990715969606,0.827181936604429,0.26,11004,5672,12,11004,9122,1.065588116645813
oulad,50pct,smote,0,1201,0.8458104692124032,0.7270054598908022,0.648314606741573,0.8274378585086042,0.7619483611060245,0.7579832494259207,0.7743600690583983,0.8274378585086042,0.21,11004,5461,12,11004,8748,1.065588116645813
