dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,ece,brier,threshold,outer_test_used
uci,0,2026,S2,XGB,0.8665728962526421,0.746268656716418,0.819672131147541,0.684931506849315,0.8802816901408451,0.07787420298587726,0.08459916225019504,0.19,False
uci,0,2026,S2,MLP,0.8436273578753472,0.7142857142857143,0.6557377049180327,0.7843137254901961,0.8873239436619719,0.09674538933413025,0.0935444655754538,0.5,False
uci,1,42,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.32515337423312884,0.5735294117647058,0.16442932869136545,0.16698810239423695,0.21,False
uci,1,42,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.4205607476635514,0.7205882352941176,0.19155364162297586,0.19621453053347637,0.48,False
uci,1,42,S0,RF,0.5617669084404565,0.5614035087719298,0.8135593220338984,0.42857142857142855,0.7242647058823529,0.11148626371595419,0.13478674269923463,0.29,False
uci,1,42,S0,XGB,0.5459844830497316,0.5433526011560693,0.7966101694915254,0.41228070175438597,0.7095588235294118,0.08968350262319504,0.14092096779528127,0.17,False
uci,1,42,S0,MLP,0.520890411083211,0.5116279069767442,0.559322033898305,0.4714285714285714,0.7683823529411765,0.17076732718330662,0.17427942048291076,0.07,False
uci,1,42,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.7166666666666667,0.8786764705882353,0.08939225097582061,0.09721277735762798,0.67,False
uci,1,42,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.7708333333333334,0.8786764705882353,0.08174141217576233,0.09132289270042823,0.76,False
uci,1,42,S1,RF,0.8398974940941296,0.7192982456140351,0.6949152542372882,0.7454545454545455,0.8823529411764706,0.046762577224447294,0.07793213414312469,0.53,False
uci,1,42,S1,XGB,0.8214394127163763,0.6870229007633588,0.7627118644067796,0.625,0.8492647058823529,0.0780824103689263,0.09605460452423652,0.26,False
uci,1,42,S1,MLP,0.7923908051000514,0.7230769230769231,0.7966101694915254,0.6619718309859155,0.8676470588235294,0.10336697511810686,0.10310154408284401,0.06,False
uci,1,42,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9183673469387755,0.9338235294117647,0.04250822232118414,0.05456890921935201,0.84,False
uci,1,42,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.6585365853658537,0.8786764705882353,0.07597626692416186,0.0720237459458518,0.36,False
uci,1,42,S2,RF,0.9245174289674983,0.8113207547169812,0.7288135593220338,0.9148936170212766,0.9264705882352942,0.07181400104926904,0.05660813493232586,0.59,False
uci,1,42,S2,XGB,0.916204763201885,0.8103448275862069,0.7966101694915254,0.8245614035087719,0.9191176470588235,0.05881894372663845,0.06179897611179186,0.47,False
uci,1,42,S2,MLP,0.9236011914785032,0.8173913043478261,0.7966101694915254,0.8392857142857143,0.9227941176470589,0.06728059545931445,0.06468265396646239,0.23,False
uci,1,1201,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.32515337423312884,0.5735294117647058,0.16442932869136545,0.16698810239423695,0.21,False
