dataset,stage,fold,seed,g_temporal_mean,tabular_mass,cnn_mass,bilstm_mass,tabular_norm,temporal_norm,temporal_available_rate,outer_test_used
uci,S0,1,42,0.0,1.0,0.0,0.0,11.308566093444824,0.0,0.0,False
uci,S1,1,42,0.9528712034225464,0.04712876304984093,0.26671844720840454,0.6861528158187866,15.602957725524902,3.578843832015991,1.0,False
uci,S2,1,42,0.952443540096283,0.047556471079587936,0.2515735626220703,0.7008699774742126,15.319604873657227,3.9301207065582275,1.0,False
uci,S0,1,1201,0.0,1.0,0.0,0.0,11.303547859191895,0.0,0.0,False
uci,S1,1,1201,0.9505296349525452,0.04947039484977722,0.2178267389535904,0.732702910900116,16.459888458251953,3.365961790084839,1.0,False
uci,S2,1,1201,0.9502208828926086,0.049779076129198074,0.2131769210100174,0.7370439171791077,16.50474739074707,3.6922709941864014,1.0,False
uci,S0,1,2026,0.0,1.0,0.0,0.0,11.305932998657227,0.0,0.0,False
uci,S1,1,2026,0.9391255378723145,0.06087450310587883,0.3127235770225525,0.6264019012451172,15.319860458374023,4.876688480377197,1.0,False
uci,S2,1,2026,0.959988534450531,0.0400114431977272,0.28552770614624023,0.6744608879089355,15.988706588745117,5.207671165466309,1.0,False
uci,S0,2,42,0.0,1.0,0.0,0.0,11.308953285217285,0.0,0.0,False
uci,S1,2,42,0.9003942012786865,0.09960586577653885,0.3215525448322296,0.5788416266441345,15.506957054138184,3.8698489665985107,1.0,False
uci,S2,2,42,0.8912284970283508,0.1087714433670044,0.299371600151062,0.5918569564819336,15.178099632263184,4.194027900695801,1.0,False
uci,S0,2,1201,0.0,1.0,0.0,0.0,11.306238174438477,0.0,0.0,False
uci,S1,2,1201,0.8986661434173584,0.10133379697799683,0.29724717140197754,0.6014190316200256,16.299161911010742,3.916924476623535,1.0,False
uci,S2,2,1201,0.8923841118812561,0.1076158732175827,0.2766420245170593,0.6157421469688416,16.259897232055664,4.185778617858887,1.0,False
uci,S0,2,2026,0.0,1.0,0.0,0.0,11.30260181427002,0.0,0.0,False
uci,S1,2,2026,0.941196084022522,0.05880395323038101,0.24852384626865387,0.6926721930503845,15.622743606567383,5.370399475097656,1.0,False
uci,S2,2,2026,0.9626801013946533,0.03731994330883026,0.232085183262825,0.7305949330329895,16.219894409179688,5.7676191329956055,1.0,False
