experiment_id,scenario,model_name,outer_fold,training_seed,metric,stored,recomputed,difference,match
S0,late_stage,cnn_bilstm,1,62,ece_top_label_equal_width_10,0.0512719390884278,0.05127193908842781,6.938893903907228e-18,True
S0,late_stage,cnn_bilstm,1,72,accuracy,0.8571428571428571,0.8571428571428571,0.0,True
S0,late_stage,cnn_bilstm,1,72,macro_f1,0.8562271062271063,0.8562271062271063,0.0,True
S0,late_stage,cnn_bilstm,1,72,weighted_f1,0.8568550497121926,0.8568550497121926,0.0,True
S0,late_stage,cnn_bilstm,1,72,balanced_accuracy,0.830952380952381,0.830952380952381,0.0,True
S0,late_stage,cnn_bilstm,1,72,quadratic_weighted_kappa,0.8452088452088452,0.8452088452088452,0.0,True
S0,late_stage,cnn_bilstm,1,72,ordinal_mae,0.1428571428571428,0.14285714285714285,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,72,brier_score,0.1912148356498726,0.19121483564987268,8.326672684688674e-17,True
S0,late_stage,cnn_bilstm,1,72,pr_auc_macro,0.9462017355988964,0.9462017355988964,0.0,True
S0,late_stage,cnn_bilstm,1,72,ece_top_label_equal_width_10,0.0860598759045676,0.08605987590456766,6.938893903907228e-17,True
S0,late_stage,cnn_bilstm,1,82,accuracy,0.7142857142857143,0.7142857142857143,0.0,True
S0,late_stage,cnn_bilstm,1,82,macro_f1,0.7070653829034601,0.7070653829034601,0.0,True
S0,late_stage,cnn_bilstm,1,82,weighted_f1,0.7062872938900769,0.7062872938900769,0.0,True
S0,late_stage,cnn_bilstm,1,82,balanced_accuracy,0.7142857142857143,0.7142857142857143,0.0,True
S0,late_stage,cnn_bilstm,1,82,quadratic_weighted_kappa,0.6971153846153846,0.6971153846153846,0.0,True
S0,late_stage,cnn_bilstm,1,82,ordinal_mae,0.2857142857142857,0.2857142857142857,0.0,True
S0,late_stage,cnn_bilstm,1,82,brier_score,0.3762027426973214,0.37620274269732146,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,82,pr_auc_macro,0.8972175792622039,0.8972175792622039,0.0,True
S0,late_stage,cnn_bilstm,1,82,ece_top_label_equal_width_10,0.1346304539650205,0.13463045396502055,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,42,accuracy,0.8412698412698413,0.8412698412698413,0.0,True
S0,late_stage,cnn_bilstm,2,42,macro_f1,0.846407499310725,0.846407499310725,0.0,True
S0,late_stage,cnn_bilstm,2,42,weighted_f1,0.8398534798534798,0.8398534798534798,0.0,True
S0,late_stage,cnn_bilstm,2,42,balanced_accuracy,0.8668714797747056,0.8668714797747056,0.0,True
S0,late_stage,cnn_bilstm,2,42,quadratic_weighted_kappa,0.840587044534413,0.840587044534413,0.0,True
S0,late_stage,cnn_bilstm,2,42,ordinal_mae,0.1587301587301587,0.15873015873015872,2.7755575615628914e-17,True
S0,late_stage,cnn_bilstm,2,42,brier_score,0.2314784119767211,0.23147841197672114,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,42,pr_auc_macro,0.940676161352484,0.9406761613524841,1.1102230246251565e-16,True
S0,late_stage,cnn_bilstm,2,42,ece_top_label_equal_width_10,0.0395633445845709,0.039563344584570996,9.71445146547012e-17,True
S0,late_stage,cnn_bilstm,2,52,accuracy,0.8571428571428571,0.8571428571428571,0.0,True
S0,late_stage,cnn_bilstm,2,52,macro_f1,0.8595520421607379,0.8595520421607379,0.0,True
S0,late_stage,cnn_bilstm,2,52,weighted_f1,0.8532781228433403,0.8532781228433403,0.0,True
S0,late_stage,cnn_bilstm,2,52,balanced_accuracy,0.8478331704138156,0.8478331704138156,0.0,True
S0,late_stage,cnn_bilstm,2,52,quadratic_weighted_kappa,0.8394222599830077,0.8394222599830077,0.0,True
S0,late_stage,cnn_bilstm,2,52,ordinal_mae,0.1428571428571428,0.14285714285714285,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,52,brier_score,0.2080253729961752,0.2080253729961752,0.0,True
S0,late_stage,cnn_bilstm,2,52,pr_auc_macro,0.946246490530999,0.946246490530999,0.0,True
S0,late_stage,cnn_bilstm,2,52,ece_top_label_equal_width_10,0.04293083576929,0.042930835769290035,3.469446951953614e-17,True
S0,late_stage,cnn_bilstm,2,62,accuracy,0.8571428571428571,0.8571428571428571,0.0,True
S0,late_stage,cnn_bilstm,2,62,macro_f1,0.8533471359558317,0.8533471359558317,0.0,True
S0,late_stage,cnn_bilstm,2,62,weighted_f1,0.8553189391698709,0.8553189391698709,0.0,True
S0,late_stage,cnn_bilstm,2,62,balanced_accuracy,0.8334031559838012,0.8334031559838012,0.0,True
S0,late_stage,cnn_bilstm,2,62,quadratic_weighted_kappa,0.8375823546261816,0.8375823546261816,0.0,True
S0,late_stage,cnn_bilstm,2,62,ordinal_mae,0.1428571428571428,0.14285714285714285,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,62,brier_score,0.2021668161452129,0.20216681614521295,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,62,pr_auc_macro,0.9564726795014916,0.9564726795014916,0.0,True
S0,late_stage,cnn_bilstm,2,62,ece_top_label_equal_width_10,0.0558161565235682,0.05581615652356828,7.632783294297951e-17,True
S0,late_stage,cnn_bilstm,2,72,accuracy,0.8095238095238095,0.8095238095238095,0.0,True
S0,late_stage,cnn_bilstm,2,72,macro_f1,0.787091157816192,0.787091157816192,0.0,True
S0,late_stage,cnn_bilstm,2,72,weighted_f1,0.8049164697591511,0.8049164697591511,0.0,True
S0,late_stage,cnn_bilstm,2,72,balanced_accuracy,0.7578550481776288,0.7578550481776288,0.0,True
S0,late_stage,cnn_bilstm,2,72,quadratic_weighted_kappa,0.7815028901734105,0.7815028901734105,0.0,True
S0,late_stage,cnn_bilstm,2,72,ordinal_mae,0.1904761904761904,0.19047619047619047,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,72,brier_score,0.2391079765595681,0.23910797655956811,2.7755575615628914e-17,True
S0,late_stage,cnn_bilstm,2,72,pr_auc_macro,0.9515642492369868,0.9515642492369868,0.0,True
S0,late_stage,cnn_bilstm,2,72,ece_top_label_equal_width_10,0.0568997311213659,0.05689973112136599,9.020562075079397e-17,True
S0,late_stage,cnn_bilstm,2,82,accuracy,0.8095238095238095,0.8095238095238095,0.0,True
S0,late_stage,cnn_bilstm,2,82,macro_f1,0.7993464052287583,0.7993464052287583,0.0,True
S0,late_stage,cnn_bilstm,2,82,weighted_f1,0.8046374105197633,0.8046374105197633,0.0,True
S0,late_stage,cnn_bilstm,2,82,balanced_accuracy,0.7713540939347391,0.7713540939347391,0.0,True
S0,late_stage,cnn_bilstm,2,82,quadratic_weighted_kappa,0.7724262492474413,0.7724262492474413,0.0,True
S0,late_stage,cnn_bilstm,2,82,ordinal_mae,0.1904761904761904,0.19047619047619047,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,2,82,brier_score,0.2761716685446867,0.2761716685446867,0.0,True
S0,late_stage,cnn_bilstm,2,82,pr_auc_macro,0.932058769078191,0.932058769078191,0.0,True
S0,late_stage,cnn_bilstm,2,82,ece_top_label_equal_width_10,0.1199194684861198,0.1199194684861198,0.0,True
