outer_fold,trial,state,value,parameters,parameter_count
0,10,COMPLETE,0.8234113440353753,"{""aggregate_hidden"": 48, ""batch_size"": 512, ""conv_channels"": 48, ""dropout"": 0.24432579500212465, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.00012140867461517357, ""loss"": ""weighted_bce"", ""lstm_hidden"": 48, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 1.4200960631041871e-07}",114341.0
0,11,COMPLETE,0.8244340523265634,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.4687155623440953, ""fusion_hidden"": 48, ""kernels"": ""5"", ""learning_rate"": 0.00011172057813333922, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 3.837943784060645e-07}",90085.0
0,12,COMPLETE,0.8276026386063338,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.40337629205977454, ""fusion_hidden"": 64, ""kernels"": ""5"", ""learning_rate"": 0.00027393144605414375, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""balanced"", ""static_hidden"": 24, ""weight_decay"": 1.235203352788345e-06}",70245.0
0,13,COMPLETE,0.8258237921097382,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 48, ""dropout"": 0.3940417714610071, ""fusion_hidden"": 64, ""kernels"": ""5"", ""learning_rate"": 0.00023727681518679718, ""loss"": ""weighted_bce"", ""lstm_hidden"": 48, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 6.802591739992036e-07}",101701.0
0,14,COMPLETE,0.8264886097760102,"{""aggregate_hidden"": 48, ""batch_size"": 512, ""conv_channels"": 16, ""dropout"": 0.36081538338241737, ""fusion_hidden"": 64, ""kernels"": ""5"", ""learning_rate"": 0.0005617935423293479, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 24, ""weight_decay"": 2.019057343404548e-05}",48453.0
0,15,COMPLETE,0.8274822309357045,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.40588743624508056, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0007071237437580628, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 7.617321456459682e-07}",81573.0
0,16,COMPLETE,0.8261543749772846,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 16, ""dropout"": 0.3242732936263423, ""fusion_hidden"": 48, ""kernels"": ""5"", ""learning_rate"": 0.000272737345321547, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 16, ""weight_decay"": 1.1092705995636594e-07}",50021.0
0,17,COMPLETE,0.8267539687703995,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.43317088789078584, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.00032228794898179065, ""loss"": ""weighted_bce"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 48, ""positive_weight"": ""balanced"", ""static_hidden"": 48, ""weight_decay"": 2.2619879225608367e-05}",119797.0
0,18,COMPLETE,0.8238163387891542,"{""aggregate_hidden"": 80, ""batch_size"": 256, ""conv_channels"": 48, ""dropout"": 0.48953492837179946, ""fusion_hidden"": 64, ""kernels"": ""5"", ""learning_rate"": 0.00016984757486502425, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 96, ""positive_weight"": ""balanced"", ""static_hidden"": 32, ""weight_decay"": 1.3282494928109248e-06}",90244.0
0,19,COMPLETE,0.8296920700841914,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.32181145453047827, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.000647873472191249, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 2.756144064440004e-07}",36773.0
0,20,COMPLETE,0.8273440063323796,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.26246835897445864, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.000723940699823491, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 2.9467595976727124e-07}",30629.0
0,21,COMPLETE,0.8290357000237748,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.32891467482434716, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0006197785061791994, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 5.416657963565348e-06}",36773.0
0,22,COMPLETE,0.8272296146585167,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.3129932065970433, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0006835543953276224, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 7.958625544167127e-06}",36773.0
0,23,COMPLETE,0.826180149462898,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.34360465024021725, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0009282256834188162, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 2.6772980183573024e-07}",36773.0
0,24,COMPLETE,0.8268775523234655,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.2892820704193767, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0015184563649382826, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 3.2740645046870556e-06}",36773.0
0,25,COMPLETE,0.8239526552917761,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.20168305838495715, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0005525447498281689, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.00923213487433062}",37157.0
0,26,COMPLETE,0.8269164635732537,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.3533485614070983, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0008194179447853964, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 48, ""weight_decay"": 3.408550221760746e-05}",31716.0
0,27,COMPLETE,0.8274552530926093,"{""aggregate_hidden"": 128, ""batch_size"": 128, ""conv_channels"": 48, ""dropout"": 0.2762764560754808, ""fusion_hidden"": 48, ""kernels"": ""3"", ""learning_rate"": 0.0004439177470685316, ""loss"": ""weighted_bce"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 16, ""weight_decay"": 6.394628037440273e-07}",108709.0
0,28,COMPLETE,0.8264817734807444,"{""aggregate_hidden"": 48, ""batch_size"": 128, ""conv_channels"": 32, ""dropout"": 0.20460121219258598, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.000609948683432266, ""loss"": ""weighted_bce"", ""lstm_hidden"": 48, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 7.654094476699364e-06}",57061.0
0,29,PRUNED,0.8241880764106722,"{""aggregate_hidden"": 64, ""batch_size"": 256, ""conv_channels"": 24, ""dropout"": 0.23504480621456159, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.00048564343850729413, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1.5519714656742894e-05}",
0,30,COMPLETE,0.8306240071721319,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.43847439609206107, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0012134279873404858, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 7.066031368651346e-05}",38661.0
0,31,COMPLETE,0.8301965493976984,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.4443201324338596, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0011757467420218384, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.00010132729154191805}",38661.0
0,32,COMPLETE,0.8294821379877175,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.4325642145187202, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0012842244313880048, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.0002582890504651643}",38661.0
0,33,COMPLETE,0.8270039300493232,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.456330669207009, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.001982295050943273, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 4.850007777471077e-05}",38661.0
0,34,COMPLETE,0.8302562015850596,"{""aggregate_hidden"": 96, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.497643727746811, ""focal_gamma"": 1.0966643953657762, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0014774908647299768, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.000449260909133707}",63237.0
0,35,COMPLETE,0.8289128211937253,"{""aggregate_hidden"": 96, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.48453068794078236, ""focal_gamma"": 1.1113772294687696, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0015767930116628308, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.00046356194806680115}",61269.0
0,36,PRUNED,0.8241525222197212,"{""aggregate_hidden"": 96, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.4983932755163163, ""focal_gamma"": 2.983825428826065, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0011655130941322655, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.0012733794724651532}",
0,37,COMPLETE,0.8253122703838036,"{""aggregate_hidden"": 96, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.38248674944197086, ""focal_gamma"": 1.1951830023016636, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0016521457700977395, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 16, ""weight_decay"": 0.00014478853325726338}",62629.0
0,38,PRUNED,0.8224140389760812,"{""aggregate_hidden"": 96, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.45770391377621733, ""focal_gamma"": 1.528848696231891, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0008827329975442453, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 8.18603952518582e-05}",
0,39,PRUNED,0.8247604896244966,"{""aggregate_hidden"": 128, ""batch_size"": 256, ""conv_channels"": 16, ""dropout"": 0.42653963404399203, ""focal_gamma"": 1.36784593400598, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0013430740984044826, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.00044723732812292484}",
1,0,COMPLETE,0.8272767013108387,"{""aggregate_hidden"": 80, ""batch_size"": 256, ""conv_channels"": 24, ""dropout"": 0.25, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0005, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1e-05}",71972.0
1,1,COMPLETE,0.8258006611011166,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.3686940460668765, ""focal_gamma"": 1.8648677943176717, ""fusion_hidden"": 48, ""kernels"": ""5"", ""learning_rate"": 0.00040151777203113206, ""loss"": ""focal"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 48, ""positive_weight"": ""balanced"", ""static_hidden"": 16, ""weight_decay"": 0.00021641192562878826}",55797.0
1,2,COMPLETE,0.8266184111630339,"{""aggregate_hidden"": 128, ""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.4078610960407767, ""fusion_hidden"": 32, ""kernels"": ""5"", ""learning_rate"": 0.0011630877854661571, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 16, ""weight_decay"": 0.0025361016904077577}",58725.0
1,3,COMPLETE,0.8262090911741916,"{""aggregate_hidden"": 96, ""batch_size"": 512, ""conv_channels"": 16, ""dropout"": 0.1965939937783856, ""fusion_hidden"": 48, ""kernels"": ""5"", ""learning_rate"": 0.0019189291182486585, ""loss"": ""weighted_bce"", ""lstm_hidden"": 48, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 7.953968312039327e-07}",67060.0
1,4,COMPLETE,0.8140899465351236,"{""aggregate_hidden"": 96, ""batch_size"": 512, ""conv_channels"": 48, ""dropout"": 0.20780374238784685, ""focal_gamma"": 2.26613794728095, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.0009245406770613972, ""loss"": ""focal"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 32, ""weight_decay"": 0.0006913962435269052}",83397.0
1,5,COMPLETE,0.8277869228895245,"{""aggregate_hidden"": 128, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.11614526725400123, ""fusion_hidden"": 64, ""kernels"": ""5"", ""learning_rate"": 0.0009671998031142629, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 0.005796866952794848}",82741.0
1,6,PRUNED,0.8249854432171497,"{""aggregate_hidden"": 96, ""batch_size"": 256, ""conv_channels"": 24, ""dropout"": 0.4858448788090146, ""fusion_hidden"": 32, ""kernels"": ""5"", ""learning_rate"": 0.00037863637128688005, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 48, ""weight_decay"": 1.2939696598781116e-05}",
1,7,PRUNED,0.8264493150441892,"{""aggregate_hidden"": 48, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.2895269359162579, ""fusion_hidden"": 48, ""kernels"": ""3"", ""learning_rate"": 0.00010065233034982402, ""loss"": ""weighted_bce"", ""lstm_hidden"": 48, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 16, ""weight_decay"": 0.005953294296263798}",
1,8,PRUNED,0.825311423688134,"{""aggregate_hidden"": 48, ""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2223319830783587, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0013525935746598746, ""loss"": ""weighted_bce"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 24, ""weight_decay"": 0.0006829527068187488}",
1,9,PRUNED,0.8264816055529429,"{""aggregate_hidden"": 64, ""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.4995398331835118, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0001896112187309283, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 48, ""weight_decay"": 0.0003754102616078588}",
1,10,PRUNED,0.8210427370007647,"{""aggregate_hidden"": 128, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.12834016585425487, ""focal_gamma"": 1.0439177338505594, ""fusion_hidden"": 96, ""kernels"": ""3"", ""learning_rate"": 0.00021016469699063246, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1.7964653989376793e-07}",
1,11,COMPLETE,0.8284669421673135,"{""aggregate_hidden"": 80, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.10537706454657617, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.000641729023829995, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1.6067073147907762e-05}",75604.0
1,12,COMPLETE,0.8286179414579677,"{""aggregate_hidden"": 128, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.10251323090844176, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0007049859727451509, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1.8551489307529366e-05}",86548.0
1,13,COMPLETE,0.8287778023368699,"{""aggregate_hidden"": 80, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.1060852251250223, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0007279974331175937, ""loss"": ""weighted_bce"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1.9571783072200663e-05}",75604.0
1,14,PRUNED,0.8050847889625983,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.16034611971396623, ""focal_gamma"": 2.9993903008588374, ""fusion_hidden"": 64, ""kernels"": ""3_5"", ""learning_rate"": 0.0006767855994503197, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 4.446847073571419e-05}",
