dataset,scenario,model_id,class_label,precision,recall,f1,support
student_mat,S2_LATE_G1_G2,logistic_regression,Medium,0.8848167539267016,0.8802083333333334,0.8825065274151436,192
student_mat,S2_LATE_G1_G2,logistic_regression,High,0.9333333333333333,0.958904109589041,0.9459459459459459,73
student_mat,S2_LATE_G1_G2,decision_tree,Low,0.8333333333333334,0.9230769230769231,0.8759124087591241,130
student_mat,S2_LATE_G1_G2,decision_tree,Medium,0.9120879120879121,0.8645833333333334,0.8877005347593583,192
student_mat,S2_LATE_G1_G2,decision_tree,High,0.9710144927536232,0.9178082191780822,0.9436619718309859,73
student_mat,S2_LATE_G1_G2,random_forest,Low,0.8467153284671532,0.8923076923076924,0.8689138576779026,130
student_mat,S2_LATE_G1_G2,random_forest,Medium,0.8900523560209425,0.8854166666666666,0.8877284595300261,192
student_mat,S2_LATE_G1_G2,random_forest,High,0.9850746268656716,0.9041095890410958,0.9428571428571428,73
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,Low,0.8320610687022901,0.8384615384615385,0.8352490421455939,130
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,Medium,0.8549222797927462,0.859375,0.8571428571428571,192
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,High,0.9295774647887324,0.9041095890410958,0.9166666666666666,73
student_mat,S2_LATE_G1_G2,svm,Low,0.8449612403100775,0.8384615384615385,0.8416988416988417,130
student_mat,S2_LATE_G1_G2,svm,Medium,0.8631578947368421,0.8541666666666666,0.8586387434554974,192
student_mat,S2_LATE_G1_G2,svm,High,0.8947368421052632,0.9315068493150684,0.912751677852349,73
student_mat,S2_LATE_G1_G2,xgboost,Low,0.8421052631578947,0.8615384615384616,0.8517110266159695,130
student_mat,S2_LATE_G1_G2,xgboost,Medium,0.8697916666666666,0.8697916666666666,0.8697916666666666,192
student_mat,S2_LATE_G1_G2,xgboost,High,0.9428571428571428,0.9041095890410958,0.9230769230769231,73
student_mat,S2_LATE_G1_G2,mlp,Low,0.8384615384615385,0.8384615384615385,0.8384615384615385,130
student_mat,S2_LATE_G1_G2,mlp,Medium,0.8526315789473684,0.84375,0.8481675392670157,192
student_mat,S2_LATE_G1_G2,mlp,High,0.88,0.9041095890410958,0.8918918918918919,73
student_mat,S2_LATE_G1_G2,cnn_only,Low,0.8013245033112583,0.9307692307692308,0.8612099644128114,130
student_mat,S2_LATE_G1_G2,cnn_only,Medium,0.9177215189873418,0.7552083333333334,0.8285714285714286,192
student_mat,S2_LATE_G1_G2,cnn_only,High,0.8023255813953488,0.9452054794520548,0.8679245283018868,73
student_mat,S2_LATE_G1_G2,bilstm_only,Low,0.7870967741935484,0.9384615384615385,0.856140350877193,130
student_mat,S2_LATE_G1_G2,bilstm_only,Medium,0.9215686274509803,0.734375,0.8173913043478261,192
student_mat,S2_LATE_G1_G2,bilstm_only,High,0.7931034482758621,0.9452054794520548,0.8625,73
student_mat,S2_LATE_G1_G2,cnn_bilstm,Low,0.8263888888888888,0.9153846153846154,0.8686131386861314,130
student_mat,S2_LATE_G1_G2,cnn_bilstm,Medium,0.9181286549707602,0.8177083333333334,0.8650137741046832,192
student_mat,S2_LATE_G1_G2,cnn_bilstm,High,0.875,0.958904109589041,0.9150326797385621,73
student_por,S0_EARLY_NO_GRADE,logistic_regression,Low,0.4632352941176471,0.63,0.5338983050847458,100
student_por,S0_EARLY_NO_GRADE,logistic_regression,Medium,0.7419354838709677,0.38516746411483255,0.5070866141732283,418
student_por,S0_EARLY_NO_GRADE,logistic_regression,High,0.3310810810810811,0.7480916030534351,0.45901639344262296,131
student_por,S0_EARLY_NO_GRADE,decision_tree,Low,0.3357664233576642,0.46,0.3881856540084388,100
student_por,S0_EARLY_NO_GRADE,decision_tree,Medium,0.6948051948051948,0.5119617224880383,0.5895316804407713,418
student_por,S0_EARLY_NO_GRADE,decision_tree,High,0.3333333333333333,0.5190839694656488,0.4059701492537313,131
student_por,S0_EARLY_NO_GRADE,random_forest,Low,0.4296875,0.55,0.4824561403508772,100
student_por,S0_EARLY_NO_GRADE,random_forest,Medium,0.7227722772277227,0.5239234449760766,0.6074895977808599,418
student_por,S0_EARLY_NO_GRADE,random_forest,High,0.37155963302752293,0.6183206106870229,0.46418338108882523,131
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,Low,0.37142857142857144,0.26,0.3058823529411765,100
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,Medium,0.6618556701030928,0.7679425837320574,0.7109634551495017,418
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,High,0.40425531914893614,0.2900763358778626,0.3377777777777778,131
student_por,S0_EARLY_NO_GRADE,svm,Low,0.3684210526315789,0.07,0.11764705882352941,100
student_por,S0_EARLY_NO_GRADE,svm,Medium,0.6463022508038585,0.9617224880382775,0.7730769230769231,418
student_por,S0_EARLY_NO_GRADE,svm,High,0.5,0.030534351145038167,0.05755395683453238,131
student_por,S0_EARLY_NO_GRADE,xgboost,Low,0.40350877192982454,0.23,0.2929936305732484,100
student_por,S0_EARLY_NO_GRADE,xgboost,Medium,0.6647173489278753,0.8157894736842105,0.7325456498388829,418
student_por,S0_EARLY_NO_GRADE,xgboost,High,0.43037974683544306,0.2595419847328244,0.3238095238095238,131
student_por,S0_EARLY_NO_GRADE,mlp,Low,0.5,0.14,0.21875,100
student_por,S0_EARLY_NO_GRADE,mlp,Medium,0.6486042692939245,0.9449760765550239,0.7692307692307693,418
student_por,S0_EARLY_NO_GRADE,mlp,High,0.25,0.022900763358778626,0.04195804195804196,131
student_por,S0_EARLY_NO_GRADE,cnn_only,Low,0.3961038961038961,0.61,0.48031496062992124,100
student_por,S0_EARLY_NO_GRADE,cnn_only,Medium,0.7010309278350515,0.3253588516746411,0.4444444444444444,418
student_por,S0_EARLY_NO_GRADE,cnn_only,High,0.30564784053156147,0.7022900763358778,0.42592592592592593,131
student_por,S0_EARLY_NO_GRADE,bilstm_only,Low,0.4444444444444444,0.64,0.5245901639344263,100
student_por,S0_EARLY_NO_GRADE,bilstm_only,Medium,0.7528089887640449,0.32057416267942584,0.44966442953020136,418
student_por,S0_EARLY_NO_GRADE,bilstm_only,High,0.30275229357798167,0.7557251908396947,0.43231441048034935,131
student_por,S0_EARLY_NO_GRADE,cnn_bilstm,Low,0.423841059602649,0.64,0.5099601593625498,100
student_por,S0_EARLY_NO_GRADE,cnn_bilstm,Medium,0.7267441860465116,0.29904306220095694,0.423728813559322,418
student_por,S0_EARLY_NO_GRADE,cnn_bilstm,High,0.3067484662576687,0.7633587786259542,0.437636761487965,131
student_por,S1_MID_G1_ONLY,logistic_regression,Low,0.6271186440677966,0.74,0.6788990825688074,100
