dataset,scenario,model_id,outer_fold,runtime_seconds,study_total_seconds
student_mat,S0_EARLY_NO_GRADE,svm,3,1.2373248999938369,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,svm,4,1.2323227999731898,1169.5611943999538
student_mat,S1_MID_G1_ONLY,decision_tree,0,0.6536467999685556,1169.5611943999538
student_mat,S1_MID_G1_ONLY,decision_tree,1,0.6245363000780344,1169.5611943999538
student_mat,S1_MID_G1_ONLY,decision_tree,2,0.604355699964799,1169.5611943999538
student_mat,S1_MID_G1_ONLY,decision_tree,3,0.6017021000152454,1169.5611943999538
student_mat,S1_MID_G1_ONLY,decision_tree,4,0.6064911999274045,1169.5611943999538
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,0,12.952847799984738,1169.5611943999538
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,1,13.04074019996915,1169.5611943999538
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,2,12.997970799915493,1169.5611943999538
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,3,12.865016299998388,1169.5611943999538
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,4,13.092258699936792,1169.5611943999538
student_mat,S1_MID_G1_ONLY,svm,0,1.129964500083588,1169.5611943999538
student_mat,S1_MID_G1_ONLY,svm,1,1.1266006999649107,1169.5611943999538
student_mat,S1_MID_G1_ONLY,svm,2,1.1221807999536395,1169.5611943999538
student_mat,S1_MID_G1_ONLY,svm,3,1.1067024000221863,1169.5611943999538
student_mat,S1_MID_G1_ONLY,svm,4,1.1262732000323012,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_only,0,5.9573888999875635,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_only,1,8.247171600000001,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_only,2,5.170822700019926,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_only,3,4.008146099979058,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_only,4,6.378505400032736,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,bilstm_only,0,3.5022568999556825,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,bilstm_only,1,4.394368799985386,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,bilstm_only,2,3.7175632000435144,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,bilstm_only,3,6.623051600065082,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,bilstm_only,4,3.9566107999999076,1169.5611943999538
