dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_por,S0_EARLY_NO_GRADE,random_forest,1,7,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.49302744039586144, 0.5090614299716144, 0.4198446066210853]",0.47397782566285374,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,0,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.39348370927318294, 0.4366590881632564, 0.3386948448138651]",0.38961254741676815,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,1,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.342300402748164, 0.42605401844532276, 0.3675630602459871]",0.37863916047982465,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,2,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.414640522875817, 0.42430494154632087, 0.3698475554520278]",0.40293100662472187,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,3,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.3854749787955895, 0.44567780094580045, 0.3777601808088557]",0.4029709868500819,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,4,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.3877551020408163, 0.4273017940019596, 0.3479382216224321]",0.387665039221736,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,5,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.3854749787955895, 0.4374242940419411, 0.3670847448291057]",0.3966613392222121,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,6,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.44274940745528985, 0.45114017884909524, 0.43627343637274124]",0.4433876742257088,,False
student_por,S0_EARLY_NO_GRADE,xgboost,1,7,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.38472283704687427, 0.4532367785824007, 0.4360828625235405]",0.4246808260509385,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,0,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.3583317267527794, 0.2708333333333333, 0.30813987011715743]",0.3124349767344234,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,1,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.3583317267527794, 0.2708333333333333, 0.31309921962095877]",0.3140880932356905,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,2,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.3617345588148508, 0.2708333333333333, 0.29197769197769197]",0.308181861375292,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,3,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.27198879551820726, 0.34523297491039423, 0.381383956855655]",0.3328685757614189,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,4,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.29138078170336235, 0.34523297491039423, 0.381383956855655]",0.33933257115647053,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,5,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.29138078170336235, 0.35000000000000003, 0.3954681954681954]",0.34561632572385254,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,6,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.31281788701143537, 0.27220299884659743, 0.329140109582914]",0.30472033181364894,,False
student_por,S0_EARLY_NO_GRADE,mlp,1,7,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.31281788701143537, 0.27220299884659743, 0.329140109582914]",0.30472033181364894,,False
