domain,model,stage,pr_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean,generalization_gap_mean,pr_auc_std,accuracy_std,risk_precision_std,risk_recall_std,risk_f1_std,generalization_gap_std
oulad,XGB,50pct,0.8483237255724143,0.8014817036771965,0.7476465871399829,0.7177726307115103,0.7309570873180177,0.08503982924218915,0.006386698155614815,0.005220733891012317,0.028364543285792576,0.041154963677041384,0.010320603996938143,0.009302817285538468
oulad,XGB,75pct,0.8901100897215177,0.86416858557027,0.8504185375699623,0.7300566342877823,0.7839835191238718,0.07272009141088083,0.008178843527364593,0.0072569235807504184,0.044570391470226664,0.03570714577555919,0.009716154689247466,0.009187377116281762
oulad,XGB,FINAL-100,0.9820421752766028,0.9319858825008279,0.9752288306823913,0.8944254989698432,0.9329943230030716,0.011879474517076506,0.0010181868292255998,0.0034634573225254027,0.007905932318546879,0.011653219591843452,0.0037545497339782604,0.001228801521709695
uci,DT,S0,0.4171223594902813,0.6919712060829267,0.4030168279113109,0.7706786648013012,0.5214007861253803,0.17296525725696965,0.03632891660581929,0.077860119651493,0.06344250948885638,0.08899518863155198,0.03744437192038782,0.048460233975676115
uci,DT,S1,0.7330175266314812,0.8590824861866202,0.6562946718648474,0.8035175462969734,0.7068083199970441,0.08815455767506779,0.018542018333639405,0.017000343984295285,0.08989974083434245,0.14080441350687967,0.011901835044701548,0.014517702763511053
uci,DT,S2,0.8547326731772529,0.8760284441729812,0.6531428215236619,0.8929478461365973,0.7544208625901226,0.05891088998093889,0.021262520707188988,0.007630479958124375,0.011064557805129648,0.020137309340380653,0.013886354399978896,0.022584084548663813
uci,LR,S0,0.46714985823778554,0.6486406092199396,0.34988195526568955,0.7242265151625938,0.4665399752890445,0.1822237836097012,0.030813996627643257,0.05471522188054985,0.019072960734915337,0.13676266390887346,0.010504063297406267,0.029892126986463104
uci,LR,S1,0.7653286057867139,0.8496141979974883,0.624333190700328,0.7640897650256976,0.6836819693481551,0.13424162709201673,0.04773324119724744,0.012770509154560317,0.04431312296565411,0.07402583321018764,0.02121782067756604,0.04205367377013014
uci,LR,S2,0.8659409130630659,0.9109712302727198,0.8054610733182161,0.7925365882985689,0.7925859670045717,0.09714538898858933,0.04027307071491156,0.017762252545726387,0.09697181794208264,0.06440903845090086,0.030669410571617418,0.030808894606578034
uci,MLP,S0,0.4238192504162245,0.6584435228805205,0.3656226512365837,0.6595848857734469,0.4579518128999695,0.31417333477759013,0.05919462109369323,0.10646028184446542,0.07486783824461576,0.11915048665867534,0.037549354113167226,0.1331070120362922
uci,MLP,S1,0.7269028549711529,0.82568503310306,0.5707265876277106,0.7956596130504088,0.6614784069850499,0.17880470701055104,0.04103389554255952,0.028779945286535838,0.05424955555677782,0.0695618462382389,0.03858998864022773,0.03577025919468989
uci,MLP,S2,0.807326284180824,0.8421355622883814,0.6160395412998974,0.8302376607753832,0.6971070769895378,0.1355040842332889,0.039965682994880125,0.05411043841928277,0.09593861729416639,0.09701500554914692,0.053041886256126214,0.029431775136636976
uci,RF,S0,0.49563591353706055,0.6602591012416755,0.37869789527586606,0.8209303320664664,0.5118022678850629,0.5035036152331595,0.0392236711274855,0.08326909222405493,0.05755412100480012,0.107287102666967,0.04389829764913236,0.03880266852589346
uci,RF,S1,0.789522782338721,0.8638065092045522,0.6709494742596239,0.7901935072932864,0.7121062615797601,0.205884805518319,0.05048241163510586,0.025654219143893257,0.0871860398860928,0.1339564519148668,0.023712078773224798,0.05096601468218275
uci,RF,S2,0.9098305124309951,0.9082532802367376,0.7789267228736536,0.8231970435798984,0.7919743124526716,0.08846388277359976,0.020605461674072807,0.019407128328600726,0.09394600245103604,0.10518105796523756,0.04239165262203574,0.020799683800343225
uci,XGB,S0,0.48489897980356605,0.6959461434414416,0.38507466931216044,0.6739569741865701,0.4862250842138142,0.5145175908881775,0.05183817110635595,0.04036567597158744,0.03559186525794972,0.08330833689253347,0.020105197818565877,0.05176613991840536
uci,XGB,S1,0.7752108112187215,0.8569965364919827,0.6390380126843617,0.8073192304338384,0.7041765200932171,0.22478918878127846,0.04965237505776655,0.012056914012875654,0.054392457284716964,0.12861162965442882,0.02555879030480355,0.04965237505776662
uci,XGB,S2,0.8973420579564311,0.8968875631538383,0.7283833239154281,0.8394539960472017,0.7767382626470906,0.102657942043569,0.022790750984274924,0.014778868763801477,0.05954140876684538,0.05687376717547437,0.025108126274120998,0.022790750984274882
