domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,RF,0,2026,50pct,0.8486031450945047,0.8691248857114156,0.7859366416407252,0.709868121873579,0.7461759082217974,0.7275693311582382,0.37,0.9989682939426258,0.15036514884812102,96,False
oulad,RF,0,2026,75pct,0.8940237549464755,0.9128462384306106,0.8654708520179372,0.8373266078184111,0.7545454545454545,0.793783622235505,0.39,0.9986162770318792,0.1045925220854037,96,False
oulad,RF,0,2026,FINAL-100,0.9811176789510961,0.9717224266192677,0.9317046085508051,0.9766181921870545,0.8930899608865711,0.9329882865704168,0.46,0.9998813295672022,0.018763650616106076,96,False
oulad,RF,1,42,20pct,0.7542497588223054,0.7771155943753807,0.6835760924158715,0.6090202177293935,0.7556927827093786,0.674474681364106,0.37,0.998319685429216,0.24406992660691063,96,False
oulad,RF,1,42,35pct,0.7930668857859802,0.8151489538090916,0.7419524142757172,0.6825329366765831,0.68808911739503,0.6852997653082995,0.4,0.9980334062480761,0.20496652046209596,96,False
oulad,RF,1,42,50pct,0.8359990591292428,0.8612501439196167,0.7913708356089568,0.7664273881833241,0.6575082899099952,0.7078021417644059,0.44,0.9985678462671419,0.16256878713789913,96,False
oulad,RF,1,42,75pct,0.8825421365176738,0.9046116069482351,0.8625702655553402,0.935562805872757,0.6454698930782217,0.7639027639027639,0.63,0.9986372618089023,0.11609512529122856,96,False
oulad,RF,1,42,FINAL-100,0.980126977513384,0.9708389954434155,0.9269871883179501,0.9771884801824922,0.8839308743874129,0.9282231852654388,0.53,0.9999172204444772,0.019790242931093216,96,False
oulad,RF,1,1201,20pct,0.7553085667369749,0.7782087428598425,0.6773815503097271,0.5960648148148148,0.7950598224623697,0.6813295849181412,0.35,0.9982617084910366,0.24295314175406169,96,False
oulad,RF,1,1201,35pct,0.7917760126075213,0.8141269850922039,0.7374037788663401,0.6700694160881993,0.7030848329048843,0.6861802216182312,0.39,0.9978679113571386,0.2060918987496173,96,False
oulad,RF,1,1201,50pct,0.8378648262260578,0.8628686268121616,0.7981066812306572,0.7846590909090909,0.6541923259118901,0.7135107207439938,0.45,0.9984883541499047,0.16062352792384682,96,False
