dataset,outer_fold,information_level,model,seed,hpo_on_outer,threshold_from,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,3,S2,RF,42,False,STOP,0.8603930035016695,0.9621262458471761,0.7865168539325843,0.7608695652173914,0.813953488372093,0.9371428571428572,0.9128440366972477,0.8755481727574751,0.06779388297137029,0.0962309157401067,0.48024609015950803,0.4225433957164683,0.53,35,11,164,8,218,0.19724770642201836
uci,4,S0,Hybrid,42,False,STOP,0.5142552514354676,0.7806263858093127,0.5079365079365079,0.3902439024390244,0.7272727272727273,0.6951219512195121,0.7019230769230769,0.7111973392461197,0.20170756777203455,0.2554241984079664,0.9129451256036563,0.947570558497525,0.49,32,50,114,12,208,0.21153846153846154
uci,4,S0,LR,42,False,STOP,0.43457609248904167,0.7412694013303769,0.4727272727272727,0.3939393939393939,0.5909090909090909,0.7560975609756098,0.7211538461538461,0.6735033259423504,0.20512172024133435,0.2038972439835421,0.722384694998959,0.8002652661844443,0.54,26,40,124,18,208,0.21153846153846154
uci,4,S0,RF,42,False,STOP,0.4580712572053871,0.7597006651884701,0.44871794871794873,0.3125,0.7954545454545454,0.5304878048780488,0.5865384615384616,0.6629711751662971,0.14558576295328549,0.07251645433895577,0.7440313413103363,0.8213207683689407,0.25,35,77,87,9,208,0.21153846153846154
uci,4,S1,Hybrid,42,False,STOP,0.8013581857213155,0.9417960088691796,0.7289719626168224,0.6190476190476191,0.8863636363636364,0.8536585365853658,0.8605769230769231,0.8700110864745011,0.11487376724868935,0.1395544015103951,0.41745052393812393,0.2643573718705873,0.53,39,24,140,5,208,0.21153846153846154
uci,4,S1,LR,42,False,STOP,0.7196448018191648,0.9104767184035476,0.6666666666666666,0.5428571428571428,0.8636363636363636,0.8048780487804879,0.8173076923076923,0.8342572062084257,0.11391451090001369,0.1256130223505002,0.541583209921391,0.5521798058945167,0.42,38,32,132,6,208,0.21153846153846154
uci,4,S1,RF,42,False,STOP,0.7991301162280773,0.9412416851441241,0.7789473684210526,0.7254901960784313,0.8409090909090909,0.9146341463414634,0.8990384615384616,0.8777716186252772,0.08392588218969689,0.07801492285216226,0.5485058858585948,0.5252714070430259,0.46,37,14,150,7,208,0.21153846153846154
uci,4,S2,Hybrid,42,False,STOP,0.8818981385389062,0.9649390243902439,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.9390243902439024,0.8942307692307693,0.8331485587583148,0.10751719350757633,0.14440425582982314,0.37838382164402806,0.24173202968812674,0.9,32,10,154,12,208,0.21153846153846154
uci,4,S2,LR,42,False,STOP,0.7669639069525125,0.9327882483370288,0.7096774193548387,0.673469387755102,0.75,0.9024390243902439,0.8701923076923077,0.8262195121951219,0.09850035344264031,0.10479254467981473,0.5014503925895446,0.4691010344673536,0.58,33,16,148,11,208,0.21153846153846154
uci,4,S2,RF,42,False,STOP,0.8736202373557135,0.9581485587583147,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.926829268292683,0.9230769230769231,0.917960088691796,0.06442465249876667,0.0845195048190922,0.47560492065158744,0.4046827308706539,0.4,40,12,152,4,208,0.21153846153846154
