dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,status,target_macro_f1,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.7645717829090897,0.4270022667170381,0.7347844839096069,12.745647594534356,-11.179262049594103
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,fail,0.95,0.6666666666666666,0.4445564516129032,0.6666666666666666,0.5333817126269956,1.0,0.8076923076923077,4.19135542724073,-0.31706176803929,0.5934944748878479,12.61828955876023,-10.937080985678495
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.746031746031746,0.7456709956709956,0.746031746031746,0.7455635685924965,0.8095238095238095,0.7906976744186046,4.367538989568018,-0.43011428031734056,0.45919153094291687,12.748581622642854,-11.184869989076006
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9841269841269841,0.9848484848484849,0.9841269841269842,0.9841179807146908,1.0,1.0,2.7087453898994616,0.4499102757839063,0.8252248167991638,12.754447502037458,-11.19608557735869
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.7645717829090897,0.4270022667170381,0.7382093071937561,12.748834679375111,-11.18535372822076
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.7645717829090897,0.4270022667170381,0.7347844839096069,12.745647594534356,-11.179262049594103
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,fail,0.95,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6646464646464647,0.5714285714285714,0.7272727272727273,2.9747615617400918,0.33656025689459756,0.6972184181213379,13.079530290988869,-11.825711239893499
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,fail,0.95,0.8095238095238095,0.8518518518518517,0.8095238095238096,0.7833333333333333,1.0,0.875,3.4318767136623336,0.117000377786173,0.6261675953865051,12.624877934505607,-10.949549633849076
student-por,late,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.7619047619047619,0.7627272727272727,0.7619047619047619,0.756155548875468,0.8571428571428571,0.782608695652174,4.158086403585493,-0.296236305251228,0.4964556396007538,12.727276549973018,-11.144177992032644
student-por,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9841269841269841,0.9848484848484849,0.9841269841269842,0.9841179807146908,1.0,1.0,2.7087453898994616,0.4499102757839063,0.8160266280174255,12.744125470009688,-11.176353253259213
student-por,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9682539682539683,0.9710144927536232,0.9682539682539683,0.9681818181818181,1.0,1.0,2.811540841738193,0.4073668303740082,0.7280875444412231,12.717490142987122,-11.12550908436442
student-por,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,pass,0.95,0.9682539682539683,0.9710144927536232,0.9682539682539683,0.9681818181818181,1.0,1.0,2.811540841738193,0.4073668303740082,0.7250066995620728,12.714787135724201,-11.120355259879117
student-por,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,fail,0.95,0.9365079365079365,0.9413702239789196,0.9365079365079364,0.9363040060714479,0.8571428571428571,0.9230769230769231,2.4792792091302256,0.5391622591613147,0.821056067943573,12.980947248874234,-11.633099946664197
