dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_f1_tuned,0.27499999999999997,0.7942868306588223,0.7626582278481012,0.7815433414511755,0.7705139687898308,0.7645634523445605,0.9423076923076923,0.7935222672064778,3.625136400751099,0.3701391985416336,0.7521234039641633
student-mat,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_recall_priority,0.175,0.9313779745434422,0.689873417721519,0.7431310677775004,0.7248929231687852,0.702485179739972,0.9807692307692307,0.7338129496402878,4.0026692043552226,0.23211660403748247,0.7521234039641633
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,argmax,,0.8350640345170017,0.8291139240506329,0.8336526181353768,0.8367652462480049,0.8350640345170017,0.8365384615384616,0.8207547169811321,3.06754138139688,0.5489997969691283,0.8080559421943713
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_threshold_tuned,0.1,0.9271120741471544,0.7974683544303798,0.8218007662835248,0.8317702412529998,0.8096059261347266,0.9903846153846154,0.8110236220472441,3.317340325538373,0.4725565138591369,0.8080559421943713
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_f1_tuned,0.3,0.8420403805816348,0.8322784810126582,0.8377439187383052,0.8503766348593934,0.8386638434373254,0.9423076923076923,0.8412017167381974,3.0962921884821686,0.5405060988457959,0.8080559421943713
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_recall_priority,0.075,0.955805243445693,0.7626582278481012,0.8052984163391343,0.8090013434841022,0.7799634544895323,1.0,0.7790262172284644,3.5496032939335342,0.3961132307491455,0.8080559421943713
student-mat,late,context_mlp_only,default,0.15,0.0001,True,argmax,,0.46776604808645555,0.5632911392405063,0.5622389306599833,0.4643531755600721,0.46776604808645555,0.4326923076923077,0.5172413793103449,4.621941342353005,-0.023869806813485717,0.545036652703074
student-mat,late,context_mlp_only,default,0.15,0.0001,True,low_threshold_tuned,0.22499999999999998,0.7309074679254418,0.46835443037974683,0.555567300916138,0.44428416411175026,0.39187847978697654,0.9134615384615384,0.5864197530864198,5.811517373045975,-0.6187320218082994,0.545036652703074
student-mat,late,context_mlp_only,default,0.15,0.0001,True,low_f1_tuned,0.35,0.6186692071086808,0.5664556962025317,0.5488821523304281,0.4904520766589732,0.4873889268626111,0.6538461538461539,0.6181818181818182,4.602730339948071,-0.015376108690153156,0.545036652703074
student-mat,late,context_mlp_only,default,0.15,0.0001,True,low_recall_priority,0.075,0.8992840095465394,0.3291139240506329,0.11005291005291006,0.3333333333333333,0.1654733492442323,1.0,0.4964200477326969,7.429201705074613,-1.6453319458757134,0.545036652703074
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,argmax,,0.7180533046328209,0.7215189873417721,0.7261278607432454,0.7172812819364545,0.7180533046328209,0.6442307692307693,0.7127659574468085,3.5257865627510623,0.40418982762534994,0.719330476431907
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_threshold_tuned,0.15,0.8611848699797607,0.6867088607594937,0.7085500394011032,0.7267717914269639,0.6926710570850307,0.9519230769230769,0.7443609022556391,3.934591803253274,0.2580147996546076,0.719330476431907
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_f1_tuned,0.3,0.7952688780708705,0.7531645569620253,0.740556705774097,0.7597388243939968,0.7483301256651194,0.8365384615384616,0.7945205479452054,3.5818856854024723,0.3850790068478521,0.719330476431907
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_recall_priority,0.1,0.9238645313730638,0.6234177215189873,0.6777339937858381,0.6866036262587988,0.6332523124331998,0.9807692307692307,0.6962457337883959,4.336425787165616,0.09872004154693204,0.719330476431907
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,argmax,,0.6880188405441917,0.6962025316455697,0.6924184490641054,0.6877160196125714,0.6880188405441917,0.6634615384615384,0.7150259067357513,3.7946706466379525,0.30984910918405106,0.6674047426521024
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_threshold_tuned,0.125,0.8388094340300222,0.5917721518987342,0.6313628112781321,0.6495874814840331,0.5930269543714921,0.9711538461538461,0.6870748299319728,4.513779886166304,0.023490143883131087,0.6674047426521024
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_f1_tuned,0.27499999999999997,0.7732333674322251,0.7088607594936709,0.6955688922230557,0.7182271751237269,0.7011785910235308,0.8653846153846154,0.7725321888412017,3.9210967853395307,0.2630958512105296,0.6674047426521024
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_recall_priority,0.125,0.9143380429094715,0.5917721518987342,0.6313628112781321,0.6495874814840331,0.5930269543714921,0.9711538461538461,0.6870748299319728,4.513779886166304,0.023490143883131087,0.6674047426521024
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,argmax,,0.4876907693706167,0.5189873417721519,0.4953484679238671,0.48328539276815136,0.4876907693706167,0.49038461538461536,0.5284974093264249,4.852899433471953,-0.12875181131856306,0.6216403864607026
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_threshold_tuned,0.075,0.7449475345011629,0.41455696202531644,0.5168353323338332,0.43672850138367375,0.3605643842890369,0.9519230769230769,0.5424657534246575,6.451192118270502,-0.9946919186513374,0.6216403864607026
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_f1_tuned,0.25,0.5901298447789883,0.5126582278481012,0.49700983256505143,0.4993081631012666,0.48841051604007,0.7115384615384616,0.5896414342629482,5.068361780619109,-0.23120704493125976,0.6216403864607026
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_recall_priority,0.05,0.8889632107023411,0.3860759493670886,0.5787843592721642,0.40603936293591464,0.3049197840740426,0.9807692307692307,0.5217391304347826,6.916603121054237,-1.2928813920526134,0.6216403864607026
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,argmax,,0.8322161319743914,0.8227848101265823,0.8255874164641094,0.8427233685854376,0.8322161319743914,0.8653846153846154,0.8144796380090498,3.1178081801325215,0.5340979069581031,0.845077401852306
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_threshold_tuned,0.125,0.9267505257209888,0.7943037974683544,0.8207098100974225,0.8367709876330567,0.8085729306313966,0.9903846153846154,0.8046875,3.36387641820594,0.45765462384811184,0.845077401852306
