dataset,scenario,candidate_id,variant,model_family,fold,cnn_kernel_size,cnn_channels,lstm_hidden_dim,pooling,loss_name,imbalance_strategy,dropout,context_hidden_dim,ordinal_weight,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,late,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,1,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.8692307692307693,0.8348217158678489,0.8894079764998306,0.8513208040594008,0.95,0.7676767676767676,2.7501748196181164,0.3111629354490597,0.834530770778656
student-por,late,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,2,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.8687258687258688,0.8237158413807274,0.8580109012743743,0.8382661901667751,0.725,0.725,2.2645923205686223,0.43989822599657435,0.8688126802444458
student-por,late,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,1,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.8,0.7507504479031658,0.8534798327872556,0.7840837192962994,0.95,0.7524752475247525,2.94598814557122,0.20958004771970673,0.8181208968162537
student-por,late,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,2,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.8648648648648649,0.8174603174603176,0.8623522186396437,0.8365431902998429,0.75,0.7317073170731707,2.3116291535688296,0.41638934295445806,0.8428775072097778
student-por,midterm,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.4846153846153846,0.6087120100903123,0.7028923285504463,0.5239152486677239,0.9,0.7128712871287128,4.095846864625377,-0.5278591743224328,0.554227352142334
student-por,midterm,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,2,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.4942084942084942,0.5976676511090132,0.7321856287425149,0.5060649536976652,0.975,0.5454545454545454,4.1269665956793595,-0.860153548332476,0.6925356388092041
student-por,midterm,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.4846153846153846,0.6087120100903123,0.7028923285504463,0.5239152486677239,0.9,0.7128712871287128,4.095846864625377,-0.5278591743224328,0.5955442786216736
student-por,midterm,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,2,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.4942084942084942,0.5976676511090132,0.7321856287425149,0.5060649536976652,0.975,0.5454545454545454,4.1269665956793595,-0.860153548332476,0.5625090599060059
student-por,midterm,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.8461538461538461,0.8597970656794187,0.7709204233043346,0.8017066700862543,0.75,0.759493670886076,2.5468683636062663,0.4092429649808488,0.6746017336845398
student-por,midterm,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.752895752895753,0.7219753930280247,0.7810417626285889,0.731086691086691,0.675,0.6923076923076923,2.5932418851513783,0.2655318916841961,0.5813345313072205
student-por,midterm,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,1,2,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.8076923076923077,0.8050992080886005,0.7889842955598237,0.7736298557151103,0.9,0.7128712871287128,2.9577148143587007,0.20327490296409167,0.6370070576667786
