run_id,metric_name,dimension,expected,actual,status
final:student_mat:xgboost,brier,overall,0.17301771375819439,0.17301771375819439,PASS
final:student_mat:xgboost,ece,overall,0.03810411128568142,0.03810411128568142,PASS
final:student_mat:xgboost,macro_f1,overall,0.8880001338150677,0.8880001338150677,PASS
final:student_mat:xgboost,macro_precision,overall,0.8942084241103849,0.8942084241103849,PASS
final:student_mat:xgboost,macro_recall,overall,0.8827801194239551,0.8827801194239551,PASS
final:student_mat:xgboost,nll,overall,0.29613737794424366,0.29613737794424366,PASS
final:student_mat:xgboost,pr_auc,overall,0.9506283290165705,0.9506283290165705,PASS
final:student_mat:xgboost,roc_auc,overall,0.968927204853611,0.968927204853611,PASS
final:student_mat:xgboost,weighted_f1,overall,0.8790084811651058,0.8790084811651058,PASS
final:student_mat:xgboost,precision,Low,0.837037037037037,0.837037037037037,PASS
final:student_mat:xgboost,recall,Low,0.8692307692307693,0.8692307692307693,PASS
final:student_mat:xgboost,f1,Low,0.8528301886792453,0.8528301886792453,PASS
final:student_mat:xgboost,support,Low,130,130.0,PASS
final:student_mat:xgboost,precision,Medium,0.875,0.875,PASS
final:student_mat:xgboost,recall,Medium,0.875,0.875,PASS
final:student_mat:xgboost,f1,Medium,0.875,0.875,PASS
final:student_mat:xgboost,support,Medium,192,192.0,PASS
final:student_mat:xgboost,precision,High,0.9705882352941176,0.9705882352941176,PASS
final:student_mat:xgboost,recall,High,0.9041095890410958,0.9041095890410958,PASS
final:student_mat:xgboost,f1,High,0.9361702127659576,0.9361702127659576,PASS
final:student_mat:xgboost,support,High,73,73.0,PASS
final:student_por:cnn_bilstm,accuracy,overall,0.889060092449923,0.889060092449923,PASS
final:student_por:cnn_bilstm,balanced_accuracy,overall,0.8675763663148155,0.8675763663148155,PASS
final:student_por:cnn_bilstm,brier,overall,0.17246400426273456,0.17246400426273456,PASS
final:student_por:cnn_bilstm,ece,overall,0.053694645765948824,0.053694645765948824,PASS
final:student_por:cnn_bilstm,macro_f1,overall,0.8622587167738002,0.8622587167738002,PASS
final:student_por:cnn_bilstm,macro_precision,overall,0.8572836548564705,0.8572836548564705,PASS
final:student_por:cnn_bilstm,macro_recall,overall,0.8675763663148155,0.8675763663148155,PASS
final:student_por:cnn_bilstm,nll,overall,0.3078934731046347,0.3078934731046347,PASS
final:student_por:cnn_bilstm,pr_auc,overall,0.914678708867879,0.914678708867879,PASS
final:student_por:cnn_bilstm,roc_auc,overall,0.9627910173207844,0.9627910173207844,PASS
