dataset,stage,fold,seed,strategy,g_temporal_mean,tabular_mass,cnn_mass,bilstm_mass,tabular_norm,temporal_norm,temporal_available_rate,outer_test_used
oulad,20pct,1,42,L2_stagenorm,0.6849106550216675,0.3150893449783325,0.2585136890411377,0.4263969957828522,15.552743911743164,5.561550617218018,1.0,False
oulad,35pct,1,42,L2_stagenorm,0.7246949076652527,0.2753051221370697,0.2666659355163574,0.4580289423465729,15.72921371459961,5.840719699859619,1.0,False
oulad,50pct,1,42,L2_stagenorm,0.7630712985992432,0.23692867159843445,0.2575131058692932,0.5055582523345947,15.914342880249023,6.200422286987305,1.0,False
oulad,75pct,1,42,L2_stagenorm,0.7944768667221069,0.20552310347557068,0.24326787889003754,0.5512089729309082,16.009502410888672,6.642638683319092,1.0,False
oulad,100pct,1,42,L2_stagenorm,0.8159688711166382,0.18403109908103943,0.21756511926651,0.5984037518501282,16.051244735717773,6.806448459625244,1.0,False
oulad,20pct,2,42,L2_stagenorm,0.6654090285301208,0.33459097146987915,0.23493878543376923,0.4304702579975128,15.425137519836426,5.378920555114746,1.0,False
oulad,35pct,2,42,L2_stagenorm,0.7176617383956909,0.2823382616043091,0.22359979152679443,0.49406197667121887,15.650708198547363,5.733641624450684,1.0,False
oulad,50pct,2,42,L2_stagenorm,0.767154335975647,0.23284566402435303,0.19929558038711548,0.5678587555885315,15.9303560256958,6.070169925689697,1.0,False
oulad,75pct,2,42,L2_stagenorm,0.8072022199630737,0.19279778003692627,0.17559951543807983,0.6316027641296387,16.169639587402344,6.481777191162109,1.0,False
oulad,100pct,2,42,L2_stagenorm,0.8424074649810791,0.1575925350189209,0.14977040886878967,0.6926370859146118,16.26861572265625,6.623051643371582,1.0,False
uci,S0,0,1201,L1_control,0.0,1.0,0.0,0.0,11.305318832397461,0.0,0.0,False
uci,S1,0,1201,L1_control,0.9499813318252563,0.05001859739422798,0.23108355700969696,0.718897819519043,16.25627899169922,3.6554582118988037,1.0,False
uci,S2,0,1201,L1_control,0.9460633993148804,0.053936559706926346,0.2380564957857132,0.7080069184303284,16.26258087158203,4.0111083984375,1.0,False
uci,S0,0,2026,L1_control,0.0,1.0,0.0,0.0,11.30289363861084,0.0,0.0,False
uci,S1,0,2026,L1_control,0.920037031173706,0.07996296882629395,0.31046152114868164,0.6095755100250244,15.345688819885254,4.973721027374268,1.0,False
uci,S2,0,2026,L1_control,0.9574213027954102,0.042578741908073425,0.26297855377197266,0.6944426894187927,16.005279541015625,5.425373554229736,1.0,False
uci,S0,1,1201,L1_control,0.0,1.0,0.0,0.0,11.303547859191895,0.0,0.0,False
uci,S1,1,1201,L1_control,0.9505296349525452,0.04947039484977722,0.2178267389535904,0.732702910900116,16.459888458251953,3.365961790084839,1.0,False
uci,S2,1,1201,L1_control,0.9502208828926086,0.049779076129198074,0.2131769210100174,0.7370439171791077,16.50474739074707,3.6922709941864014,1.0,False
uci,S0,1,2026,L1_control,0.0,1.0,0.0,0.0,11.305932998657227,0.0,0.0,False
uci,S1,1,2026,L1_control,0.9391255378723145,0.06087450310587883,0.3127235770225525,0.6264019012451172,15.319860458374023,4.876688480377197,1.0,False
uci,S2,1,2026,L1_control,0.959988534450531,0.0400114431977272,0.28552770614624023,0.6744608879089355,15.988706588745117,5.207671165466309,1.0,False
uci,S0,2,1201,L1_control,0.0,1.0,0.0,0.0,11.306238174438477,0.0,0.0,False
uci,S1,2,1201,L1_control,0.8986661434173584,0.10133379697799683,0.29724717140197754,0.6014190316200256,16.299161911010742,3.916924476623535,1.0,False
uci,S2,2,1201,L1_control,0.8923841118812561,0.1076158732175827,0.2766420245170593,0.6157421469688416,16.259897232055664,4.185778617858887,1.0,False
uci,S0,2,2026,L1_control,0.0,1.0,0.0,0.0,11.30260181427002,0.0,0.0,False
uci,S1,2,2026,L1_control,0.941196084022522,0.05880395323038101,0.24852384626865387,0.6926721930503845,15.622743606567383,5.370399475097656,1.0,False
uci,S2,2,2026,L1_control,0.9626801013946533,0.03731994330883026,0.232085183262825,0.7305949330329895,16.219894409179688,5.7676191329956055,1.0,False
oulad,20pct,0,1201,L1_control,0.6662188768386841,0.3337811231613159,0.24931657314300537,0.4169023036956787,15.202581405639648,4.943676948547363,1.0,False
oulad,35pct,0,1201,L1_control,0.7158612012863159,0.28413885831832886,0.2749698758125305,0.4408912658691406,15.209945678710938,5.09056282043457,1.0,False
oulad,50pct,0,1201,L1_control,0.7557603120803833,0.2442396879196167,0.2960054874420166,0.4597548544406891,15.30859661102295,5.387908935546875,1.0,False
oulad,75pct,0,1201,L1_control,0.7890703678131104,0.21092967689037323,0.3163996636867523,0.47267064452171326,15.390644073486328,5.726072311401367,1.0,False
oulad,100pct,0,1201,L1_control,0.813721239566803,0.1862787902355194,0.30972105264663696,0.5040001273155212,15.505913734436035,5.740681171417236,1.0,False
oulad,20pct,0,2026,L1_control,0.6726388931274414,0.3273611068725586,0.21457304060459137,0.45806586742401123,14.858489990234375,5.337514877319336,1.0,False
oulad,35pct,0,2026,L1_control,0.7272359728813171,0.27276402711868286,0.23288890719413757,0.4943470358848572,14.962957382202148,5.514448165893555,1.0,False
oulad,50pct,0,2026,L1_control,0.7673778533935547,0.2326221764087677,0.2405945360660553,0.526783287525177,15.117626190185547,5.907830238342285,1.0,False
oulad,75pct,0,2026,L1_control,0.7963199615478516,0.20368003845214844,0.23410576581954956,0.562214195728302,15.405216217041016,6.183935165405273,1.0,False
oulad,100pct,0,2026,L1_control,0.8313328623771667,0.16866709291934967,0.22495079040527344,0.6063821315765381,15.644657135009766,6.347454071044922,1.0,False
oulad,20pct,1,1201,L1_control,0.7560651302337646,0.24393481016159058,0.23384708166122437,0.5222181081771851,15.137556076049805,5.0767130851745605,1.0,False
oulad,35pct,1,1201,L1_control,0.7774131298065186,0.22258688509464264,0.24524164199829102,0.5321714878082275,15.139166831970215,5.180756092071533,1.0,False
oulad,50pct,1,1201,L1_control,0.8004964590072632,0.19950348138809204,0.25838303565979004,0.5421134829521179,15.254812240600586,5.309535503387451,1.0,False
oulad,75pct,1,1201,L1_control,0.8167661428451538,0.18323387205600739,0.2666933238506317,0.5500727891921997,15.347224235534668,5.668947219848633,1.0,False
oulad,100pct,1,1201,L1_control,0.837424635887146,0.162575364112854,0.2625342607498169,0.5748903751373291,15.454790115356445,5.72663688659668,1.0,False
oulad,20pct,1,2026,L1_control,0.6942222118377686,0.30577778816223145,0.22026753425598145,0.4739546775817871,14.826398849487305,5.637961387634277,1.0,False
oulad,35pct,1,2026,L1_control,0.7274736166000366,0.2725263833999634,0.23195379972457886,0.49551981687545776,14.9684419631958,5.8447675704956055,1.0,False
oulad,50pct,1,2026,L1_control,0.7635142803192139,0.23648576438426971,0.2384188324213028,0.5250954031944275,15.115760803222656,6.245099067687988,1.0,False
oulad,75pct,1,2026,L1_control,0.7880691289901733,0.21193090081214905,0.23622003197669983,0.5518490672111511,15.412586212158203,6.657305717468262,1.0,False
oulad,100pct,1,2026,L1_control,0.8088424205780029,0.1911575198173523,0.22323206067085266,0.5856103897094727,15.536015510559082,6.85426664352417,1.0,False
oulad,20pct,2,1201,L1_control,0.7021611928939819,0.29783880710601807,0.24262042343616486,0.4595407545566559,15.165647506713867,4.689424991607666,1.0,False
oulad,35pct,2,1201,L1_control,0.7543901205062866,0.24560993909835815,0.26061782240867615,0.4937722384929657,15.07681941986084,4.900821685791016,1.0,False
oulad,50pct,2,1201,L1_control,0.7937106490135193,0.2062893509864807,0.2801203727722168,0.5135902166366577,15.1927490234375,5.204807281494141,1.0,False
oulad,75pct,2,1201,L1_control,0.8290306329727173,0.1709693968296051,0.29907676577568054,0.5299538373947144,15.256468772888184,5.620814323425293,1.0,False
oulad,100pct,2,1201,L1_control,0.8503589630126953,0.1496410220861435,0.3008478879928589,0.5495110750198364,15.38960075378418,5.7416534423828125,1.0,False
oulad,20pct,2,2026,L1_control,0.6432844400405884,0.35671550035476685,0.2488481104373932,0.39443641901016235,14.7977294921875,5.5864715576171875,1.0,False
oulad,35pct,2,2026,L1_control,0.684685468673706,0.3153145909309387,0.2573232054710388,0.42736220359802246,14.940929412841797,5.910932540893555,1.0,False
oulad,50pct,2,2026,L1_control,0.7293601036071777,0.27063992619514465,0.2723613977432251,0.45699867606163025,15.122252464294434,6.323947906494141,1.0,False
oulad,75pct,2,2026,L1_control,0.7606143951416016,0.23938564956188202,0.26721739768981934,0.49339696764945984,15.42316722869873,6.754215240478516,1.0,False
oulad,100pct,2,2026,L1_control,0.7859656810760498,0.214034304022789,0.263144314289093,0.522821307182312,15.570637702941895,6.875996112823486,1.0,False
