dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,outer_test_used
uci,2,42,S2,MLP,0.8616790239686393,0.7874015748031497,0.8771929824561403,0.9014598540145985,0.08776411025827387,0.08185731795569859,False
uci,2,1201,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.6751824817518248,0.2048332922497674,0.20278806316025222,False
uci,2,1201,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.5912408759124088,0.20723869590225996,0.21333331033072397,False
uci,2,1201,S0,RF,0.4831478357403805,0.5131578947368421,0.6842105263157895,0.7299270072992701,0.07631989924630278,0.13997673217259046,False
uci,2,1201,S0,SVM,0.4729555456882803,0.4756756756756757,0.7719298245614035,0.6459854014598541,0.06872140759287404,0.14578898899323056,False
uci,2,1201,S0,MLP,0.38031865614973437,0.40625,0.45614035087719296,0.7226277372262774,0.19486422681985868,0.19723858568689745,False
uci,2,1201,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.8357664233576643,0.10043357503376779,0.11102841031645286,False
uci,2,1201,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.8394160583941606,0.10006041775265506,0.1024459469006819,False
uci,2,1201,S1,RF,0.7903873135745678,0.7681159420289855,0.9298245614035088,0.8832116788321168,0.08039312781039563,0.07749123246985207,False
uci,2,1201,S1,SVM,0.8160374527442827,0.72,0.9473684210526315,0.8467153284671532,0.04247939600777123,0.07765686682790308,False
uci,2,1201,S1,MLP,0.7301426369328661,0.688,0.7543859649122807,0.8576642335766423,0.1387404089913457,0.12677703547379318,False
uci,2,1201,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.8941605839416058,0.08787915009227623,0.0887004395238983,False
uci,2,1201,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.8832116788321168,0.12134679886101817,0.10005154005702416,False
uci,2,1201,S2,RF,0.9108736522966671,0.8346456692913385,0.9298245614035088,0.9233576642335767,0.07736700898571923,0.0603858590658557,False
uci,2,1201,S2,SVM,0.8745272078335838,0.7846153846153846,0.8947368421052632,0.8978102189781022,0.04771875350704251,0.0650353945619821,False
uci,2,1201,S2,MLP,0.8660045965109908,0.7575757575757576,0.8771929824561403,0.8832116788321168,0.08097209731500853,0.07759705651311112,False
uci,2,2026,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.6751824817518248,0.2048332922497674,0.20278806316025222,False
uci,2,2026,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.5912408759124088,0.20723869590225996,0.21333331033072395,False
uci,2,2026,S0,RF,0.4489356099493082,0.4588744588744589,0.9298245614035088,0.5437956204379562,0.06949981636814427,0.14381635032066498,False
uci,2,2026,S0,SVM,0.4729555456882803,0.47804878048780486,0.8596491228070176,0.6094890510948905,0.07489886516843419,0.14588851069327594,False
uci,2,2026,S0,MLP,0.39088564558833877,0.41904761904761906,0.38596491228070173,0.7773722627737226,0.19846141665468373,0.19853646863649155,False
uci,2,2026,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.8357664233576643,0.10043357503376779,0.11102841031645286,False
uci,2,2026,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.8394160583941606,0.10006041775265505,0.10244594690068191,False
uci,2,2026,S1,RF,0.8131909491142775,0.6832298136645962,0.9649122807017544,0.8138686131386861,0.08367069701874896,0.07769679976321542,False
