dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,fold,status,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,1,evaluated,0.740506329113924,0.7667003367003367,0.7277262966918139,0.743441285709327,0.6538461538461539,0.7010309278350515,3.5846455256139063,0.46574859933247614,0.75226891040802,11.440179945040498,-4.441503946442159
student-mat,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,2,evaluated,0.7784810126582279,0.7898098633392752,0.7756726032588102,0.7756323309403821,0.9230769230769231,0.8135593220338984,3.2690532055565407,0.39507869239786764,0.7519778609275818,11.477884330695636,-6.4572480945061415
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,1,evaluated,0.8164556962025317,0.8282963598042369,0.8217443476064167,0.8218299371617449,0.7115384615384616,0.7789473684210526,3.001845423962914,0.6253464195540515,0.8124364614486694,11.504339487906957,-4.502709871210993
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,2,evaluated,0.8417721518987342,0.8506863506863507,0.8517861448895933,0.8456728456728456,0.9615384615384616,0.8547008547008547,3.1318595600373698,0.4447872096793577,0.8036754727363586,11.312664815750688,-6.24410511283971
student-mat,late,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.5886075949367089,0.5945216049382717,0.5149534373672305,0.5300190768275875,0.4423076923076923,0.5476190476190477,4.833296958978507,0.028729506285516404,0.5444958209991455,11.416175459992433,-4.418692511169591
student-mat,late,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.5379746835443038,0.36798245614035086,0.41375291375291373,0.37616093250611016,0.4230769230769231,0.4888888888888889,4.400445892251478,-0.09609519728085503,0.5455775260925293,11.078893723007486,-5.947806216125405
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.6962025316455697,0.7006715506715507,0.6983447586895863,0.6922977384933907,0.5961538461538461,0.6813186813186813,3.9174633358005755,0.36193765114218523,0.7035425901412964,11.266984639544509,-4.277990956034794
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.7468354430379747,0.7558823529411764,0.7362178051833225,0.7440655220844525,0.6923076923076923,0.7422680412371134,3.0847727282265263,0.46135671543985435,0.7351183295249939,11.25164799919487,-6.166171185652219
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.6518987341772152,0.6458859966750928,0.6414619862895724,0.6396487673083417,0.6153846153846154,0.6808510638297872,4.350905623756443,0.2129314422378703,0.6456747651100159,11.29860583179815,-4.3076582667428145
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.740506329113924,0.7436280562365418,0.7339700529355703,0.7379170144297015,0.7115384615384616,0.7474747474747475,3.1414440765475917,0.44138374363125565,0.6891347169876099,11.221090033696083,-6.127299324957868
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.5569620253164557,0.5322589383916042,0.5344569223879568,0.531986531986532,0.5576923076923077,0.5858585858585859,5.091566618724673,-0.07784447094405977,0.629594087600708,11.484993811876697,-4.4842187381138645
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.4810126582278481,0.4589358631911824,0.4321138631483459,0.43994076416183,0.4230769230769231,0.46808510638297873,4.601870835852894,-0.1987365680999318,0.613686740398407,11.38649346901318,-6.338966529009457
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,1,evaluated,0.8354430379746836,0.8373537653048988,0.8583083583083583,0.8418803418803419,0.7307692307692307,0.8,2.9782970242333056,0.6312014096611085,0.8467099070549011,11.694727936311365,-4.686348634298168
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,2,evaluated,0.810126582278481,0.8403359291494885,0.8271383788625167,0.8188868139848532,1.0,0.8253968253968254,3.251338575363318,0.40161692980606367,0.8434449434280396,11.546574027455481,-6.546771362143669
