dataset,scenario,baseline_selected_by,baseline_model,baseline_strategy,baseline_locked_macro_f1,baseline_locked_recall_low,baseline_locked_f1_low,deep_variant,deep_config_id,deep_prediction_mode,deep_cv_selected,deep_locked_macro_f1,deep_locked_recall_low,deep_locked_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.0001_fs1,argmax,False,0.788595387840671,0.8076923076923077,0.7924528301886793,-0.14791254866726544,-0.15384615384615385,-0.10040431266846361
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_threshold_tuned,False,0.6886699507389163,0.9615384615384616,0.7142857142857143,-0.24783798576902005,0.0,-0.1785714285714286
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_f1_tuned,False,0.7570544151189313,0.9230769230769231,0.7741935483870968,-0.17945352138900506,-0.038461538461538436,-0.11866359447004615
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_recall_priority,False,0.6886699507389163,0.9615384615384616,0.7142857142857143,-0.24783798576902005,0.0,-0.1785714285714286
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.001_fs0,argmax,False,0.6151052390757263,0.46153846153846156,0.5106382978723404,-0.32140269743221006,-0.5,-0.3822188449848025
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.001_fs0,low_threshold_tuned,False,0.5333006535947712,0.9615384615384616,0.5882352941176471,-0.4032072829131652,0.0,-0.3046218487394958
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.001_fs0,low_f1_tuned,False,0.6473268366942184,0.7307692307692307,0.6440677966101694,-0.289181099813718,-0.23076923076923084,-0.24878934624697346
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.25_wd0.001_fs0,low_recall_priority,False,0.4953626149131767,1.0,0.5842696629213483,-0.4411453215947597,0.038461538461538436,-0.3085874799357946
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,fusion_cnn_bilstm_context,default,argmax,False,0.8689378254595646,0.9230769230769231,0.8571428571428571,-0.06757011104837185,-0.038461538461538436,-0.03571428571428581
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,fusion_cnn_bilstm_context,default,low_threshold_tuned,False,0.7801544860368389,1.0,0.7647058823529411,-0.1563534504710975,0.038461538461538436,-0.12815126050420178
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,fusion_cnn_bilstm_context,default,low_f1_tuned,True,0.8686710611593241,0.8846153846153846,0.8518518518518519,-0.06783687534861227,-0.07692307692307698,-0.041005291005291045
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,fusion_cnn_bilstm_context,default,low_recall_priority,False,0.7801544860368389,1.0,0.7647058823529411,-0.1563534504710975,0.038461538461538436,-0.12815126050420178
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,sequence_cnn_bilstm_only,default,argmax,False,0.7885878489326764,0.8461538461538461,0.7586206896551724,-0.026304546604880463,-0.11538461538461542,-0.03503010399562123
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,sequence_cnn_bilstm_only,default,low_threshold_tuned,False,0.7566927268419805,0.9615384615384616,0.746268656716418,-0.058199668695576356,0.0,-0.04738213693437565
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,sequence_cnn_bilstm_only,default,low_f1_tuned,False,0.7566927268419805,0.9615384615384616,0.746268656716418,-0.058199668695576356,0.0,-0.04738213693437565
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,sequence_cnn_bilstm_only,default,low_recall_priority,False,0.6985199485199485,1.0,0.7027027027027027,-0.1163724470176084,0.038461538461538436,-0.09094809094809087
