stage,candidate_id,outer_fold,inner_fold,seed,trial_number,status,fit_stages_completed,runtime_seconds
inner_search,M2,0,1,42,28,completed,1,0.01102329999957874
inner_search,M2,0,2,42,28,completed,1,0.010827500000232249
inner_search,M2,0,0,42,29,completed,1,0.01235369999994873
inner_search,M2,0,1,42,29,completed,1,0.012978599999769358
inner_search,M2,0,2,42,29,completed,1,0.013105699999869103
outer_evaluation,M2,0,,42,,completed,1,0.04020459999992454
inner_search,N0,0,0,42,0,completed,2,2.7389746000008017
inner_search,N0,0,1,42,0,completed,2,0.792550799998935
inner_search,N0,0,2,42,0,completed,2,0.7798132999996596
inner_search,N0,0,0,42,1,completed,2,2.699445600001127
inner_search,N0,0,1,42,1,completed,2,2.6664197000009153
inner_search,N0,0,2,42,1,completed,2,2.578245299999253
inner_search,N0,0,0,42,2,completed,2,0.8844238000001496
inner_search,N0,0,1,42,2,completed,2,2.2677643000006356
inner_search,N0,0,2,42,2,completed,2,1.9158165999997436
inner_search,N0,0,0,42,3,completed,2,0.6336365000006481
inner_search,N0,0,1,42,3,completed,2,0.6382269000005181
inner_search,N0,0,2,42,3,completed,2,0.5218999000007898
inner_search,N0,0,0,42,4,completed,2,5.140048099998239
inner_search,N0,0,1,42,4,completed,2,5.715975900000558
inner_search,N0,0,2,42,4,completed,2,5.150539300000673
inner_search,N0,0,0,42,5,completed,2,1.0359964999988733
inner_search,N0,0,1,42,5,completed,2,0.9383694999996806
inner_search,N0,0,2,42,5,completed,2,0.917240299999321
inner_search,N0,0,0,42,6,completed,2,1.838136599999416
inner_search,N0,0,1,42,6,completed,2,3.119602999999188
inner_search,N0,0,2,42,6,completed,2,3.7198219999991124
inner_search,N0,0,0,42,7,completed,2,1.0057897999995475
inner_search,N0,0,1,42,7,completed,2,0.8592554000006203
inner_search,N0,0,2,42,7,completed,2,0.767821699999331
inner_search,N0,0,0,42,8,completed,2,2.5188465000010183
inner_search,N0,0,1,42,8,completed,2,1.598388000000341
inner_search,N0,0,2,42,8,completed,2,1.4030706000012287
inner_search,N0,0,0,42,9,completed,2,1.352550000001429
inner_search,N0,0,1,42,9,completed,2,1.3624206999993476
inner_search,N0,0,2,42,9,completed,2,1.4940967999991699
inner_search,N0,0,0,42,10,completed,2,1.101261900001191
inner_search,N0,0,1,42,10,completed,2,1.3369657999992342
inner_search,N0,0,2,42,10,completed,2,1.123291899999458
inner_search,N0,0,0,42,11,completed,2,1.9469644000000699
inner_search,N0,0,1,42,11,completed,2,4.868346899998869
inner_search,N0,0,2,42,11,completed,2,5.060764500000005
inner_search,N0,0,0,42,12,completed,2,4.424103800000012
inner_search,N0,0,1,42,12,completed,2,5.393399500000669
inner_search,N0,0,2,42,12,completed,2,3.5260845000011614
inner_search,N0,0,0,42,13,completed,2,1.98235460000069
inner_search,N0,0,1,42,13,completed,2,3.350731700000324
inner_search,N0,0,2,42,13,completed,2,1.731084600000031
inner_search,N0,0,0,42,14,completed,2,3.7201154999984283
inner_search,N0,0,1,42,14,completed,2,5.107380200000989
inner_search,N0,0,2,42,14,completed,2,3.7760268000001815
inner_search,N0,0,0,42,15,completed,2,4.67500629999995
inner_search,N0,0,1,42,15,completed,2,2.6944018000012875
inner_search,N0,0,2,42,15,completed,2,3.670513699998992
inner_search,N0,0,0,42,16,completed,2,2.3699698000000353
inner_search,N0,0,1,42,16,completed,2,6.157057099999292
inner_search,N0,0,2,42,16,completed,2,2.17454109999926
inner_search,N0,0,0,42,17,completed,2,2.213326400000369
inner_search,N0,0,1,42,17,completed,2,5.483046999999715
inner_search,N0,0,2,42,17,completed,2,4.2558570000001055
inner_search,N0,0,0,42,18,completed,2,4.102586199998768
inner_search,N0,0,1,42,18,completed,2,4.637334900000496
inner_search,N0,0,2,42,18,completed,2,2.414661499999056
inner_search,N0,0,0,42,19,completed,2,5.082580500000404
inner_search,N0,0,1,42,19,completed,2,0.7631256000004214
inner_search,N0,0,2,42,19,completed,2,5.5765047000004415
inner_search,N0,0,0,42,20,completed,2,4.4947909000002255
inner_search,N0,0,1,42,20,completed,2,4.745468299999629
inner_search,N0,0,2,42,20,completed,2,5.4995565000008355
inner_search,N0,0,0,42,21,completed,2,4.47299380000004
inner_search,N0,0,1,42,21,completed,2,5.620021999999153
inner_search,N0,0,2,42,21,completed,2,4.745000200000504
inner_search,N0,0,0,42,22,completed,2,1.9014928999986296
inner_search,N0,0,1,42,22,completed,2,4.92456570000104
inner_search,N0,0,2,42,22,completed,2,3.6139922000002116
inner_search,N0,0,0,42,23,completed,2,2.1471972999988793
inner_search,N0,0,1,42,23,completed,2,2.835689999999886
inner_search,N0,0,2,42,23,completed,2,3.1303545999999187
inner_search,N0,0,0,42,24,completed,2,1.4738312999998016
inner_search,N0,0,1,42,24,completed,2,4.116713400000663
inner_search,N0,0,2,42,24,completed,2,3.846070499999769
inner_search,N0,0,0,42,25,completed,2,1.9637917000000016
inner_search,N0,0,1,42,25,completed,2,4.844015200000285
inner_search,N0,0,2,42,25,completed,2,5.0022098000008555
inner_search,N0,0,0,42,26,completed,2,3.376289199999519
inner_search,N0,0,1,42,26,completed,2,1.6984226999993552
inner_search,N0,0,2,42,26,completed,2,2.7700251000005665
inner_search,N0,0,0,42,27,completed,2,5.147557399999641
inner_search,N0,0,1,42,27,completed,2,4.802641100000983
inner_search,N0,0,2,42,27,completed,2,3.168452599999
inner_search,N0,0,0,42,28,completed,2,3.1135708000001614
inner_search,N0,0,1,42,28,completed,2,5.7669239999995625
inner_search,N0,0,2,42,28,completed,2,5.6537406999996165
inner_search,N0,0,0,42,29,completed,2,7.599045099999785
inner_search,N0,0,1,42,29,completed,2,7.369532900000195
inner_search,N0,0,2,42,29,completed,2,6.8981313000003865
outer_evaluation,N0,0,,42,,completed,2,6.915378099998634
outer_evaluation,N0,0,,123,,completed,2,3.150830099999439
outer_evaluation,N0,0,,155,,completed,2,3.2352769000008266
inner_search,N1,0,0,42,0,completed,2,5.609023700000762
inner_search,N1,0,1,42,0,completed,2,7.540830400001141
inner_search,N1,0,2,42,0,completed,2,3.2976926999999705
inner_search,N1,0,0,42,1,completed,2,1.166027999999642
inner_search,N1,0,1,42,1,completed,2,1.0630653000007442
inner_search,N1,0,2,42,1,completed,2,1.0638732999996137
inner_search,N1,0,0,42,2,completed,2,0.920476500001314
inner_search,N1,0,1,42,2,completed,2,0.8945702999990317
inner_search,N1,0,2,42,2,completed,2,0.8936274999996385
inner_search,N1,0,0,42,3,completed,2,2.4829451000005065
inner_search,N1,0,1,42,3,completed,2,1.6880135999999766
inner_search,N1,0,2,42,3,completed,2,3.1308567999985826
inner_search,N1,0,0,42,4,completed,2,5.697347599998466
inner_search,N1,0,1,42,4,completed,2,5.915206900001067
inner_search,N1,0,2,42,4,completed,2,3.066004399999656
inner_search,N1,0,0,42,5,completed,2,2.2406848999999056
inner_search,N1,0,1,42,5,completed,2,1.8434950000009849
inner_search,N1,0,2,42,5,completed,2,4.436220800000228
inner_search,N1,0,0,42,6,completed,2,3.0356609000009485
inner_search,N1,0,1,42,6,completed,2,2.680522699998619
inner_search,N1,0,2,42,6,completed,2,4.676279799999975
inner_search,N1,0,0,42,7,completed,2,3.2013509000007616
inner_search,N1,0,1,42,7,completed,2,3.0910939000004873
inner_search,N1,0,2,42,7,completed,2,3.6761477000000014
inner_search,N1,0,0,42,8,completed,2,1.4868230999982188
inner_search,N1,0,1,42,8,completed,2,1.3506397000001016
inner_search,N1,0,2,42,8,completed,2,6.14374350000071
inner_search,N1,0,0,42,9,completed,2,3.35085860000072
inner_search,N1,0,1,42,9,completed,2,3.3624978000007104
inner_search,N1,0,2,42,9,completed,2,3.014711300000272
inner_search,N1,0,0,42,10,completed,2,0.681372700000793
inner_search,N1,0,1,42,10,completed,2,0.6808034999994561
inner_search,N1,0,2,42,10,completed,2,3.1956384999994043
inner_search,N1,0,0,42,11,completed,2,6.074997000001531
inner_search,N1,0,1,42,11,completed,2,0.9871141999992687
inner_search,N1,0,2,42,11,completed,2,3.050511400000687
inner_search,N1,0,0,42,12,completed,2,7.089534099999582
inner_search,N1,0,1,42,12,completed,2,7.322234900000694
inner_search,N1,0,2,42,12,completed,2,3.7265251000007993
inner_search,N1,0,0,42,13,completed,2,1.2610647000001336
inner_search,N1,0,1,42,13,completed,2,1.0355986999984452
inner_search,N1,0,2,42,13,completed,2,6.175354299999526
inner_search,N1,0,0,42,14,completed,2,3.3043710999991163
inner_search,N1,0,1,42,14,completed,2,0.8009968000005756
inner_search,N1,0,2,42,14,completed,2,4.348455600000307
inner_search,N1,0,0,42,15,completed,2,2.113494200000787
inner_search,N1,0,1,42,15,completed,2,1.4793525999994017
inner_search,N1,0,2,42,15,completed,2,6.709730900000068
inner_search,N1,0,0,42,16,completed,2,4.327218799999173
inner_search,N1,0,1,42,16,completed,2,3.474356099999568
inner_search,N1,0,2,42,16,completed,2,7.071142400000099
inner_search,N1,0,0,42,17,completed,2,8.067342700000154
inner_search,N1,0,1,42,17,completed,2,8.183752500000992
inner_search,N1,0,2,42,17,completed,2,5.048323800001526
inner_search,N1,0,0,42,18,completed,2,1.2496802000005118
inner_search,N1,0,1,42,18,completed,2,0.9251691999998002
inner_search,N1,0,2,42,18,completed,2,4.823424100000921
inner_search,N1,0,0,42,19,completed,2,5.052784100000281
inner_search,N1,0,1,42,19,completed,2,6.306091000000379
inner_search,N1,0,2,42,19,completed,2,3.8570127000002685
inner_search,N1,0,0,42,20,completed,2,4.732618899999579
inner_search,N1,0,1,42,20,completed,2,4.212305500001094
inner_search,N1,0,2,42,20,completed,2,8.190741200000048
inner_search,N1,0,0,42,21,completed,2,8.959000299999389
inner_search,N1,0,1,42,21,completed,2,5.786699800000861
inner_search,N1,0,2,42,21,completed,2,3.3565656000009767
inner_search,N1,0,0,42,22,completed,2,1.4335534000001644
inner_search,N1,0,1,42,22,completed,2,1.3922488999996858
inner_search,N1,0,2,42,22,completed,2,6.016187600000194
inner_search,N1,0,0,42,23,completed,2,4.979418499999156
inner_search,N1,0,1,42,23,completed,2,3.6528366999991704
inner_search,N1,0,2,42,23,completed,2,3.439913300000626
inner_search,N1,0,0,42,24,completed,2,4.9513834999997925
inner_search,N1,0,1,42,24,completed,2,7.9778139000009105
inner_search,N1,0,2,42,24,completed,2,3.156512499999735
inner_search,N1,0,0,42,25,completed,2,1.5218932000007044
inner_search,N1,0,1,42,25,completed,2,1.3951011999997718
inner_search,N1,0,2,42,25,completed,2,7.649864999999409
inner_search,N1,0,0,42,26,completed,2,1.2308067999983905
inner_search,N1,0,1,42,26,completed,2,1.0266112000008434
inner_search,N1,0,2,42,26,completed,2,4.803105799999685
inner_search,N1,0,0,42,27,completed,2,8.19811540000046
inner_search,N1,0,1,42,27,completed,2,6.549554600000192
inner_search,N1,0,2,42,27,completed,2,4.189566600000035
inner_search,N1,0,0,42,28,completed,2,1.5014952999990783
inner_search,N1,0,1,42,28,completed,2,1.5192222999994556
inner_search,N1,0,2,42,28,completed,2,5.8244508000007045
inner_search,N1,0,0,42,29,completed,2,3.5472466999999597
inner_search,N1,0,1,42,29,completed,2,3.7196826999988843
inner_search,N1,0,2,42,29,completed,2,3.566328099999737
outer_evaluation,N1,0,,42,,completed,2,8.58654359999855
outer_evaluation,N1,0,,123,,completed,2,6.760348800000429
outer_evaluation,N1,0,,155,,completed,2,5.573615299999801
inner_search,N2,0,0,42,0,completed,2,2.0868607000011252
inner_search,N2,0,1,42,0,completed,2,2.321340499998769
inner_search,N2,0,2,42,0,completed,2,2.185030699998606
inner_search,N2,0,0,42,1,completed,2,1.323067199999059
inner_search,N2,0,1,42,1,completed,2,1.3727866000008362
inner_search,N2,0,2,42,1,completed,2,1.4421105000001262
inner_search,N2,0,0,42,2,completed,2,0.4903211000000738
inner_search,N2,0,1,42,2,completed,2,0.4899267000000691
inner_search,N2,0,2,42,2,completed,2,0.5975397999991401
inner_search,N2,0,0,42,3,completed,2,0.6679612000007182
inner_search,N2,0,1,42,3,completed,2,0.8629757999988215
inner_search,N2,0,2,42,3,completed,2,0.7184557000000495
inner_search,N2,0,0,42,4,completed,2,1.595146300000124
inner_search,N2,0,1,42,4,completed,2,1.6411197999987053
