phase,candidate,outer_fold,seed,stage,macro_f1,pr_auc,nll,brier,ece,roc_auc,threshold
screening,H0_CURRENT_HYBRID,1,42,L1_LATE_75PCT,0.8535077372181183,0.905203662514883,0.3159176696304405,0.09709158276795049,0.015750687170895884,0.9168604491464656,0.46541064977645874
screening,H0_CURRENT_HYBRID,2,42,E1_EARLY_20PCT,0.7091817060512726,0.7579685368458089,0.5572607989488321,0.18891512615797265,0.034485647543539125,0.77404557457167,0.4736296832561493
screening,H0_CURRENT_HYBRID,2,42,E2_EARLY_35PCT,0.7460454761392716,0.8031957250784455,0.4952913368112813,0.16453965860039121,0.02475056557815689,0.8208883621548159,0.4874732792377472
screening,H0_CURRENT_HYBRID,2,42,M1_MIDDLE_FROZEN,0.7937913508530261,0.8519836201132155,0.4175908747235137,0.13493004467263486,0.011951020298663533,0.8676754392383399,0.4507487714290619
screening,H0_CURRENT_HYBRID,2,42,L1_LATE_75PCT,0.8493302434816947,0.8973694121475255,0.3244513835208538,0.09980453571052424,0.013619034180199984,0.9104365185991035,0.547484278678894
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,E1_EARLY_20PCT,0.7081783461071902,0.7612339713358762,0.5587400491758008,0.18972792770851285,0.04442056013618532,0.776266942292134,0.5126526951789856
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,E2_EARLY_35PCT,0.7458022409880933,0.8094288578747322,0.49394885196202304,0.16430042401102093,0.03137541144968725,0.8224351083544071,0.5132769346237183
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,M1_MIDDLE_FROZEN,0.7970561468761128,0.8573559294334743,0.41560615535926243,0.13429847918888757,0.019595871686566457,0.8712288991516092,0.48503485321998596
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,L1_LATE_75PCT,0.8445748740765957,0.8997536973164203,0.3267784799430305,0.10128346721479083,0.016566396384784743,0.9130509567912163,0.5382355451583862
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,E1_EARLY_20PCT,0.7138102004223819,0.7667824878728721,0.5514001515787608,0.18668855574346072,0.03492667481378719,0.7805664695642357,0.5128452777862549
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,E2_EARLY_35PCT,0.7495941472028802,0.8146656430492021,0.4842273894353008,0.16035523502790763,0.01713825178069085,0.8296001379701828,0.4967553913593292
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,M1_MIDDLE_FROZEN,0.795230992311707,0.8609902267306943,0.4105905236294975,0.1325830539216111,0.017265435968097535,0.8745126069847546,0.42052173614501953
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,L1_LATE_75PCT,0.8571149448781035,0.9076457699994598,0.3119366313201151,0.09600108734103802,0.016845217996780744,0.9197790003281713,0.394863486289978
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,E1_EARLY_20PCT,0.7104096848478758,0.7624912356923375,0.5538763527601638,0.18717073430613967,0.02575807164402813,0.7769434982016099,0.5003455877304077
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,E2_EARLY_35PCT,0.7468114469118909,0.80720581889165,0.4914183923812797,0.16280774396096107,0.024127227910908086,0.8246839778625239,0.44745388627052307
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,M1_MIDDLE_FROZEN,0.7925013393651943,0.8537700612056616,0.41854664979990946,0.13497484030731793,0.024469329930112818,0.8691494297600504,0.4230407178401947
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,L1_LATE_75PCT,0.850580212109757,0.9009385455661518,0.32068311909181463,0.09872374299309923,0.016692840889582877,0.9149566789146081,0.48298126459121704
