phase,candidate,outer_fold,seed,inner_fold,stage,alpha_mean,alpha_std,residual_logit_abs_mean,hybrid_logit_abs_mean,logit_correlation,residual_changes_class_fraction_at_0_5
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,1,E1_EARLY_20PCT,0.0698881596326828,7.450580596923828e-09,0.5498854517936707,0.7647374272346497,0.6345355195154059,0.14741613780598367
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,1,E2_EARLY_35PCT,0.0698881596326828,7.450580596923828e-09,0.6826587319374084,1.0040769577026367,0.7802364730759759,0.10734463276836158
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,1,M1_MIDDLE_FROZEN,0.0698881596326828,7.450580596923828e-09,0.8339303135871887,1.3330285549163818,0.8653129959129541,0.0583984375
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,1,L1_LATE_75PCT,0.0698881521821022,0.0,0.994530439376831,1.7739603519439697,0.9522282075220992,0.022203947368421052
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,0,E1_EARLY_20PCT,0.0677596926689148,1.4901161193847656e-08,0.4700537323951721,0.7486094832420349,0.6647509253669791,0.13007246376811593
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,0,E2_EARLY_35PCT,0.06775970011949539,7.450580596923828e-09,0.5846732258796692,1.0412533283233643,0.8108036288466712,0.08936970837253057
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,0,M1_MIDDLE_FROZEN,0.0677596926689148,1.4901161193847656e-08,0.6851189732551575,1.384380578994751,0.8871774029082267,0.046579614110309885
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,0,L1_LATE_75PCT,0.06775970011949539,7.450580596923828e-09,0.7934937477111816,1.7795219421386719,0.925180078112216,0.03497647780732256
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,1,E1_EARLY_20PCT,0.07244230061769485,7.450580596923828e-09,0.5878704786300659,0.7642905712127686,0.5022225261809454,0.1726007590818724
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,1,E2_EARLY_35PCT,0.07244230061769485,7.450580596923828e-09,0.6876899003982544,0.9703915119171143,0.6754993864985558,0.11834208552138034
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,1,M1_MIDDLE_FROZEN,0.07244230061769485,7.450580596923828e-09,0.8809982538223267,1.2369475364685059,0.7744668973962299,0.07801833430856252
stability,H1_TABULAR_RESIDUAL_EXPERT,0,1201,1,L1_LATE_75PCT,0.07244230061769485,7.450580596923828e-09,1.0368651151657104,1.5139681100845337,0.8764181867240376,0.0339954945730084
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,0,E1_EARLY_20PCT,0.06934861838817596,7.450580596923828e-09,0.5364614725112915,0.7218402624130249,0.5647777628772174,0.14456521739130435
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,0,E2_EARLY_35PCT,0.06934861838817596,7.450580596923828e-09,0.6606029272079468,0.9863179922103882,0.7209677093936332,0.1275634995296331
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,0,M1_MIDDLE_FROZEN,0.06934861838817596,7.450580596923828e-09,0.7516072988510132,1.394326090812683,0.828446813221564,0.05963749756382771
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,0,L1_LATE_75PCT,0.06934861093759537,0.0,0.9209097027778625,1.8414671421051025,0.8901300042160462,0.02986295766005318
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,1,E1_EARLY_20PCT,0.06899887323379517,7.450580596923828e-09,0.478240430355072,0.7216546535491943,0.5436062580460281,0.1413338152900777
