outer_fold,stage,metric,mlp,hybrid,mlp_minus_hybrid
1,E1_EARLY_20PCT,nll,0.5724682945282744,0.5568677057393405,0.015600588788933889
1,E1_EARLY_20PCT,brier,0.19151285835458762,0.1886864930058232,0.0028263653487644036
1,E1_EARLY_20PCT,ece,0.04698141498837844,0.03233577446136362,0.014645640527014822
1,E2_EARLY_35PCT,macro_f1,0.7446087478388217,0.7464120110443939,-0.0018032632055722253
1,E2_EARLY_35PCT,pr_auc,0.8093436050638644,0.8086080332921413,0.0007355717717231203
1,E2_EARLY_35PCT,nll,0.4957421433539861,0.4912688354274075,0.004473307926578574
1,E2_EARLY_35PCT,brier,0.1633440978803247,0.16289173806410376,0.00045235981622093746
1,E2_EARLY_35PCT,ece,0.030183056514911464,0.013732043371774878,0.016451013143136586
1,M1_MIDDLE_FROZEN,macro_f1,0.7904848804092528,0.795504496865662,-0.005019616456409248
1,M1_MIDDLE_FROZEN,pr_auc,0.8570527055379873,0.8567932909881278,0.0002594145498594491
1,M1_MIDDLE_FROZEN,nll,0.4190306039875057,0.41729027393188645,0.0017403300556192436
1,M1_MIDDLE_FROZEN,brier,0.13502630691864545,0.13466989027325943,0.0003564166453860207
1,M1_MIDDLE_FROZEN,ece,0.02618829348481389,0.021671200218817334,0.0045170932659965544
1,L1_LATE_75PCT,macro_f1,0.85401012206459,0.8535077372181183,0.0005023848464716929
1,L1_LATE_75PCT,pr_auc,0.9063549761898672,0.905203662514883,0.0011513136749841113
1,L1_LATE_75PCT,nll,0.3171699749566565,0.3159176696304405,0.0012523053262160078
1,L1_LATE_75PCT,brier,0.09675894564402542,0.09709158276795049,-0.0003326371239250753
1,L1_LATE_75PCT,ece,0.02138712209948123,0.015750687170895884,0.005636434928585347
2,E1_EARLY_20PCT,macro_f1,0.6971810408557062,0.7091817060512726,-0.012000665195566418
2,E1_EARLY_20PCT,pr_auc,0.7408404627325116,0.7579685368458089,-0.01712807411329731
2,E1_EARLY_20PCT,nll,0.5931677909213733,0.5572607989488321,0.03590699197254121
2,E1_EARLY_20PCT,brier,0.1958702195929762,0.18891512615797265,0.0069550934350035565
2,E1_EARLY_20PCT,ece,0.04527853213008392,0.034485647543539125,0.010792884586544794
2,E2_EARLY_35PCT,macro_f1,0.7394008301583268,0.7460454761392716,-0.00664464598094483
2,E2_EARLY_35PCT,pr_auc,0.7972924022781434,0.8031957250784455,-0.0059033228003021465
2,E2_EARLY_35PCT,nll,0.5139788901799807,0.4952913368112813,0.018687553368699372
2,E2_EARLY_35PCT,brier,0.1680515761013035,0.16453965860039121,0.003511917500912287
2,E2_EARLY_35PCT,ece,0.031634408675947454,0.02475056557815689,0.0068838430977905644
2,M1_MIDDLE_FROZEN,macro_f1,0.7878102176261769,0.7937913508530261,-0.005981133226849233
2,M1_MIDDLE_FROZEN,pr_auc,0.8478749599992974,0.8519836201132155,-0.004108660113918083
2,M1_MIDDLE_FROZEN,nll,0.4307802953260379,0.4175908747235137,0.013189420602524204
2,M1_MIDDLE_FROZEN,brier,0.13778612799039508,0.13493004467263486,0.0028560833177602163
2,M1_MIDDLE_FROZEN,ece,0.026332577096527813,0.011951020298663533,0.01438155679786428
2,L1_LATE_75PCT,macro_f1,0.8469084048296607,0.8493302434816947,-0.0024218386520340474
2,L1_LATE_75PCT,pr_auc,0.8990894578286893,0.8973694121475255,0.0017200456811637954
2,L1_LATE_75PCT,nll,0.33216299565845275,0.3244513835208538,0.007711612137598967
2,L1_LATE_75PCT,brier,0.1002796300271477,0.09980453571052424,0.0004750943166234589
2,L1_LATE_75PCT,ece,0.0250581953268389,0.013619034180199984,0.011439161146638918
