candidate,outer_fold,seed,stage,brier,ece,macro_f1,nll,pr_auc,roc_auc,threshold
H1_TABULAR_RESIDUAL_EXPERT,1,1201,E1_EARLY_20PCT,0.18591226947388168,0.017858299007083123,0.7125078735710744,0.5510459730283677,0.7635115658858531,0.7796941439575501,0.47532710433006287
H1_TABULAR_RESIDUAL_EXPERT,1,1201,E2_EARLY_35PCT,0.16084226748413005,0.021867885169275975,0.7503866186691732,0.48637608939296934,0.8126981282626473,0.8299204750766533,0.45717859268188477
H1_TABULAR_RESIDUAL_EXPERT,1,1201,L1_LATE_75PCT,0.09606682050325885,0.010850208583974948,0.8553868398631517,0.3121697002248401,0.9069409595003188,0.9193620773530025,0.4545203745365143
H1_TABULAR_RESIDUAL_EXPERT,1,1201,M1_MIDDLE_FROZEN,0.1328598550791669,0.020969677014532683,0.7960122699386503,0.4116811304131455,0.8606960836448179,0.8746714186612048,0.3847021162509918
H1_TABULAR_RESIDUAL_EXPERT,1,2026,E1_EARLY_20PCT,0.18692959327408867,0.022925882186663783,0.7132824082267982,0.552675615326825,0.7623033049744317,0.7781702762450202,0.4951559901237488
H1_TABULAR_RESIDUAL_EXPERT,1,2026,E2_EARLY_35PCT,0.16288790126159827,0.014673695233865752,0.7450461798717262,0.4911310707104905,0.8071105933426399,0.8239875796394395,0.44472435116767883
H1_TABULAR_RESIDUAL_EXPERT,1,2026,L1_LATE_75PCT,0.09640324212125229,0.012842957575454322,0.8570883562340565,0.3142705050021015,0.9063322889508805,0.9180799324718958,0.41972312331199646
H1_TABULAR_RESIDUAL_EXPERT,1,2026,M1_MIDDLE_FROZEN,0.1338819003299132,0.0168741051303904,0.7959872273138315,0.41447565655911256,0.8578296723090711,0.8714704406550297,0.38882580399513245
H1_TABULAR_RESIDUAL_EXPERT,2,1201,E1_EARLY_20PCT,0.19042080226556177,0.03937120570174433,0.7053453397653746,0.5607015091590034,0.7549351804888593,0.7700853772011623,0.5078003406524658
H1_TABULAR_RESIDUAL_EXPERT,2,1201,E2_EARLY_35PCT,0.1628972133663281,0.010265311139977758,0.747844687416979,0.4914965419365241,0.8055268032898593,0.8222478998980702,0.4441525638103485
H1_TABULAR_RESIDUAL_EXPERT,2,1201,L1_LATE_75PCT,0.09851427059603896,0.01845661485037854,0.8525114513032348,0.3192862283112167,0.9015607438400012,0.916001203677004,0.4009672999382019
H1_TABULAR_RESIDUAL_EXPERT,2,1201,M1_MIDDLE_FROZEN,0.13511977597761185,0.01848556818629026,0.7951098940852472,0.4182491034005142,0.8527234925836396,0.868561324954924,0.3769155442714691
H1_TABULAR_RESIDUAL_EXPERT,2,2026,E1_EARLY_20PCT,0.19088719355066594,0.04455346209938359,0.7061526845319226,0.5612542822558464,0.755879248185467,0.772300186399544,0.508174479007721
H1_TABULAR_RESIDUAL_EXPERT,2,2026,E2_EARLY_35PCT,0.1638715022360964,0.028286687116804647,0.7453835389184167,0.49351775713303103,0.8053346741499845,0.8223795040889014,0.4988207221031189
H1_TABULAR_RESIDUAL_EXPERT,2,2026,L1_LATE_75PCT,0.09834122346074885,0.010223223101887086,0.8505757047420117,0.31937750824513383,0.9010389862957336,0.9156745479111507,0.49999999999999994
H1_TABULAR_RESIDUAL_EXPERT,2,2026,M1_MIDDLE_FROZEN,0.13403951406541922,0.012309960941917471,0.792806888789914,0.41526759611965536,0.8537411196261968,0.870371321101265,0.4295631945133209
M0_MLP,0,1201,E1_EARLY_20PCT,0.1936735570591405,0.04383298904620328,0.7030248117532707,0.5784985305496876,0.7495239922094001,0.7665055018394749,0.46081998359307813
M0_MLP,0,1201,E2_EARLY_35PCT,0.16729314372236587,0.030640438420860738,0.7434236841682809,0.5062050905543045,0.8031497450079861,0.8164862056080445,0.49493808492511304
M0_MLP,0,1201,L1_LATE_75PCT,0.10293701662034586,0.024596317330692976,0.8426425129126205,0.33316553912177604,0.8984122152404361,0.9124233678238411,0.6111022943687147
