candidate_id,seed,code_module,records,positive,negative,eligible,macro_f1,at_risk_recall
V2-H2T,3407,GGG,1636,608,1028,True,0.7955784264427963,0.6118421052631579
V2-H3C,42,AAA,332,54,278,True,0.7561719676854415,0.5
V2-H3C,42,BBB,4205,1605,2600,True,0.8220079970129126,0.7071651090342679
V2-H3C,42,CCC,1133,499,634,True,0.837426501536931,0.7835671342685371
V2-H3C,42,DDD,2943,1369,1574,True,0.8214894477802647,0.7867056245434624
V2-H3C,42,EEE,1173,401,772,True,0.8628792432338322,0.773067331670823
V2-H3C,42,FFF,3956,1582,2374,True,0.8335609015950747,0.7749683944374209
V2-H3C,42,GGG,1636,608,1028,True,0.7932801899592944,0.6365131578947368
V2-H3C,2026,AAA,332,54,278,True,0.7469858329262336,0.46296296296296297
V2-H3C,2026,BBB,4205,1605,2600,True,0.8194542615311611,0.7046728971962617
V2-H3C,2026,CCC,1133,499,634,True,0.8262003374750728,0.7635270541082164
V2-H3C,2026,DDD,2943,1369,1574,True,0.8152121336148759,0.787436084733382
V2-H3C,2026,EEE,1173,401,772,True,0.8574003663817497,0.7481296758104738
V2-H3C,2026,FFF,3956,1582,2374,True,0.8323833486456714,0.7680151706700379
V2-H3C,2026,GGG,1636,608,1028,True,0.7976128903414903,0.6480263157894737
V2-H3C,3407,AAA,332,54,278,True,0.7350258437214958,0.46296296296296297
V2-H3C,3407,BBB,4205,1605,2600,True,0.8221435822242273,0.7140186915887851
V2-H3C,3407,CCC,1133,499,634,True,0.8305619193076238,0.7835671342685371
V2-H3C,3407,DDD,2943,1369,1574,True,0.8217309106235077,0.8078889700511322
V2-H3C,3407,EEE,1173,401,772,True,0.8500758217319349,0.7655860349127181
V2-H3C,3407,FFF,3956,1582,2374,True,0.8287659387731695,0.797724399494311
V2-H3C,3407,GGG,1636,608,1028,True,0.7962592472165373,0.6365131578947368
V2-MLF,42,AAA,332,54,278,True,0.759555805906494,0.46296296296296297
V2-MLF,42,BBB,4205,1605,2600,True,0.8149254605375439,0.7034267912772586
V2-MLF,42,CCC,1133,499,634,True,0.8411253672932163,0.7895791583166333
V2-MLF,42,DDD,2943,1369,1574,True,0.8160746816209001,0.7728268809349891
V2-MLF,42,EEE,1173,401,772,True,0.8534199512149607,0.7531172069825436
V2-MLF,42,FFF,3956,1582,2374,True,0.8363211269913833,0.7718078381795196
V2-MLF,42,GGG,1636,608,1028,True,0.7993309924305265,0.6743421052631579
V2-T0,42,AAA,332,54,278,True,0.7387212309076017,0.5925925925925926
V2-T0,42,BBB,4205,1605,2600,True,0.8151052935407392,0.67601246105919
V2-T0,42,CCC,1133,499,634,True,0.8332490801471765,0.7675350701402806
V2-T0,42,DDD,2943,1369,1574,True,0.8125935794949879,0.7355734112490869
V2-T0,42,EEE,1173,401,772,True,0.8586869951075208,0.7531172069825436
V2-T0,42,FFF,3956,1582,2374,True,0.8360781077119277,0.7566371681415929
V2-T0,42,GGG,1636,608,1028,True,0.7926489226869455,0.6217105263157895
V2-T0,2026,AAA,332,54,278,True,0.7387212309076017,0.5925925925925926
V2-T0,2026,BBB,4205,1605,2600,True,0.8170245323262668,0.6984423676012461
V2-T0,2026,CCC,1133,499,634,True,0.830013470979934,0.7715430861723447
V2-T0,2026,DDD,2943,1369,1574,True,0.804182375920925,0.7633308984660336
V2-T0,2026,EEE,1173,401,772,True,0.8687141690536693,0.7805486284289277
V2-T0,2026,FFF,3956,1582,2374,True,0.833902962873667,0.7610619469026548
V2-T0,2026,GGG,1636,608,1028,True,0.7976128903414903,0.6480263157894737
V2-T0,3407,AAA,332,54,278,True,0.7201090999256137,0.5370370370370371
V2-T0,3407,BBB,4205,1605,2600,True,0.8206751676913306,0.7052959501557632
V2-T0,3407,CCC,1133,499,634,True,0.8320862904536034,0.7995991983967936
V2-T0,3407,DDD,2943,1369,1574,True,0.8098767249310028,0.7567567567567568
V2-T0,3407,EEE,1173,401,772,True,0.850134399681423,0.7556109725685786
V2-T0,3407,FFF,3956,1582,2374,True,0.8373215360798143,0.7800252844500632
V2-T0,3407,GGG,1636,608,1028,True,0.7964601920733526,0.6332236842105263
