candidate_id,seed,outer_fold,class_label,precision,recall,f1,support
A2,155,0,1,0.8666666666666667,0.8387096774193549,0.8524590163934426,31
A2,155,0,2,1.0,0.9166666666666666,0.9565217391304348,12
A2,155,1,0,0.782608695652174,0.8571428571428571,0.8181818181818182,21
A2,155,1,1,0.8148148148148148,0.7333333333333333,0.7719298245614035,30
A2,155,1,2,0.7692307692307693,0.8333333333333334,0.8,12
A2,155,2,0,1.0,0.7142857142857143,0.8333333333333334,21
A2,155,2,1,0.8,0.9032258064516129,0.8484848484848485,31
A2,155,2,2,0.7692307692307693,0.9090909090909091,0.8333333333333334,11
A2,155,3,0,0.8636363636363636,0.9047619047619048,0.8837209302325582,21
A2,155,3,1,0.875,0.9032258064516129,0.8888888888888888,31
A2,155,3,2,1.0,0.8181818181818182,0.9,11
A2,155,4,0,0.8421052631578947,0.8,0.8205128205128205,20
A2,155,4,1,0.875,0.9032258064516129,0.8888888888888888,31
A2,155,4,2,1.0,1.0,1.0,12
M1,42,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,42,0,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
M1,42,0,2,1.0,1.0,1.0,12
M1,42,1,0,0.875,1.0,0.9333333333333333,21
M1,42,1,1,0.9310344827586207,0.9,0.9152542372881356,30
M1,42,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M1,42,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,42,2,1,0.84375,0.8709677419354839,0.8571428571428571,31
M1,42,2,2,0.9,0.8181818181818182,0.8571428571428571,11
M1,42,3,0,0.84,1.0,0.9130434782608695,21
M1,42,3,1,0.9310344827586207,0.8709677419354839,0.9,31
M1,42,3,2,1.0,0.8181818181818182,0.9,11
M1,42,4,0,0.875,0.7,0.7777777777777778,20
M1,42,4,1,0.8285714285714286,0.9354838709677419,0.8787878787878788,31
M1,42,4,2,1.0,1.0,1.0,12
M1,123,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,123,0,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
M1,123,0,2,1.0,1.0,1.0,12
M1,123,1,0,0.875,1.0,0.9333333333333333,21
M1,123,1,1,0.9310344827586207,0.9,0.9152542372881356,30
M1,123,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M1,123,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,123,2,1,0.84375,0.8709677419354839,0.8571428571428571,31
M1,123,2,2,0.9,0.8181818181818182,0.8571428571428571,11
M1,123,3,0,0.84,1.0,0.9130434782608695,21
M1,123,3,1,0.9310344827586207,0.8709677419354839,0.9,31
M1,123,3,2,1.0,0.8181818181818182,0.9,11
M1,123,4,0,0.875,0.7,0.7777777777777778,20
M1,123,4,1,0.8285714285714286,0.9354838709677419,0.8787878787878788,31
M1,123,4,2,1.0,1.0,1.0,12
M1,155,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,155,0,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
M1,155,0,2,1.0,1.0,1.0,12
M1,155,1,0,0.875,1.0,0.9333333333333333,21
M1,155,1,1,0.9310344827586207,0.9,0.9152542372881356,30
M1,155,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M1,155,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
M1,155,2,1,0.84375,0.8709677419354839,0.8571428571428571,31
M1,155,2,2,0.9,0.8181818181818182,0.8571428571428571,11
M1,155,3,0,0.84,1.0,0.9130434782608695,21
