domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
uci,XGB,1,42,S1,1,0.8240343347639485,0.6,0.672,0.7438567739313463,0.9182839632277835,0.7636363636363637,0.6,0.46,233,0.23605150214592274
uci,XGB,1,42,S2,1,0.8798283261802575,0.7288135593220338,0.7543859649122807,0.8703647228818875,0.9541368743615934,0.7818181818181819,0.6909090909090909,0.55,233,0.23605150214592274
uci,CatBoost,1,42,S0,1,0.6609442060085837,0.38461538461538464,0.5031446540880503,0.423142369606009,0.743003064351379,0.7272727272727273,0.41818181818181815,0.27,233,0.23605150214592274
uci,CatBoost,1,42,S1,1,0.8540772532188842,0.7560975609756098,0.6458333333333334,0.7124724316488502,0.9231869254341164,0.5636363636363636,0.6545454545454545,0.63,233,0.23605150214592274
uci,CatBoost,1,42,S2,1,0.8969957081545065,0.8163265306122449,0.7692307692307693,0.8165521821091133,0.94902962206333,0.7272727272727273,0.6909090909090909,0.61,233,0.23605150214592274
uci,MLP,1,42,S0,1,0.6566523605150214,0.3626373626373626,0.4520547945205479,0.42103536060028324,0.6660878447395301,0.6,0.4,0.11,233,0.23605150214592274
uci,MLP,1,42,S1,1,0.8240343347639485,0.6296296296296297,0.6238532110091743,0.6522928477909625,0.8667007150153219,0.6181818181818182,0.6,0.29,233,0.23605150214592274
uci,MLP,1,42,S2,1,0.8884120171673819,0.7959183673469388,0.75,0.8098887848174682,0.9269662921348314,0.7090909090909091,0.6909090909090909,0.46,233,0.23605150214592274
uci,LR,1,1201,S0,1,0.7253218884120172,0.37142857142857144,0.28888888888888886,0.3916815093631808,0.642288049029622,0.23636363636363636,0.3090909090909091,0.78,233,0.23605150214592274
uci,LR,1,1201,S1,1,0.8283261802575107,0.5949367088607594,0.7014925373134329,0.7496185999093763,0.904187946884576,0.8545454545454545,0.6181818181818182,0.38,233,0.23605150214592274
uci,LR,1,1201,S2,1,0.9012875536480687,0.7758620689655172,0.7964601769911505,0.8984159067102045,0.959244126659857,0.8181818181818182,0.7272727272727273,0.68,233,0.23605150214592274
uci,DT,1,1201,S0,1,0.5793991416309013,0.34074074074074073,0.4842105263157895,0.4619494069253872,0.7620020429009192,0.8363636363636363,0.45454545454545453,0.3,233,0.23605150214592274
uci,DT,1,1201,S1,1,0.8798283261802575,0.7647058823529411,0.7358490566037735,0.7569293005777741,0.9242083758937693,0.7090909090909091,0.6545454545454545,0.71,233,0.23605150214592274
uci,DT,1,1201,S2,1,0.8798283261802575,0.7647058823529411,0.7358490566037735,0.8321756718535571,0.9398365679264556,0.7090909090909091,0.6727272727272727,0.71,233,0.23605150214592274
uci,RF,1,1201,S0,1,0.6866952789699571,0.41818181818181815,0.5575757575757576,0.45762495443511775,0.7895812053115423,0.8363636363636363,0.41818181818181815,0.33,233,0.23605150214592274
uci,RF,1,1201,S1,1,0.8798283261802575,0.7755102040816326,0.7307692307692307,0.693974054958148,0.930949948927477,0.6909090909090909,0.6545454545454545,0.68,233,0.23605150214592274
uci,RF,1,1201,S2,1,0.8798283261802575,0.8,0.72,0.8469538878569045,0.9555669050051072,0.6545454545454545,0.6909090909090909,0.74,233,0.23605150214592274
uci,SVM,1,1201,S0,1,0.6609442060085837,0.34210526315789475,0.3969465648854962,0.3233544784550625,0.629826353421859,0.4727272727272727,0.2909090909090909,0.46,233,0.23605150214592274
uci,SVM,1,1201,S1,1,0.8283261802575107,0.6,0.6923076923076923,0.6931683143322461,0.8881511746680286,0.8181818181818182,0.6,0.29,233,0.23605150214592274
uci,SVM,1,1201,S2,1,0.8626609442060086,0.6533333333333333,0.7538461538461538,0.8201754829205601,0.9271705822267621,0.8909090909090909,0.6727272727272727,0.15,233,0.23605150214592274
uci,XGB,1,1201,S0,1,0.7253218884120172,0.4457831325301205,0.5362318840579711,0.44292107222525257,0.7577119509703779,0.6727272727272727,0.41818181818181815,0.35,233,0.23605150214592274
uci,XGB,1,1201,S1,1,0.8283261802575107,0.6119402985074627,0.6721311475409836,0.7316455706744686,0.9163432073544433,0.7454545454545455,0.6363636363636364,0.46,233,0.23605150214592274
uci,XGB,1,1201,S2,1,0.8798283261802575,0.7454545454545455,0.7454545454545455,0.8648353847404723,0.9519918283963227,0.7454545454545455,0.6545454545454545,0.63,233,0.23605150214592274
uci,CatBoost,1,1201,S0,1,0.6266094420600858,0.3709677419354839,0.5139664804469274,0.4091024075318015,0.7324821246169562,0.8363636363636363,0.36363636363636365,0.28,233,0.23605150214592274
uci,CatBoost,1,1201,S1,1,0.8583690987124464,0.7619047619047619,0.6597938144329897,0.7247633498742979,0.9252298263534218,0.5818181818181818,0.6363636363636364,0.67,233,0.23605150214592274
uci,CatBoost,1,1201,S2,1,0.8841201716738197,0.71875,0.773109243697479,0.8636964616492689,0.9540347293156283,0.8363636363636363,0.7272727272727273,0.51,233,0.23605150214592274
uci,MLP,1,1201,S0,1,0.6394849785407726,0.33707865168539325,0.4166666666666667,0.42437919818029457,0.6386108273748723,0.5454545454545454,0.38181818181818183,0.13,233,0.23605150214592274
uci,MLP,1,1201,S1,1,0.8111587982832618,0.5873015873015873,0.6271186440677966,0.6615323780539243,0.8446373850868233,0.6727272727272727,0.5272727272727272,0.19,233,0.23605150214592274
uci,MLP,1,1201,S2,1,0.871244635193133,0.7358490566037735,0.7222222222222222,0.815445003698073,0.926046986721144,0.7090909090909091,0.6545454545454545,0.46,233,0.23605150214592274
uci,LR,1,2026,S0,1,0.7253218884120172,0.37142857142857144,0.28888888888888886,0.3916815093631808,0.642288049029622,0.23636363636363636,0.3090909090909091,0.78,233,0.23605150214592274
uci,LR,1,2026,S1,1,0.8283261802575107,0.5949367088607594,0.7014925373134329,0.7496185999093763,0.904187946884576,0.8545454545454545,0.6181818181818182,0.38,233,0.23605150214592274
uci,LR,1,2026,S2,1,0.9012875536480687,0.7758620689655172,0.7964601769911505,0.8984159067102045,0.959244126659857,0.8181818181818182,0.7272727272727273,0.68,233,0.23605150214592274
uci,DT,1,2026,S0,1,0.5793991416309013,0.34074074074074073,0.4842105263157895,0.4619494069253872,0.7620020429009192,0.8363636363636363,0.45454545454545453,0.3,233,0.23605150214592274
uci,DT,1,2026,S1,1,0.8798283261802575,0.7647058823529411,0.7358490566037735,0.682270527977825,0.9113891726251278,0.7090909090909091,0.6363636363636364,0.71,233,0.23605150214592274
uci,DT,1,2026,S2,1,0.8798283261802575,0.7647058823529411,0.7358490566037735,0.774504271246051,0.923953013278856,0.7090909090909091,0.6363636363636364,0.71,233,0.23605150214592274
uci,RF,1,2026,S0,1,0.6008583690987125,0.3602941176470588,0.5130890052356021,0.4556026227982755,0.7867211440245148,0.8909090909090909,0.41818181818181815,0.24,233,0.23605150214592274
