domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence
oulad,RF,0,1201,50pct,0.8484655963735794,0.8707726364332565,0.7309644670050761,0.717607973421927,0.49549121974371146,5523,0.38149556400506973
oulad,RF,0,1201,75pct,0.8948264357602643,0.9157300712740929,0.7896519864490299,0.732153055396916,0.5830953740719589,5167,0.3388813624927424
oulad,RF,0,1201,100pct,0.9227155040425707,0.9410574556468809,0.8347710683477106,0.7818520820385333,0.6215040397762586,5025,0.3201990049751244
oulad,SVM,0,1201,20pct,0.7656892583427288,0.7966143457044943,0.6846424384525205,0.8021978021978022,0.39089481946624804,5963,0.4273016937782995
oulad,SVM,0,1201,35pct,0.8034742501600078,0.8310443142482596,0.699109276558766,0.6917454858125538,0.4337919174548581,5742,0.4050853361198189
oulad,SVM,0,1201,50pct,0.8545435524159122,0.8803590740800433,0.7406684557209076,0.7204556241101091,0.4897959183673469,5523,0.38149556400506973
oulad,SVM,0,1201,75pct,0.8964666821407509,0.9218372372026957,0.7926015767131595,0.7464306110793832,0.579097658480868,5167,0.3388813624927424
oulad,SVM,0,1201,100pct,0.9243688581520625,0.9441383217644311,0.8384718498659517,0.7775015537600994,0.6221255438160348,5025,0.3201990049751244
oulad,XGB,0,1201,20pct,0.7656366550349197,0.7893442104851851,0.682806324110672,0.8135792778649922,0.3881475667189953,5963,0.4273016937782995
oulad,XGB,0,1201,35pct,0.8050716946658502,0.825459599356425,0.697025641025641,0.7304385210662081,0.4376612209802236,5742,0.4050853361198189
oulad,XGB,0,1201,50pct,0.8569569999282602,0.878508851391981,0.7411263606247042,0.7432368296155671,0.49549121974371146,5523,0.38149556400506973
oulad,XGB,0,1201,75pct,0.8979635714695748,0.9204168377521309,0.7911392405063291,0.7138777841233581,0.5813820673900628,5167,0.3388813624927424
oulad,XGB,0,1201,100pct,0.9255051386296198,0.9444760007743329,0.8417462482946794,0.766935985083903,0.6233685518955874,5025,0.3201990049751244
oulad,CatBoost,0,1201,20pct,0.7673294355957617,0.7935594420221067,0.6856228896392393,0.7570643642072213,0.39285714285714285,5963,0.4273016937782995
oulad,CatBoost,0,1201,35pct,0.8055781487631826,0.8285280839144504,0.693869010253191,0.7128116938950989,0.4402407566638005,5742,0.4050853361198189
oulad,CatBoost,0,1201,50pct,0.8563800133189914,0.8799688003298918,0.7380346820809248,0.7574750830564784,0.4959658281917418,5523,0.38149556400506973
oulad,CatBoost,0,1201,75pct,0.898039519960064,0.9204424169795246,0.7931144405482945,0.710451170759566,0.5819531696173615,5167,0.3388813624927424
oulad,CatBoost,0,1201,100pct,0.921357361652984,0.9426777144953081,0.8366800535475234,0.7768800497203232,0.6208825357364823,5025,0.3201990049751244
oulad,MLP,0,1201,20pct,0.7661193413203937,0.7908717197882644,0.6816993464052288,0.8186813186813187,0.39089481946624804,5963,0.4273016937782995
oulad,MLP,0,1201,35pct,0.8092881191133546,0.8307988958942893,0.698820120057959,0.7257093723129837,0.4419604471195185,5742,0.4050853361198189
oulad,MLP,0,1201,50pct,0.8555816109321716,0.8778623779995087,0.7315533980582525,0.7152349311817751,0.4978642619838633,5523,0.38149556400506973
oulad,MLP,0,1201,75pct,0.8992752259660723,0.922518681195222,0.7951105937136205,0.7801256424900057,0.5802398629354655,5167,0.3388813624927424
oulad,MLP,0,1201,100pct,0.9220252925698218,0.9396435157624777,0.8339741349178609,0.7414543194530765,0.6221255438160348,5025,0.3201990049751244
