domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
oulad,SVM,1,42,100pct,0.9128050862893702,0.9291753258498304,0.8311513930849278,0.7723019338739863,0.6200873362445415,4983,0.3216937587798515,1,True
oulad,XGB,1,42,20pct,0.7686270241753043,0.7945819395494693,0.6916853158891375,0.792192429022082,0.39629337539432175,5914,0.4288129861345959,1,True
oulad,XGB,1,42,35pct,0.8065725081711279,0.8305630989250091,0.6982119494112516,0.7046654929577465,0.4423415492957746,5651,0.40205273402937536,1,True
oulad,XGB,1,42,50pct,0.8519545544586379,0.8747685592162717,0.7330926594464501,0.7418412079883098,0.4978080857282026,5433,0.3778759433094055,1,True
oulad,XGB,1,42,75pct,0.8960710015554686,0.9173329443159094,0.793873643905552,0.7174163783160323,0.5813148788927336,5114,0.33906922174423154,1,True
oulad,XGB,1,42,100pct,0.9230928918601139,0.9398040656018485,0.8391376451077943,0.7891453524641298,0.6219588271990019,4983,0.3216937587798515,1,True
oulad,CatBoost,1,42,20pct,0.7697085909362278,0.7954966539848678,0.6841243862520459,0.8241324921135647,0.3955047318611987,5914,0.4288129861345959,1,True
oulad,CatBoost,1,42,35pct,0.808347268471286,0.8328400039181523,0.7067410905968227,0.7244718309859155,0.4449823943661972,5651,0.40205273402937536,1,True
oulad,CatBoost,1,42,50pct,0.8544846473663823,0.877280181693985,0.7396931927133269,0.7515830491962981,0.5021919142717973,5433,0.3778759433094055,1,True
oulad,CatBoost,1,42,75pct,0.8961422268805841,0.9181476628242664,0.7921366419593941,0.7087658592848904,0.5790080738177624,5114,0.33906922174423154,1,True
oulad,CatBoost,1,42,100pct,0.9197479133919491,0.9383072419686461,0.8336168764886016,0.7641921397379913,0.620711166562695,4983,0.3216937587798515,1,True
oulad,MLP,1,42,20pct,0.7689955886051627,0.7929635627076668,0.6905137646852534,0.7764195583596214,0.39235015772870663,5914,0.4288129861345959,1,True
oulad,MLP,1,42,35pct,0.8061330460834644,0.8310668055387667,0.7058823529411765,0.7473591549295775,0.44058098591549294,5651,0.40205273402937536,1,True
oulad,MLP,1,42,50pct,0.8536135595398816,0.8771878071346018,0.747279322853688,0.7525572333170969,0.5002435460301997,5433,0.3778759433094055,1,True
oulad,MLP,1,42,75pct,0.896386965028656,0.9170474942500495,0.7935483870967742,0.7802768166089965,0.5807381776239908,5114,0.33906922174423154,1,True
oulad,MLP,1,42,100pct,0.9236346527344501,0.9399028079746925,0.838688524590164,0.7978789769182782,0.6213349968808484,4983,0.3216937587798515,1,True
oulad,LR,1,1201,20pct,0.7628520243422937,0.7911566631740357,0.6833907197901296,0.8217665615141956,0.39313880126182965,5914,0.4288129861345959,1,True
oulad,LR,1,1201,35pct,0.8025046112722346,0.8301974654973343,0.7069182389937106,0.7420774647887324,0.44058098591549294,5651,0.40205273402937536,1,True
oulad,LR,1,1201,50pct,0.8469874554928586,0.8735860639791099,0.7357142857142858,0.7023867510959572,0.4943984413054067,5433,0.3778759433094055,1,True
oulad,LR,1,1201,75pct,0.886898787267237,0.9111204384294618,0.7807103290974259,0.6908881199538639,0.5784313725490197,5114,0.33906922174423154,1,True
oulad,LR,1,1201,100pct,0.9167406249240625,0.932771578438357,0.8306934178106301,0.7361197754210854,0.6200873362445415,4983,0.3216937587798515,1,True
oulad,DT,1,1201,20pct,0.7195593222755092,0.7499542992979252,0.656745079212674,0.8091482649842271,0.3714511041009464,5914,0.4288129861345959,1,True
oulad,DT,1,1201,35pct,0.7614630461344383,0.7862319019920053,0.6614293926039471,0.7596830985915493,0.4295774647887324,5651,0.40205273402937536,1,True
oulad,DT,1,1201,50pct,0.8114478000341767,0.8378041803451148,0.6942959001782532,0.7588894301022894,0.4953726254262055,5433,0.3778759433094055,1,True
oulad,DT,1,1201,75pct,0.8598865326819569,0.8884576994738028,0.7732919254658385,0.7179930795847751,0.5749711649365629,5114,0.33906922174423154,1,True
oulad,DT,1,1201,100pct,0.8907279457792281,0.914077247911645,0.8047058823529412,0.7467248908296943,0.6182158452900811,4983,0.3216937587798515,1,True
oulad,RF,1,1201,20pct,0.7619957759393099,0.7868534430430341,0.6773127753303965,0.7275236593059937,0.38958990536277605,5914,0.4288129861345959,1,True
