domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,LR,0,2026,S2,0.845565184002691,0.9559029649595687,0.782608695652174,0.8490566037735849,0.6981132075471698,228,0.2324561403508772,1,True
uci,DT,0,2026,S0,0.3198243714224284,0.614501347708895,0.4626865671641791,0.5849056603773585,0.3018867924528302,228,0.2324561403508772,1,True
uci,DT,0,2026,S1,0.754667345233383,0.927277628032345,0.7254901960784313,0.6981132075471698,0.660377358490566,228,0.2324561403508772,1,True
uci,DT,0,2026,S2,0.754667345233383,0.927277628032345,0.7254901960784313,0.6981132075471698,0.660377358490566,228,0.2324561403508772,1,True
uci,RF,0,2026,S0,0.43723889887222034,0.7318598382749326,0.4077669902912621,0.39622641509433965,0.39622641509433965,228,0.2324561403508772,1,True
uci,RF,0,2026,S1,0.7262884507607651,0.9264690026954178,0.75,0.7924528301886793,0.6037735849056604,228,0.2324561403508772,1,True
uci,RF,0,2026,S2,0.8350677997953027,0.9553638814016172,0.7920792079207921,0.7547169811320755,0.7169811320754716,228,0.2324561403508772,1,True
uci,SVM,0,2026,S0,0.44893776425698984,0.7015633423180593,0.49612403100775193,0.6037735849056604,0.37735849056603776,228,0.2324561403508772,1,True
uci,SVM,0,2026,S1,0.7076253611756291,0.9167654986522911,0.6170212765957447,0.5471698113207547,0.5849056603773585,228,0.2324561403508772,1,True
uci,SVM,0,2026,S2,0.797922312503784,0.9431805929919137,0.6521739130434783,0.5660377358490566,0.6792452830188679,228,0.2324561403508772,1,True
uci,XGB,0,2026,S0,0.4556697370402085,0.7073854447439354,0.4166666666666667,0.37735849056603776,0.37735849056603776,228,0.2324561403508772,1,True
uci,XGB,0,2026,S1,0.7384045141958135,0.9179514824797844,0.6666666666666666,0.6226415094339622,0.6226415094339622,228,0.2324561403508772,1,True
uci,XGB,0,2026,S2,0.868994791013544,0.9588140161725067,0.7526881720430108,0.660377358490566,0.7169811320754716,228,0.2324561403508772,1,True
uci,CatBoost,0,2026,S0,0.37746597699775175,0.6988679245283019,0.36893203883495146,0.3584905660377358,0.32075471698113206,228,0.2324561403508772,1,True
uci,CatBoost,0,2026,S1,0.6932270006006954,0.9055525606469004,0.7350427350427351,0.8113207547169812,0.5660377358490566,228,0.2324561403508772,1,True
uci,CatBoost,0,2026,S2,0.8154561129066216,0.9450134770889488,0.7070707070707071,0.660377358490566,0.660377358490566,228,0.2324561403508772,1,True
uci,MLP,0,2026,S0,0.44887125628789887,0.7005929919137467,0.4647887323943662,0.6226415094339622,0.39622641509433965,228,0.2324561403508772,1,True
uci,MLP,0,2026,S1,0.6689056751179836,0.8928301886792452,0.6041666666666666,0.5471698113207547,0.5660377358490566,228,0.2324561403508772,1,True
uci,MLP,0,2026,S2,0.8093768001728823,0.9451212938005391,0.7010309278350515,0.6415094339622641,0.660377358490566,228,0.2324561403508772,1,True
uci,LR,1,42,S0,0.3916815093631808,0.642288049029622,0.28888888888888886,0.23636363636363636,0.3090909090909091,233,0.23605150214592274,1,True
