domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
oulad,XGB,0,42,50pct,1,0.7863479992757559,0.6941767909509845,0.737427681352915,0.8610621385589132,0.8826777919925661,0.7864261983863313,0.5011865211200759,0.41,5523,0.38149556400506973
oulad,XGB,0,42,75pct,1,0.8707180181923747,0.8386491557223265,0.8005970149253732,0.9024578875582149,0.9254534377812879,0.7658480868075386,0.5819531696173615,0.5,5167,0.3388813624927424
oulad,XGB,0,42,100pct,1,0.907860696517413,0.9340909090909091,0.8419255718675316,0.9281385806394824,0.9471554182198204,0.7663144810441268,0.6233685518955874,0.58,5025,0.3201990049751244
oulad,CatBoost,0,42,20pct,1,0.677008217340265,0.5879027699265121,0.6835359842260926,0.7680772795322032,0.7941291191552644,0.8163265306122449,0.39717425431711145,0.41,5963,0.4273016937782995
oulad,CatBoost,0,42,35pct,1,0.7638453500522466,0.7257914338919925,0.6969155118462226,0.8088667263864834,0.8308667320444382,0.6702493551160791,0.44325021496130695,0.54,5742,0.4050853361198189
oulad,CatBoost,0,42,50pct,1,0.8010139416983524,0.73751178133836,0.7401276897611728,0.8586646818985986,0.8831744914075864,0.7427622211675368,0.4973896535358329,0.47,5523,0.38149556400506973
oulad,CatBoost,0,42,75pct,1,0.8678149796787304,0.832089552238806,0.7966656743078298,0.9015388074028925,0.9254455801101276,0.7641347801256425,0.5825242718446602,0.49,5167,0.3388813624927424
oulad,CatBoost,0,42,100pct,1,0.9012935323383084,0.9065010956902849,0.8334452652787105,0.9237242465971919,0.9443113458691813,0.7712865133623369,0.6221255438160348,0.56,5025,0.3201990049751244
oulad,MLP,0,42,20pct,1,0.6939460003354017,0.6115396482567109,0.6847469338400415,0.7664782375488282,0.7934419899280807,0.7778649921507065,0.3924646781789639,0.35,5963,0.4273016937782995
oulad,MLP,0,42,35pct,1,0.7429467084639498,0.6638396299151889,0.7,0.8065470540979426,0.8285960459201653,0.7403267411865864,0.44282029234737746,0.37,5742,0.4050853361198189
oulad,MLP,0,42,50pct,1,0.8115154807170016,0.7738951695786228,0.7431532198371577,0.859176579189077,0.882525239277128,0.7147603227337447,0.4978642619838633,0.42,5523,0.38149556400506973
