candidate,seed,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece,confusion_matrix,roc_auc,recall_at_10_percent
A3_serial_current_temporal,2026,10258,0.5,global,0.823455257224448,0.8179118576668066,0.8280865042430878,0.7378048780487805,0.7803430929962595,0.8851045261824938,0.11981278672778507,0.37969002722280254,0.028282455787942213,"[[5530, 628], [1075, 3025]]",0.89907401833031,0.24902439024390244
A3_serial_current_temporal,3407,10258,0.5150000000000001,global,0.8256912720159413,0.8193705194115923,0.8376044568245126,0.7334146341463414,0.7820546163849155,0.8868426420685627,0.11879922832414415,0.37725740006138736,0.023951230130343025,"[[5575, 583], [1093, 3007]]",0.9007006947139949,0.24926829268292683
A4_serial_current_full,42,10258,0.5,global,0.8270236827048343,0.8209157629575646,0.8371642204375519,0.7373170731707317,0.7840746984826871,0.8889237164546491,0.11737723098240709,0.3709665102532935,0.022994442290716715,"[[5570, 588], [1077, 3023]]",0.9020443761436641,0.24926829268292683
A4_serial_current_full,2026,10258,0.5050000000000001,global,0.8290826517492604,0.8208228439705638,0.8605194047271666,0.7192682926829268,0.7835791151853329,0.890308752692744,0.11671337828597488,0.37417001740044675,0.029005399603178026,"[[5680, 478], [1151, 2949]]",0.9039690190828507,0.24902439024390244
A4_serial_current_full,3407,10258,0.5,global,0.8285359173699923,0.8242163673666616,0.8238107892638852,0.7560975609756098,0.7885031158590868,0.8888610295519082,0.1183716659325889,0.37599681115515615,0.029715681349345498,"[[5495, 663], [1000, 3100]]",0.9038770902811334,0.24878048780487805
B2_cnn_matched_temporal,42,10258,0.51,global,0.8215665414978841,0.813141501437749,0.8545293596931248,0.7063414634146341,0.7734009881159033,0.8836848665116646,0.12049508435418428,0.3807998527639497,0.03199814445843753,"[[5665, 493], [1204, 2896]]",0.8991520053232362,0.24829268292682927
B2_cnn_matched_temporal,2026,10258,0.4750000000000001,global,0.8211699202344438,0.8174746314530374,0.8102995270625328,0.7521951219512195,0.7801669618011636,0.8823651427879782,0.12098507732594917,0.38204815641086637,0.022974167708133188,"[[5436, 722], [1016, 3084]]",0.8982260830646629,0.24853658536585366
B2_cnn_matched_temporal,3407,10258,0.48000000000000004,global,0.8247229136955064,0.8190489072315212,0.8306805708013172,0.7382926829268293,0.7817665289256198,0.8850382785497546,0.11911732257402717,0.37642017041915593,0.014412000496249132,"[[5541, 617], [1073, 3027]]",0.9000417066041397,0.24902439024390244
C1_cnn_d1_temporal,42,10258,0.5050000000000001,global,0.8196401649938286,0.8130707626010979,0.8331926863572433,0.7224390243902439,0.7738732854343566,0.8836585099087677,0.12055178939755999,0.37838162333072084,0.02474914407540969,"[[5565, 593], [1138, 2962]]",0.8982918907786026,0.24926829268292683
C1_cnn_d1_temporal,2026,10258,0.49000000000000005,global,0.821105505515761,0.8153916380833182,0.8269124931205284,0.7329268292682927,0.7770881820532712,0.8824923756362809,0.12100148177561057,0.38195100636270096,0.022404390107422654,"[[5529, 629], [1095, 3005]]",0.8961315045271272,0.24951219512195122
C1_cnn_d1_temporal,3407,10258,0.49000000000000005,global,0.8249319940322355,0.817454352458432,0.8479632816982214,0.7209756097560975,0.7793303453730557,0.8849992859641523,0.11983390102511808,0.3823105635985362,0.03286568587296346,"[[5628, 530], [1144, 2956]]",0.899434326951259,0.24853658536585366
C2_cnn_d2_temporal,42,10258,0.49000000000000005,global,0.8193360599588644,0.812663836057003,0.8338504936530324,0.7209756097560975,0.7733158927403532,0.8842620054771693,0.11976365379222888,0.37740193569190406,0.015029215529255267,"[[5569, 589], [1144, 2956]]",0.8976476366257654,0.24926829268292683
