dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,midterm,smotenc,mlp,1,0.36075949367088606,0.48136594588207493,0.34106123761296175,0.29739412634149476,0.07692307692307693,0.14035087719298245,5.9442291980957185,-0.7663772849449582,0.4095988548306616
student-mat,midterm,smotenc,logistic_regression,2,0.6835443037974683,0.6649707084133314,0.7003312779174848,0.6753638873204091,0.8269230769230769,0.7678571428571429,3.743771198245177,0.2993341099797394,0.6179279822974277
student-mat,midterm,smotenc,random_forest,2,0.7658227848101266,0.7706971677559912,0.7575298264953437,0.7636767464390988,0.7692307692307693,0.7766990291262136,3.1326172985605036,0.5094231372876885,0.6784810126582279
student-mat,midterm,smotenc,xgboost,2,0.7341772151898734,0.7186572293473333,0.7627028144269524,0.7306343089342461,0.8846153846153846,0.8141592920353983,3.245493467579509,0.47343273539570174,0.5916666814798042
student-mat,midterm,smotenc,mlp,2,0.41139240506329117,0.28733664326884667,0.3542291042291043,0.30158420984287754,0.6730769230769231,0.46357615894039733,6.24157660219056,-0.9475157911705616,0.45907873116571674
student-mat,midterm,random_oversampling,logistic_regression,1,0.6265822784810127,0.6219085335283538,0.6837874768909251,0.6298441142191142,0.7692307692307693,0.7272727272727273,3.9414223481609123,0.22339831697686618,0.6148485168773986
student-mat,midterm,random_oversampling,random_forest,1,0.6962025316455697,0.7030168666318901,0.7006642782504852,0.6999678249678251,0.75,0.6964285714285714,3.8186749640435043,0.27101638717241794,0.6544303797468355
student-mat,midterm,random_oversampling,xgboost,1,0.7468354430379747,0.7578857399910032,0.7466240655895828,0.7509240156270577,0.7884615384615384,0.7522935779816514,3.2958066952040586,0.45697998024507913,0.5587726342904417
student-mat,midterm,random_oversampling,mlp,1,0.37341772151898733,0.3648879142300195,0.3675290227014365,0.3569333475373744,0.3076923076923077,0.35555555555555557,5.94476154891159,-0.7666936840824703,0.37695270039824635
student-mat,midterm,random_oversampling,logistic_regression,2,0.6708860759493671,0.6562238930659984,0.6925947615602789,0.6678892562091248,0.7692307692307693,0.7339449541284404,3.8411908095593272,0.2623945106752168,0.6102950642867059
student-mat,midterm,random_oversampling,random_forest,2,0.7341772151898734,0.7331029391628415,0.7277980640049605,0.7285612885612885,0.8269230769230769,0.7747747747747747,3.3178172632628615,0.4497028000823039,0.679535864978903
student-mat,midterm,random_oversampling,xgboost,2,0.7151898734177216,0.7026881720430107,0.7485560416594899,0.7165629814988589,0.8076923076923077,0.7777777777777778,3.385794972371586,0.4269220621814419,0.6078224350002748
student-mat,midterm,random_oversampling,mlp,2,0.4177215189873418,0.2912698412698413,0.3585581085581086,0.30640713706407136,0.6730769230769231,0.4666666666666667,6.216683351975889,-0.932012233432475,0.45860468815068645
