dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,mean_stage_macro_f1,worst_stage_macro_f1,rank_macro_f1,rank_mean_stage_macro_f1,rank_worst_stage_macro_f1,rank_balanced_accuracy,rank_pr_auc,authority_scope,risk_f1,risk_precision,risk_recall,early_mean_macro_f1,early_mean_risk_recall,early_mean_risk_f1,early_worst_risk_recall,early_mean_pr_auc,harmonic_stage_macro_f1,mean_stage_balanced_accuracy,mean_stage_risk_recall,mean_stage_risk_f1,mean_stage_pr_auc,mean_stage_brier,mean_stage_nll,mean_stage_ece,gain_E1_to_E2,gain_E2_to_M1,gain_M1_to_L1,gain_E1_to_L1,final_L1_macro_f1,final_L1_risk_precision,final_L1_risk_recall,final_L1_risk_f1,final_L1_pr_auc,final_L1_ece,seed_std_mean,seed_std_max
student_por,bilstm_only_por,bilstm_only,OVERALL,0.7026194144838213,0.7640772936273136,0.6586118166680294,0.7640772936273136,0.6843686812686295,0.7097872574973257,0.7938943329306193,0.8942194089425417,0.3978788775422048,0.628520687369966,0.0698271216667802,219.0,45.0,0.6897874995807632,0.5093850779014473,6.0,4.0,1.0,3.0,7.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,cnn_bilstm_por,cnn_bilstm,OVERALL,0.7185413456599897,0.7700446408642471,0.6709388377776739,0.7700446408642471,0.6983011614278517,0.7254669667529478,0.8111564524518474,0.9007739718497696,0.3787420301885194,0.6096062025997693,0.0572930087054252,195.0,47.0,0.7050044309903339,0.5088862277534547,4.0,2.0,2.0,1.0,1.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,cnn_only_por,cnn_only,OVERALL,0.7134052388289677,0.7687576447480023,0.666477812209806,0.7687576447480023,0.6937461403648464,0.7204509727161366,0.8015590188069033,0.89728651358133,0.3876327484406971,0.6249872914578991,0.0535596370969781,214.0,45.0,0.6997228259426364,0.4984191775302455,5.0,3.0,4.0,2.0,5.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,decision_tree_por,decision_tree,OVERALL,0.6866974833076528,0.6849800942328063,0.6245598493525163,0.6849800942328063,0.6449495832588876,0.6957220474957792,0.697352643343656,0.8233724893200156,0.4377387755369977,3.111505045029654,0.1551763807762076,214.0,89.0,0.6488101478458632,0.4311891911668888,10.0,10.0,9.0,6.0,10.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,hist_gradient_boosting_por,hist_gradient_boosting,OVERALL,0.7375449409347714,0.6362689977314324,0.689204985984374,0.6362689977314324,0.6581697186077193,0.7305015637168608,0.7359857871509922,0.8541364344811774,0.3988548901401697,0.7822927471737369,0.1452267802394345,99.0,157.0,0.6533654252767259,0.4586335978494562,9.0,9.0,5.0,10.0,9.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,logistic_regression_por,logistic_regression,OVERALL,0.6882383153569595,0.754118079144194,0.65150534387439,0.754118079144194,0.6708632132746151,0.6960554744503532,0.8026383654000641,0.8930663839556736,0.3875880587022043,0.633004583035367,0.0544467617372001,191.0,51.0,0.6775717244163711,0.4350604201757209,8.0,6.0,8.0,5.0,4.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,mlp_por,mlp,OVERALL,0.7770929635336415,0.6620150480295117,0.7619705897966768,0.6620150480295117,0.6989091326938164,0.7671243381659304,0.8001690849872715,0.8946129515385696,0.3057363090078236,0.5032420669452855,0.0243628112872451,73.0,149.0,0.6682077679833748,0.4002416046878521,3.0,7.0,10.0,8.0,6.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,random_forest_por,random_forest,OVERALL,0.7329224447868515,0.7637563258133769,0.6830833580750824,0.7637563258133769,0.7075744365865381,0.7396398767141067,0.8111486262268083,0.9018656339423852,0.3499511158318577,0.5850005082562271,0.0424690249207162,149.0,61.0,0.7162721383836489,0.508215391459486,1.0,1.0,3.0,4.0,2.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,svm_por,svm,OVERALL,0.7550077041602465,0.6488009058037182,0.7166367160669943,0.6488009058037182,0.6757617198239294,0.7466651857862192,0.7416644962785331,0.8696255413647438,0.3449792257011376,0.5693979616763781,0.0394324905116651,83.0,155.0,0.6673481437894363,0.4492991583132428,7.0,8.0,7.0,9.0,8.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_por,xgboost_por,xgboost,OVERALL,0.7791474062660503,0.6731283911838352,0.7596258040677851,0.6731283911838352,0.7066578045434159,0.770632221357989,0.8027962610021979,0.8931451240613626,0.30690458640014,0.5098045339080354,0.0457631189794302,67.0,144.0,0.6869773816147521,0.4533470507544582,2.0,5.0,6.0,7.0,3.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
