interactions,learning_rate,max_bins,max_rounds,min_samples_leaf,config_id,ndcg_at_3,exact_best_top1,pairwise_accuracy,query_count,elapsed_seconds
3,0.025,64,2000,20,a70599afad40,0.9722541839577711,0.8033333333333333,0.8532055122828041,300,42.67435097694397
3,0.01,128,10000,5,32324799b167,0.972251082972668,0.8033333333333333,0.862627474505099,300,145.57929015159607
10,0.025,64,5000,20,39dbe7073c63,0.9722428040274103,0.81,0.8567146282973621,300,165.0417993068695
3,0.01,128,2000,10,cb66f756e23f,0.9722391512306774,0.8,0.8614277144571085,300,54.75687766075134
3,0.01,64,5000,10,b04b2217451c,0.9722367091921069,0.8,0.862627474505099,300,78.60562872886658
5,0.025,128,2000,2,254f2aa4d23e,0.9722351812018436,0.7933333333333333,0.8560287942411517,300,74.99296450614929
5,0.05,128,2000,2,afdb02f7b636,0.9722258048048186,0.7966666666666666,0.8530293941211757,300,60.45124363899231
10,0.025,64,2000,20,13028eb529db,0.9722162125104536,0.81,0.8562013181545836,300,106.34953165054321
3,0.01,256,5000,20,fcfbfa4f02df,0.9722077945253691,0.7933333333333333,0.8529411764705882,300,94.23035073280334
3,0.025,128,5000,2,06b27c114b09,0.9722059221629968,0.7933333333333333,0.8541416566626651,300,71.57889461517334
3,0.025,128,10000,2,5faa6142ac43,0.9722059221629968,0.7933333333333333,0.8541416566626651,300,85.751145362854
3,0.01,128,2000,5,76cd963cfd04,0.9722014287515681,0.7933333333333333,0.8600600600600601,300,63.36609148979187
3,0.025,64,5000,5,f59f5a2ee9f7,0.972173301543387,0.8066666666666666,0.8615937687237867,300,53.632057189941406
3,0.05,256,2000,5,69bd624dc28f,0.9721725373345093,0.81,0.8541416566626651,300,40.56240725517273
10,0.025,256,5000,2,b8afdf17eb15,0.9721694059483764,0.7966666666666666,0.8538046734571599,300,129.11652898788452
10,0.025,256,10000,2,eb3724fb34bd,0.9721694059483764,0.7966666666666666,0.8538046734571599,300,159.05042552947998
10,0.01,128,2000,20,91a38aa89e48,0.9721597687359201,0.8066666666666666,0.8518296340731853,300,134.15577626228333
10,0.05,128,2000,20,1483e27b8780,0.9721508622694955,0.8033333333333333,0.8488302339532093,300,68.68429446220398
10,0.05,128,5000,20,04fae8d5e0df,0.9721508622694955,0.8033333333333333,0.8488302339532093,300,71.51341795921326
10,0.05,128,10000,20,1832093fd146,0.9721508622694955,0.8033333333333333,0.8488302339532093,300,70.70543766021729
5,0.01,128,2000,20,b91edd5a46c0,0.9721432334267225,0.8,0.8554289142171566,300,77.48872995376587
3,0.01,128,10000,2,2d7ba982efa8,0.972136453447247,0.79,0.8581730769230769,300,118.23635959625244
3,0.01,128,5000,5,6b9645d9464c,0.972133976854733,0.8033333333333333,0.8620275944811038,300,106.10420083999634
3,0.025,64,10000,5,96c0fa98f891,0.9721267577411461,0.8033333333333333,0.8609112709832134,300,66.60192584991455
0,0.01,64,5000,20,06caa71bacd4,0.9721140594174835,0.8033333333333333,0.8560287942411517,300,23.119004011154175
0,0.01,64,10000,20,4d6251b82996,0.9721095265356117,0.8033333333333333,0.8554289142171566,300,24.68031072616577
5,0.01,256,2000,5,8c9961846aee,0.9720975053832069,0.8033333333333333,0.8607442977190877,300,98.44478964805603
3,0.01,128,5000,2,3684fbec7084,0.9720960525843111,0.79,0.8587740384615384,300,89.28630471229553
5,0.01,128,5000,20,a983556eb513,0.9720832733764762,0.8,0.853629274145171,300,108.66688013076782
5,0.01,128,10000,20,a8c455ca43aa,0.9720832733764762,0.8,0.853629274145171,300,125.06648707389832
5,0.05,128,5000,2,4230607b77c4,0.972076546973852,0.7966666666666666,0.8524295140971806,300,83.10508060455322
5,0.05,128,10000,2,a9cbce1b6710,0.972076546973852,0.7966666666666666,0.8524295140971806,300,84.7858612537384
5,0.05,64,5000,20,8e5ae272bfa3,0.9720758302580871,0.81,0.8571428571428571,300,47.23125958442688
