model_id,model_family,prediction_stage,cohort,common_base_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
cnn_only_oulad,cnn_only,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8091462164194408,0.8191189831483998,0.7992952768898569,0.8191189831483998,0.8027666256465688,0.8121820384063796,0.6947924528301886,0.8566908617159873,0.7672945490915153,0.9037981009495253,0.7815471045808124,0.8382387022016222,0.7815471045808124,0.9030831013492533,0.9160232844172204,0.1010573121038545,0.32763411417412003,0.04742321541869143,7234,2022,770,4603,14629,5373,9256,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.7985508237063367,0.7903287082681245,0.783091302964301,0.7903287082681245,0.7861558140183291,0.7998212946028077,0.711545169166376,0.7593523171412618,0.7346718285765733,0.8546374367622259,0.8213050993949871,0.8376397994600848,0.8213050993949871,0.8498639456007295,0.8745592820532124,0.13484013257933342,0.4189730910046941,0.07998284374255685,7602,1654,1293,4080,14629,5373,9256,1.0
decision_tree_oulad,decision_tree,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7150864720760134,0.6369634674219395,0.7262930215387755,0.6369634674219395,0.637175506745499,0.6818027789653526,0.7432377876463464,0.3426391215335939,0.4690445859872611,0.7093482554312047,0.9312878133102852,0.8053064275037369,0.9312878133102852,0.6289909713484596,0.7203841078692866,0.22709277861386679,0.9555370286718754,0.15644851311877428,8620,636,3532,1841,14629,5373,9256,1.0
decision_tree_oulad,decision_tree,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7498803745984004,0.6983839215926619,0.7437245677797865,0.6983839215926619,0.7078274621125398,0.7372493466499447,0.7312466270912035,0.5043737204541224,0.5969820464808899,0.7562025084683694,0.8923941227312013,0.8186728777441895,0.8923941227312013,0.683648847798374,0.7693142056355596,0.19961684165891455,0.9319284297121443,0.13174437823237925,8260,996,2663,2710,14629,5373,9256,1.0
decision_tree_oulad,decision_tree,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8170073142388407,0.8056946195814696,0.8027029706913029,0.8056946195814696,0.804122412020355,0.8174571868909253,0.7449127906976745,0.7630746324213661,0.7538843431093132,0.8604931506849315,0.848314606741573,0.8543604809313966,0.848314606741573,0.8439802938420068,0.8738015882093011,0.12851420084165194,0.6020100954804013,0.0799448008595846,7852,1404,1273,4100,14629,5373,9256,1.0
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.785973067195297,0.750524476072864,0.7772562621852551,0.750524476072864,0.7593224382693021,0.7805805303234595,0.7554694621695534,0.6169737576772752,0.6792336850732507,0.7990430622009569,0.8840751944684528,0.8394111914653536,0.8840751944684528,0.7524620343628368,0.8128449354876434,0.17086574038255553,0.8249214337091418,0.10844140446238221,8183,1073,2058,3315,14629,5373,9256,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7484448697792057,0.7037299742574713,0.7361571386850017,0.7037299742574713,0.7121119986460664,0.7392585329177577,0.7085489036708549,0.5352689372789875,0.6098388464800678,0.7637653736991485,0.8721910112359551,0.814385150812065,0.8721910112359551,0.731776981324773,0.7906558988160817,0.17326107347367434,0.520563853595208,0.051917939041151835,8073,1183,2497,2876,14629,5373,9256,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7843324902590745,0.7545763445416204,0.7717305757628555,0.7545763445416204,0.7610095281321634,0.7808263907008277,0.7366623986342297,0.6424716173459892,0.6863505318620141,0.8067987528914814,0.8666810717372515,0.8356685244023127,0.8666810717372515,0.8008807646261831,0.8391307911239028,0.14929835660494797,0.45748135451414984,0.04059545700629762,8022,1234,1921,3452,14629,5373,9256,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8377195980586506,0.8358040623264213,0.8241832510857956,0.8358040623264213,0.8287330447950976,0.8391462904896295,0.7539373412362405,0.8285873813512005,0.789501684695868,0.8944291609353507,0.8430207433016422,0.867964404894327,0.8430207433016422,0.9064244687293554,0.919301765075578,0.09619824719274188,0.3120615726697659,0.006450219433198911,7803,1453,921,4452,14629,5373,9256,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.8076423542279034,0.7915793293912824,0.7933541363537384,0.7915793293912824,0.7924409616991461,0.8073505366395767,0.7415518217859166,0.7310627210124697,0.7362699156513589,0.8451564509215602,0.8520959377700951,0.8486120077469335,0.8520959377700951,0.8515792588042745,0.8761827077704216,0.12618144479611196,0.3942402357805072,0.01750710171177377,7887,1369,1445,3928,14629,5373,9256,1.0
