model_id,model_family,prediction_stage,threshold_policy,class_name,outer_fold,precision,recall,f1,support
decision_tree_oulad,decision_tree,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8560866071869598,0.8695957326779796,0.8626219495512242,3086.6666666666665
decision_tree_oulad,decision_tree,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7475218402700418,0.7616181082665547,0.7542394993846179,1791.6666666666667
decision_tree_oulad,decision_tree,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8600726423716427,0.8500988663417228,0.8549443433897969,3086.6666666666665
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.6990885500261884,0.6747764030218194,0.6861421423087811,2039.3333333333333
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.7899748198408005,0.8073660620105833,0.7983087928693698,3086.6666666666665
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7738921877384416,0.6135067913003308,0.6843531440186558,2039.3333333333333
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7753960449067111,0.8815507274741411,0.8250449936991634,3086.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.7445884818512264,0.5808478595476675,0.6525503049621699,2436.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7179606916259719,0.8426083363368629,0.7752840827214538,3085.3333333333335
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.765665377486318,0.5308557128707452,0.6267264139222832,2436.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7016878044273646,0.8713713661463528,0.7772934308531722,3085.3333333333335
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.7839241420738743,0.6137532523379551,0.6884697035501851,2229.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7588550048114944,0.877848072592332,0.8140186978131334,3086.3333333333335
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7719512083599742,0.6297966886806258,0.6933242447591971,2229.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7640222674009903,0.8653613131460766,0.8114131751706776,3086.3333333333335
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.910547051261037,0.7122627614066315,0.7992267062623547,1791.6666666666667
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8517229301773309,0.9594071099676843,0.9023449785723611,3086.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7535082393688302,0.8285041559761709,0.7891688274227987,1791.6666666666667
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8943593268175821,0.8426699454881118,0.8677192553119872,3086.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.840145008854844,0.652059120255447,0.7341946375364715,2039.3333333333333
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.7997459889397637,0.9180456531390847,0.85480272600395,3086.6666666666665
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7655246245490802,0.731348979222694,0.7479484120303775,2039.3333333333333
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8276038551937307,0.8519695190920511,0.8395656575645258,3086.6666666666665
logistic_regression_oulad,logistic_regression,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.6614880382747886,0.6907799519142389,0.6757764155279071,2436.6666666666665
logistic_regression_oulad,logistic_regression,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7469539802317033,0.7207059000097065,0.7335613879829289,3085.3333333333335
logistic_regression_oulad,logistic_regression,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7538077069465885,0.5323282192779372,0.6239082490393838,2436.6666666666665
logistic_regression_oulad,logistic_regression,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7001945957959207,0.8626035017195434,0.7729260567444204,3085.3333333333335
logistic_regression_oulad,logistic_regression,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.6897819730327922,0.7207048115360459,0.704843977701474,2229.0
logistic_regression_oulad,logistic_regression,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7916056114218328,0.7659664848092609,0.7785367264461868,3086.3333333333335
logistic_regression_oulad,logistic_regression,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7517568370241658,0.6312337348087257,0.6860165353903565,2229.0
logistic_regression_oulad,logistic_regression,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7612869274433011,0.8492581812602898,0.802777870034776,3086.3333333333335
logistic_regression_oulad,logistic_regression,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.8423797808238422,0.7583461339282885,0.7980957399923233,1791.6666666666667
logistic_regression_oulad,logistic_regression,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8674688588122498,0.9177167805305312,0.8918670792330293,3086.6666666666665
logistic_regression_oulad,logistic_regression,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7532029960256907,0.8184901305602743,0.7844328702479929,1791.6666666666667
logistic_regression_oulad,logistic_regression,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8890990852309812,0.8443896465298133,0.8661430244961125,3086.6666666666665
logistic_regression_oulad,logistic_regression,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.7729847959023387,0.7124861854888138,0.7414526114555686,2039.3333333333333
logistic_regression_oulad,logistic_regression,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.8194192530816399,0.8617872511461416,0.840047521034215,3086.6666666666665
logistic_regression_oulad,logistic_regression,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7530029092793403,0.7339345552873069,0.743288911854039,2039.3333333333333
logistic_regression_oulad,logistic_regression,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8271115578109766,0.8409470707122503,0.8339447858850829,3086.6666666666665
mlp_oulad,mlp,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.7331673791335458,0.5853185558379622,0.6509508546421797,2436.6666666666665
mlp_oulad,mlp,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.71751649332945,0.8317944260643243,0.770438232105415,3085.3333333333335
mlp_oulad,mlp,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7784057544146178,0.5135626040642387,0.618786528908107,2436.6666666666665
mlp_oulad,mlp,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.6972932907197386,0.8846137597580258,0.7798578513260329,3085.3333333333335
mlp_oulad,mlp,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.7866852254107414,0.6052321215220832,0.6840474277830766,2229.0
mlp_oulad,mlp,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7556087766224358,0.8814410705463599,0.8136550991818443,3086.3333333333335
mlp_oulad,mlp,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7810682802911222,0.6123417457437895,0.6864191936970861,2229.0
mlp_oulad,mlp,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7578545415266554,0.8760224769448813,0.81264303885895,3086.3333333333335
mlp_oulad,mlp,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.9094422437151367,0.7195397218387769,0.8033986831240472,1791.6666666666667
mlp_oulad,mlp,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8547763207070748,0.9584222501891683,0.9036279514793559,3086.6666666666665
mlp_oulad,mlp,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7441262293648382,0.840506456449739,0.7893781464907913,1791.6666666666667
mlp_oulad,mlp,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.899936559284621,0.8322972884712739,0.8647940878575877,3086.6666666666665
mlp_oulad,mlp,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.8367367728278662,0.655228850406336,0.7349166416856493,2039.3333333333333
mlp_oulad,mlp,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.8007984560114817,0.9155699386418341,0.8543369115969632,3086.6666666666665
mlp_oulad,mlp,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7633525557679595,0.7322584458648503,0.747357896584254,2039.3333333333333
mlp_oulad,mlp,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8277947668360707,0.8499098745734656,0.8386533828075802,3086.6666666666665
random_forest_oulad,random_forest,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.7186105829516919,0.5918007573381625,0.6490648084969293,2436.6666666666665
random_forest_oulad,random_forest,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7170419405711711,0.8169769905845937,0.7637502018656228,3085.3333333333335
random_forest_oulad,random_forest,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7558265181662356,0.526772581527359,0.6207814544849248,2436.6666666666665
random_forest_oulad,random_forest,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.6984849324538834,0.8656056874804001,0.7731002344430653,3085.3333333333335
random_forest_oulad,random_forest,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.7615658067664178,0.6155655334556919,0.6807627961213513,2229.0
random_forest_oulad,random_forest,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7561304086909063,0.8608003098218765,0.8050505611459431,3086.3333333333335
random_forest_oulad,random_forest,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7561616018536735,0.6199160344958664,0.6811495827380908,2229.0
