model_family,outer_fold,prediction_stage,threshold_policy,threshold,status,source
hist_gradient_boosting,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4745373509590326,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2675813656696118,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3799185319464589,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.551707677055622,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.5031730714010042,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2685566402353519,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3884772213370434,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6218242875354831,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.5848340042352522,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3765564897503811,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4757530737842935,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6189452106739959,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.5847496754952526,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.37061281113106,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4659195086544321,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6405905602892358,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.6034397366461257,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3799999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
logistic_regression,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4797522473723851,PRECISION_CONSTRAINT_MET,pooled_inner_oof
logistic_regression,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
mlp,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5792581800249635,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4954556351942434,PRECISION_CONSTRAINT_MET,pooled_inner_oof
