prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,resampling_unit,conclusion
E2_EARLY_35PCT,cnn_bilstm_oulad,mlp_oulad,macro_f1,-0.004329587600934232,-0.008941691560697648,0.00016515993633964827,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,mlp_oulad,risk_recall,0.01861575080750358,0.011872827237213415,0.025408933268738495,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,mlp_oulad,risk_f1,0.00029554915664145945,-0.00549873177680564,0.006037217714199115,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,mlp_oulad,brier,0.013564977848315033,0.011646427282515024,0.01552129924587866,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,mlp_oulad,nll,0.033219052345656724,0.02821993729398662,0.038187416951433566,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,cnn_only_oulad,macro_f1,-0.0014167556711735503,-0.003842750395701178,0.0010112584995521697,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_recall,0.007757290961875142,0.004213678656657333,0.011341639723074972,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_f1,0.0005157684970496003,-0.0025299514357464414,0.003568687173133422,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,cnn_only_oulad,brier,0.0007708715328532401,0.00039615238424858465,0.001132926438262349,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,cnn_only_oulad,nll,0.002020399783711642,0.0010887449326763055,0.002915857508754332,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,bilstm_only_oulad,macro_f1,9.448544089679015e-05,-0.003322977977951308,0.0033948913902899463,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_recall,-0.04041664004569495,-0.045332840052637505,-0.03568190042909579,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_f1,-0.00959553236668103,-0.013779837553617053,-0.005561470760488303,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,bilstm_only_oulad,brier,0.0018450213204829922,0.0014788902855377907,0.00219560711933702,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,bilstm_only_oulad,nll,0.005427602335552242,0.004525713564570655,0.006298202559523288,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,logistic_regression_oulad,macro_f1,-0.01947050626980334,-0.023867325368377827,-0.015136492559380352,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,logistic_regression_oulad,risk_recall,0.03387267216648006,0.028030313601070715,0.03975251340246838,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,logistic_regression_oulad,risk_f1,-0.014902955728108742,-0.0199609563616871,-0.00999639849910121,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,logistic_regression_oulad,brier,-0.0018105019166075543,-0.002709722864409836,-0.0008989434627616041,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,logistic_regression_oulad,nll,-0.0028333029227968673,-0.005678176144091014,5.859401776460635e-05,5000,id_student,insufficient evidence of difference
L1_LATE_75PCT,cnn_bilstm_oulad,decision_tree_oulad,macro_f1,0.0024307569032606955,-0.004452195344254534,0.00927052321137202,5000,id_student,insufficient evidence of difference
L1_LATE_75PCT,cnn_bilstm_oulad,decision_tree_oulad,risk_recall,0.08960237541096655,0.08026245655978997,0.0991812863336403,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,decision_tree_oulad,risk_f1,0.016510327893012565,0.00827105405971843,0.024512553641949427,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,decision_tree_oulad,brier,-0.02804305137777651,-0.030876072049793576,-0.025157255676038635,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,decision_tree_oulad,nll,-0.27533953155861307,-0.3063129617341266,-0.24513858050801204,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,random_forest_oulad,macro_f1,-0.02374805465670276,-0.028380679171336704,-0.019106687445391363,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,random_forest_oulad,risk_recall,0.03147547294322941,0.02550737631595637,0.03771555227691542,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,random_forest_oulad,risk_f1,-0.019760190332907768,-0.025172054782602937,-0.01447439904879933,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,random_forest_oulad,brier,0.0022093254012172723,0.0011506589369987656,0.0032495945146730756,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,random_forest_oulad,nll,0.007863767278376135,0.004902992880927305,0.010862954708882348,5000,id_student,comparator higher
