model_id,model_family,prediction_stage,threshold_policy,threshold,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage,rank_macro_f1
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,0.7417124497288469,0.0010640941265117503,0.7404040464234942,0.7434544362978786,0.7545079346246557,0.7410712325162013,0.7445316849334945,0.7410712325162013,0.7422254675890755,0.7536697035160339,0.6990885500261884,0.6747764030218194,0.6861421423087811,0.7899748198408005,0.8073660620105833,0.7983087928693698,0.8073660620105833,0.7699904823355586,0.8077970181832673,0.17580058660606115,0.8479797288450263,0.10663039009150126,2492.0,594.6666666666666,663.6666666666666,1375.6666666666667,5126.0,2039.3333333333333,3086.6666666666665,1.0,10.0
decision_tree_oulad,decision_tree,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.6416666666666666,0.7417124497288469,0.0010640941265117503,0.7404040464234942,0.7434544362978786,0.7748724535973707,0.7475287593872361,0.7746441163225763,0.7475287593872361,0.7546990688589096,0.7690732686511934,0.7738921877384416,0.6135067913003308,0.6843531440186558,0.7753960449067111,0.8815507274741411,0.8250449936991634,0.8815507274741411,0.7699904823355586,0.8077970181832673,0.17580058660606115,0.8479797288450263,0.10663039009150126,2721.0,365.6666666666667,788.3333333333334,1251.0,5126.0,2039.3333333333333,3086.6666666666665,1.0,10.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,FIXED_0_5,0.5,0.709660079737581,0.0026961193088679545,0.7057317031343691,0.7131060707073056,0.7270889106392554,0.7117280979422652,0.7312745867385991,0.7117280979422652,0.7139171938418118,0.7211316924189859,0.7445884818512264,0.5808478595476675,0.6525503049621699,0.7179606916259719,0.8426083363368629,0.7752840827214538,0.8426083363368629,0.7744824269102275,0.7854645408293126,0.18291993763820136,0.5424150843628638,0.018629950095148864,2599.6666666666665,485.6666666666667,1021.3333333333334,1415.3333333333333,5522.0,2436.6666666666665,3085.3333333333335,1.0,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5431933230969602,0.709660079737581,0.0026961193088679545,0.7057317031343691,0.7131060707073056,0.7210542554307601,0.7011135395085489,0.7336765909568413,0.7011135395085489,0.7020099223877277,0.7108436347733678,0.765665377486318,0.5308557128707452,0.6267264139222832,0.7016878044273646,0.8713713661463528,0.7772934308531722,0.8713713661463528,0.7744824269102275,0.7854645408293126,0.18291993763820136,0.5424150843628638,0.018629950095148864,2688.3333333333335,397.0,1143.3333333333333,1293.3333333333333,5522.0,2436.6666666666665,3085.3333333333335,1.0,4.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,FIXED_0_5,0.5,0.7484150400769506,0.0018198666979615896,0.745506610246183,0.7506979741568295,0.7670922897032783,0.7458006624651435,0.7713895734426842,0.7458006624651435,0.7512442006816592,0.7613796130456794,0.7839241420738743,0.6137532523379551,0.6884697035501851,0.7588550048114944,0.877848072592332,0.8140186978131334,0.877848072592332,0.8170042073541032,0.8304083696086607,0.15937183138744218,0.4816149874837843,0.0166181799810801,2709.3333333333335,377.0,861.0,1368.0,5315.333333333333,2229.0,3086.3333333333335,1.0,1.0
hist_gradient_boosting_oulad,hist_gradient_boosting,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4837863477723518,0.7484150400769506,0.0018198666979615896,0.745506610246183,0.7506979741568295,0.7664610747132815,0.7475790009133512,0.7679867378804822,0.7475790009133512,0.7523687099649373,0.761875615906802,0.7719512083599742,0.6297966886806258,0.6933242447591971,0.7640222674009903,0.8653613131460766,0.8114131751706776,0.8653613131460766,0.8170042073541032,0.8304083696086607,0.15937183138744218,0.4816149874837843,0.0166181799810801,2670.6666666666665,415.6666666666667,825.6666666666666,1403.3333333333333,5315.333333333333,2229.0,3086.3333333333335,1.0,2.0
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,FIXED_0_5,0.5,0.8495259440768176,0.0019537203786282953,0.8464925145038354,0.8519956649432713,0.8686032716032556,0.8358349356871578,0.881134990719184,0.8358349356871578,0.8507858424173579,0.8644748815171218,0.910547051261037,0.7122627614066315,0.7992267062623547,0.8517229301773309,0.9594071099676843,0.9023449785723611,0.9594071099676843,0.9064765033905662,0.9193657499430503,0.09632633510518139,0.3124499587252075,0.014054542818544574,2961.3333333333335,125.33333333333333,515.6666666666666,1276.0,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0,6.0
hist_gradient_boosting_oulad,hist_gradient_boosting,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.27070087448433183,0.8495259440768176,0.0019537203786282953,0.8464925145038354,0.8519956649432713,0.837442762027813,0.8355870507321413,0.8239337830932062,0.8355870507321413,0.8284440413673929,0.838878616241277,0.7535082393688302,0.8285041559761709,0.7891688274227987,0.8943593268175821,0.8426699454881118,0.8677192553119872,0.8426699454881118,0.9064765033905662,0.9193657499430503,0.09632633510518139,0.3124499587252075,0.014054542818544574,2601.0,485.6666666666667,307.3333333333333,1484.3333333333333,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0,4.0
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,0.7924653163678097,0.002099631792784069,0.7893924413500574,0.7955975501408377,0.8121965137603104,0.7850523866972657,0.819945498897304,0.7850523866972657,0.7944986817702108,0.8068227406147831,0.840145008854844,0.652059120255447,0.7341946375364715,0.7997459889397637,0.9180456531390847,0.85480272600395,0.9180456531390847,0.8608873687536726,0.8744991245871848,0.1317184375659797,0.4078420654628701,0.01484575571164575,2833.6666666666665,253.0,709.6666666666666,1329.6666666666667,5126.0,2039.3333333333333,3086.6666666666665,1.0,4.0
hist_gradient_boosting_oulad,hist_gradient_boosting,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3856263825571764,0.7924653163678097,0.002099631792784069,0.7893924413500574,0.7955975501408377,0.8039344651711127,0.7916592491573726,0.7965642398714055,0.7916592491573726,0.7937570347974517,0.8031187258674596,0.7655246245490802,0.731348979222694,0.7479484120303775,0.8276038551937307,0.8519695190920511,0.8395656575645258,0.8519695190920511,0.8608873687536726,0.8744991245871848,0.1317184375659797,0.4078420654628701,0.01484575571164575,2629.6666666666665,457.0,548.0,1491.3333333333333,5126.0,2039.3333333333333,3086.6666666666665,1.0,1.0
