model_id,model_family,prediction_stage,code_module,code_presentation,eligible,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
cnn_only_oulad,cnn_only,L1_LATE_75PCT,FFF,2013J,True,0.8626302083333334,0.8646012698075567,0.843391171558953,0.8646012698075567,0.8513571339136944,0.8646822809818255,0.7579831932773109,0.8706563706563707,0.8104222821203954,0.9287991498405951,0.8585461689587426,0.8922919857069934,0.8585461689587426,0.9287278366448747,0.9438599418953054,0.07783781407565026,0.26245774796945787,0.05154558231006379,874,144,67,451,1536,518,1018,1.0
cnn_only_oulad,cnn_only,L1_LATE_75PCT,FFF,2014B,True,0.8662674650698603,0.8665735400144197,0.861526341305753,0.8665735400144197,0.8635265896893805,0.86673071161304,0.8212669683257918,0.868421052631579,0.8441860465116279,0.9017857142857143,0.8647260273972602,0.8828671328671329,0.8647260273972602,0.9377814802540324,0.9441936488169365,0.08472202455969038,0.2815118719780746,0.031876229763610986,505,79,55,363,1002,418,584,1.0
cnn_only_oulad,cnn_only,L1_LATE_75PCT,GGG,2013J,True,0.8524590163934426,0.8415334846216986,0.8364968364968366,0.8415334846216986,0.8388708199313579,0.8530069275411073,0.7792207792207793,0.8053691275167785,0.7920792079207921,0.8937728937728938,0.8776978417266187,0.8856624319419237,0.8776978417266187,0.8956000361083758,0.9145321326831152,0.09802124627461156,0.3209263058182284,0.04528591861551414,488,68,58,240,854,298,556,1.0
cnn_only_oulad,cnn_only,L1_LATE_75PCT,GGG,2014B,True,0.8342318059299192,0.8364171374764595,0.8204331935693625,0.8364171374764595,0.8258265823147167,0.8362428717028817,0.7378640776699029,0.8444444444444444,0.7875647668393783,0.9030023094688222,0.8283898305084746,0.8640883977900552,0.8283898305084746,0.9060624647393642,0.9230775266792215,0.09904453990627364,0.3292358780858153,0.06423353453761725,391,81,42,228,742,270,472,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,AAA,2013J,True,0.8433734939759037,0.7050359712230216,0.7114010989010989,0.7050359712230216,0.7081219990532224,0.8421765780916322,0.5192307692307693,0.5,0.5094339622641509,0.9035714285714286,0.9100719424460432,0.9068100358422939,0.9100719424460432,0.5946749911405298,0.8230082600586198,0.10875796888311266,0.36210829774011266,0.11167379174022432,253,25,27,27,332,54,278,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,BBB,2013B,True,0.7720964207450693,0.7749627061065175,0.7677542240333894,0.7749627061065175,0.7689001428385924,0.7736052227381891,0.6978193146417445,0.7915194346289752,0.7417218543046358,0.8376891334250344,0.7584059775840598,0.796078431372549,0.7584059775840598,0.8660352400531908,0.8697265994569834,0.14224034060074403,0.43254331068269253,0.07751462760009278,609,194,118,448,1369,566,803,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,BBB,2013J,True,0.8214285714285714,0.7925877178180509,0.8086545960058319,0.7925877178180509,0.7992588055458184,0.8190460282827017,0.7739463601532567,0.6953528399311532,0.7325475974614687,0.8433628318584071,0.8898225957049486,0.8659700136301681,0.8898225957049486,0.8426609478235607,0.8719359229635629,0.1282463853000939,0.40548441748253367,0.061855311438747944,953,118,177,404,1652,581,1071,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,BBB,2014B,True,0.8015202702702703,0.7926155160176598,0.7905784571092376,0.7926155160176598,0.7915453915453916,0.8018668876776984,0.7387580299785867,0.7532751091703057,0.745945945945946,0.8423988842398884,0.8319559228650137,0.8371448371448371,0.8319559228650137,0.8567105657525655,0.874123329363504,0.1353278204361191,0.4179450821791388,0.06137370626328864,604,122,113,345,1184,458,726,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,CCC,2014B,True,0.7378640776699029,0.7457169860225182,0.7435354010025063,0.7457169860225182,0.7377259622466803,0.7384431000211055,0.6661184210526315,0.811623246492986,0.7317073170731707,0.820952380952381,0.6798107255520505,0.7437446074201898,0.6798107255520505,0.8652612803045503,0.8595550722896899,0.1544130063690447,0.45985270925225236,0.09590789934608754,431,203,94,405,1133,499,634,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,DDD,2013B,True,0.7375518672199171,0.7385663545366483,0.7427966770072034,0.7385663545366483,0.736631078120225,0.7364049193939848,0.7032967032967034,0.8084210526315789,0.752203721841332,0.7822966507177034,0.6687116564417178,0.721058434399118,0.6687116564417178,0.8679562629129136,0.8370509094822947,0.16348999611308562,0.4823693964952679,0.0651356784271316,327,162,91,384,964,475,489,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,DDD,2013J,True,0.7714987714987716,0.7618980626550258,0.7695470647773279,0.7618980626550258,0.7643960807720052,0.7698571118496604,0.7604166666666666,0.6899810964083176,0.7234886025768087,0.7786774628879892,0.8338150289017341,0.8053035589672016,0.8338150289017341,0.8490796421714406,0.8466050023492904,0.14985146179760836,0.4538609649566547,0.029198562824316023,577,115,164,365,1221,529,692,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,DDD,2014B,True,0.7770448548812665,0.7785457840984349,0.7791939180501984,0.7785457840984349,0.7770134190219729,0.7769156185708369,0.7437810945273632,0.8191780821917808,0.7796610169491526,0.8146067415730337,0.7379134860050891,0.774365821094793,0.7379134860050891,0.8870543329115743,0.8725295409390359,0.14596828406174425,0.44582556893454806,0.06985303181221113,290,103,66,299,758,365,393,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,EEE,2013J,True,0.874826147426982,0.8337407753300738,0.862655457168441,0.8337407753300738,0.8460165619645916,0.8722323583821365,0.8368421052631579,0.7293577981651376,0.7794117647058824,0.888468809073724,0.93812375249501,0.912621359223301,0.93812375249501,0.8630441878472946,0.8980937208152502,0.10265107201200191,0.3387504417954868,0.07059193027150068,470,31,59,159,719,218,501,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,EEE,2014B,True,0.8105726872246696,0.8049523118182002,0.8029001181677983,0.8049523118182002,0.803858133226163,0.8108924278912651,0.7593582887700535,0.7759562841530054,0.7675675675675676,0.846441947565543,0.8339483394833949,0.8401486988847584,0.8339483394833949,0.8763440118908041,0.8799225697175004,0.13275708953002036,0.4191331495167251,0.08132952827517156,226,45,41,142,454,183,271,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,FFF,2013B,True,0.7709627329192547,0.7751988191348356,0.7655109024987465,0.7751988191348356,0.7668532241764296,0.773005471183232,0.6838602329450915,0.7965116279069767,0.7358997314234557,0.8471615720524017,0.7538860103626943,0.7978067169294037,0.7538860103626943,0.8412125976664578,0.8650113467486042,0.14999739383709917,0.45401713697649215,0.08033497275911873,582,190,105,411,1288,516,772,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,FFF,2013J,True,0.8585669781931464,0.8333305442411383,0.8574297116689038,0.8333305442411383,0.8426827293629975,0.8561064769037704,0.8543307086614174,0.7393526405451448,0.7926940639269406,0.8605287146763901,0.9273084479371316,0.8926713947990543,0.9273084479371316,0.8955731399819967,0.912356124679115,0.10456903203462233,0.3369345540709,0.045178319886791024,944,74,153,434,1605,587,1018,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,FFF,2014B,True,0.7949200376293509,0.8004064546572482,0.7982739160064742,0.8004064546572482,0.7948065425592202,0.7952832218537691,0.7334525939177102,0.8559498956158664,0.789980732177264,0.8630952380952381,0.7448630136986302,0.7996323529411765,0.7448630136986302,0.8880664408058238,0.8891919524122743,0.1397369740520044,0.43166166521758653,0.08450840552699311,435,149,69,410,1063,479,584,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,GGG,2013J,True,0.8137931034482758,0.7780781744031526,0.8088609527687296,0.7780781744031526,0.7886639676113361,0.8089348038531342,0.796875,0.6496815286624203,0.7157894736842105,0.8208469055374593,0.9064748201438849,0.8615384615384616,0.9064748201438849,0.8039015464128402,0.8406440452733355,0.14286967349264587,0.4553201613831309,0.05737552998908633,504,52,110,204,870,314,556,1.0
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,GGG,2014B,True,0.7859007832898173,0.7691903032399401,0.774507642563198,0.7691903032399401,0.7715478675812706,0.7848542165194023,0.7321428571428571,0.6972789115646258,0.7142857142857143,0.8168724279835391,0.8411016949152542,0.8288100208768268,0.8411016949152542,0.8358855115153354,0.8575608209385449,0.14474018815792503,0.448715553799019,0.074102829997829,397,75,89,205,766,294,472,1.0
