dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
student-mat,late,seq_focal_light,seq_focal_light,sequence,False,,3,32,64,focal_loss,False,none,0.15,64,,low_recall_priority,0.27499999999999997,0.9612403100775194,0.8132911392405063,0.8549014848080269,0.8507986266606956,0.8335006309472462,1.0,0.8062015503875969,3.372097908394338,0.4550003431845704,0.6833741801637637,0.8132911392405063,0.8549014848080269,0.8507986266606956,0.8335006309472462,1.0,0.8062015503875969,3.372097908394338,0.4550003431845704,0.6833741801637637,0.813095238095238,0.041246941143448505,0.8591960072832283,0.029444063924429102,0.8499511241446726,0.034402762162757894,0.8320972323021051,0.03732941072182815,1.0,0.0,0.8079806076276664,0.04134545782075314,3.3650583025689493,0.23481920872869932,0.42751380606471434,0.1451607408318817,False
student-mat,late,seq_focal_light,seq_focal_light,sequence,False,,3,32,64,focal_loss,False,none,0.15,64,,balanced_low_macro,0.475,0.8961250314723463,0.8860759493670886,0.8947822477304311,0.892257168119237,0.8923554370226694,0.9230769230769231,0.8767123287671232,2.9215751343791903,0.5908995131578885,0.6833741801637637,0.8860759493670886,0.8947822477304311,0.892257168119237,0.8923554370226694,0.9230769230769231,0.8767123287671232,2.9215751343791903,0.5908995131578885,0.6833741801637637,0.8860119047619047,0.036907428645756676,0.8987216729861658,0.04137193878559497,0.8911185588604944,0.026005222593942334,0.8909275703370259,0.033261273823362136,0.9228571428571429,0.04897127669402835,0.8776841586597686,0.042378765936809254,2.908983361055689,0.28487993771178294,0.5774992831020835,0.09326650806381831,False
student-mat,late,seq_cbf_light,seq_cbf_light,sequence,False,,3,32,64,class_balanced_focal_loss,False,none,0.15,64,,argmax,,0.0,0.879746835443038,0.8712787100211036,0.906881911192256,0.8845709845709845,0.9326923076923077,0.8818181818181818,2.9440994410833583,0.5845671578605827,0.7007301476182817,0.879746835443038,0.8712787100211036,0.906881911192256,0.8845709845709845,0.9326923076923077,0.8818181818181818,2.9440994410833583,0.5845671578605827,0.7007301476182817,0.8796130952380953,0.03592434367887425,0.875388026493099,0.03861456114362454,0.9068151561699949,0.023899188646018484,0.8843373506209545,0.03266223430694419,0.9323809523809524,0.03884967248451645,0.8823916981363789,0.04187009452577456,2.9312021062486258,0.2885138198221715,0.568051086255649,0.11376566541817483,False
student-mat,late,seq_cbf_light,seq_cbf_light,sequence,False,,3,32,64,class_balanced_focal_loss,False,none,0.15,64,,low_f1_tuned,0.49999999999999994,0.8659926073074479,0.870253164556962,0.8628272970265242,0.8962259005362454,0.8763282376804313,0.8942307692307693,0.8651162790697674,2.9740438310254875,0.5760734597372502,0.7007301476182817,0.870253164556962,0.8628272970265242,0.8962259005362454,0.8763282376804313,0.8942307692307693,0.8651162790697674,2.9740438310254875,0.5760734597372502,0.7007301476182817,0.8700892857142858,0.05466629925051204,0.8666538594255986,0.05452846647723151,0.8962672811059909,0.04434374778675376,0.8757547931209666,0.04930924477512903,0.8942857142857144,0.0970494415455771,0.8640254573311138,0.07446620128250106,2.9553959806529004,0.34438116560465465,0.5656409979035998,0.09645078337482635,False
student-mat,late,seq_cbf_light,seq_cbf_light,sequence,False,,3,32,64,class_balanced_focal_loss,False,none,0.15,64,,low_recall_priority,0.32499999999999996,0.9644268774703558,0.819620253164557,0.8420402870659484,0.8730407523510971,0.8338666164753121,1.0,0.8221343873517787,3.2719560208736986,0.48688962944226033,0.7007301476182817,0.819620253164557,0.8420402870659484,0.8730407523510971,0.8338666164753121,1.0,0.8221343873517787,3.2719560208736986,0.48688962944226033,0.7007301476182817,0.8194444444444444,0.03760431028724486,0.8462639573070607,0.03086171350567673,0.8732974910394266,0.020049270639350525,0.8335053409400752,0.035085777178084414,1.0,0.0,0.8231938627410326,0.03590136831637408,3.2670671748971083,0.1938277527231403,0.45713475196161824,0.15305996063750746,False
student-mat,late,seq_cbf_light,seq_cbf_light,sequence,False,,3,32,64,class_balanced_focal_loss,False,none,0.15,64,,balanced_low_macro,0.475,0.8825844268072682,0.8575949367088608,0.855108241670652,0.8927710220813668,0.8660674092074152,0.9423076923076923,0.8558951965065502,3.0837466936968214,0.5442220917747538,0.7007301476182817,0.8575949367088608,0.855108241670652,0.8927710220813668,0.8660674092074152,0.9423076923076923,0.8558951965065502,3.0837466936968214,0.5442220917747538,0.7007301476182817,0.8575892857142856,0.03478749533699742,0.8586298575284083,0.03076065045913843,0.8927137736815156,0.02778376626395392,0.8662928546402148,0.029823373173539204,0.9419047619047619,0.03668830530334898,0.8569016760118883,0.048954218527512944,3.074249313882832,0.246946803079637,0.5298435870348507,0.09880265503216992,False
student-por,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,argmax,,0.0,0.9094412331406551,0.9001301571249322,0.8628017773975859,0.8795514274220748,0.7125,0.7702702702702703,2.2180074030708443,0.5115358713153332,0.8397416339214597,0.9094412331406551,0.9001301571249322,0.8628017773975859,0.8795514274220748,0.7125,0.7702702702702703,2.2180074030708443,0.5115358713153332,0.8397416339214597,0.9093539955190441,0.022942422682004575,0.9013768757280118,0.0390716201025684,0.8627589864530163,0.03425069450796224,0.8789099281729212,0.03296892354488464,0.7125,0.1159202311936963,0.768205619412516,0.10023865361456649,2.2137571253795563,0.13985843953730498,0.5070774878094774,0.04725293649168165,False
student-por,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,low_f1_tuned,0.35,0.7984346395380898,0.9113680154142582,0.888416882276081,0.8891490827868074,0.8886272681512289,0.8125,0.7975460122699386,2.324888378616283,0.4633255666336389,0.8397416339214597,0.9113680154142582,0.888416882276081,0.8891490827868074,0.8886272681512289,0.8125,0.7975460122699386,2.324888378616283,0.4633255666336389,0.8397416339214597,0.9112584017923823,0.02932496434654141,0.8881609144923571,0.04011142076954162,0.8891120695225172,0.04744544759848656,0.8876509020898542,0.042356670088695154,0.8125,0.1479019945774904,0.7943372187584711,0.12225108149523778,2.3173965921762534,0.18732909719666946,0.46278532653123905,0.0318494218310438,False
student-por,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,low_recall_priority,0.05,0.9053284671532847,0.7533718689788054,0.7741074825134467,0.8516740328866078,0.7619444073569093,0.9875,0.5766423357664233,3.4622238835253243,-0.1901918968293288,0.8397416339214597,0.7533718689788054,0.7741074825134467,0.8516740328866078,0.7619444073569093,0.9875,0.5766423357664233,3.4622238835253243,-0.1901918968293288,0.8397416339214597,0.7533793876026886,0.030087356682931565,0.7762837527201413,0.008233670730951445,0.8516817966444832,0.013922516806945394,0.762771940386519,0.01994044973871722,0.9875,0.025,0.5799160111196546,0.04623122018575029,3.4540508938140837,0.23541894444197045,-0.20502370140359213,0.16983670439629858,False
student-por,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,balanced_low_macro,0.35,0.846825137143099,0.9113680154142582,0.888416882276081,0.8891490827868074,0.8886272681512289,0.8125,0.7975460122699386,2.324888378616283,0.4633255666336389,0.8397416339214597,0.9113680154142582,0.888416882276081,0.8891490827868074,0.8886272681512289,0.8125,0.7975460122699386,2.324888378616283,0.4633255666336389,0.8397416339214597,0.9112584017923823,0.02932496434654141,0.8881609144923571,0.04011142076954162,0.8891120695225172,0.04744544759848656,0.8876509020898542,0.042356670088695154,0.8125,0.1479019945774904,0.7943372187584711,0.12225108149523778,2.3173965921762534,0.18732909719666946,0.46278532653123905,0.0318494218310438,False
