dataset,task,stage,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,rows
student_por,EARLY_WARNING,S1_MID_G1_ONLY,cnn_bilstm,0.773497688751926,0.8208970378757442,0.7241925280762809,0.8208970378757442,0.7541803875993889,0.8140674208890959,0.773497688751926,0.7795354432991002,0.8530893401451235,0.9328329301195546,0.5102187287564417,0.3182628821663117,0.0548413219471656,0.7539696186580116,0.0039784893796439,0.7479081845843009,0.7598068331601423,649
student_por,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,0.7781201848998459,0.8201341660883646,0.7259084265545986,0.8201341660883646,0.757211187295304,0.8143989951194601,0.7781201848998459,0.7833118751023127,0.8349277816641166,0.9246297543878196,0.5434808889602019,0.3304898757884507,0.0475507441199547,0.757211187295304,0.0,0.757211187295304,0.757211187295304,649
student_por,EARLY_WARNING,S1_MID_G1_ONLY,mlp,0.8058551617873652,0.733444123841874,0.7757847533632286,0.733444123841874,0.7523371666173523,0.8027038064293701,0.8058551617873652,0.8026522213953937,0.8274153687855651,0.9222882492519684,0.4325137569262445,0.2664523294662806,0.0304457476226046,0.7360994014866254,0.0069117502032727,0.7259663036673024,0.7441596772621636,649
student_por,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,0.810477657935285,0.8214957936131099,0.7585055637772253,0.8214957936131099,0.783545566391818,0.8280178907191803,0.810477657935285,0.8144936825818174,0.8203914509688661,0.9224413618646364,0.5142322044220073,0.3025138714258972,0.0940169503863112,0.7790554551495305,0.0028229237884237,0.7754266049780147,0.7820600241500478,649
student_por,EARLY_WARNING,S1_MID_G1_ONLY,svm,0.8012326656394453,0.7429424011103402,0.76417547409072,0.7429424011103402,0.752930713800279,0.7992509815870534,0.8012326656394453,0.7997654309371331,0.803127417500562,0.9159242090678116,0.4600517328361759,0.2848044074418631,0.0296129333963619,0.7538733422053211,0.0024308637132333,0.7513627673291539,0.7581873697256493,649
student_por,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,0.8120184899845917,0.7512298963926124,0.7812204080421247,0.7512298963926124,0.7647507114873956,0.8092948172320454,0.8120184899845917,0.8097797066479916,0.8293819023456187,0.921044979522549,0.4405715049210339,0.2702871778780209,0.0421692218651334,0.7615053211355318,0.0050873161292448,0.7548545308607228,0.7701113320932457,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,0.827426810477658,0.8212519327465088,0.7758201628352491,0.8212519327465088,0.7954347771327063,0.838043995625454,0.827426810477658,0.8304365788007292,0.8451585645027683,0.9007125379207578,1.0386557816178497,0.2491467331724897,0.0999323039070224,0.7947474741496777,0.0029269614936983,0.7915732189070583,0.7993268987137258,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,0.8597842835130971,0.8019875330240939,0.8371087488399561,0.8019875330240939,0.8181733953864985,0.8582193698694992,0.8597842835130971,0.8580226588377352,0.8866282588139746,0.944883701809825,0.4699874133714677,0.2205835748084761,0.0861164760317335,0.8181733953864985,0.0,0.8181733953864985,0.8181733953864985,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,cnn_bilstm,0.8705701078582434,0.9006671780074753,0.8223053631158086,0.9006671780074753,0.8519466776181582,0.8921334633970069,0.8705701078582434,0.8745147483228287,0.9282971653010008,0.9669063159508332,0.3592110131521246,0.2057112160143152,0.031315891899077,0.8405575165697681,0.0077417872788067,0.8345777010373284,0.8556221272483208,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,0.8597842835130971,0.8908020745827093,0.8093417792541175,0.8908020745827093,0.8404435657780885,0.8813458677812186,0.8597842835130971,0.8633287408412522,0.9268420418438184,0.9646184848957524,0.3633993867052997,0.2102679273559551,0.0412860982447022,0.8404435657780885,0.0,0.8404435657780885,0.8404435657780885,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,mlp,0.884437596302003,0.8491799067411763,0.8557001923129679,0.8491799067411763,0.8520445326449201,0.8829534831664677,0.884437596302003,0.8834971785234772,0.9236846001059642,0.964516936617296,0.282846552794079,0.1632212711931591,0.0216032836715307,0.8374379046126386,0.0117424622786691,0.8230277020336213,0.8546817718239201,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,random_forest,0.8798151001540832,0.8815011505168194,0.8376700232091506,0.8815011505168194,0.8570554572996425,0.887117236692744,0.8798151001540832,0.8817063804581269,0.9258060189109352,0.9670963456623162,0.3111115519603301,0.1753678771730941,0.0478923592727838,0.8584093168712004,0.0032539651153966,0.8546810499251926,0.862056544380401,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,svm,0.8551617873651772,0.7682062894919465,0.8483849483849483,0.7682062894919465,0.799814559254787,0.8530621920452429,0.8551617873651772,0.8489617657292053,0.8772280256613237,0.9526647125980108,0.3688550778120457,0.2130190494063645,0.0625895260774849,0.8013843229328417,0.0020096820428423,0.799814559254787,0.8046644209148198,649
student_por,EARLY_WARNING,S2_LATE_G1_G2,xgboost,0.8798151001540832,0.829655697188843,0.8586275038843865,0.829655697188843,0.8428343826024025,0.8774828977609904,0.8798151001540832,0.8778819117597916,0.9240453789021053,0.96204812891834,0.2893637458181421,0.1650561071191824,0.0301429191887524,0.8443149580971239,0.0019073954896359,0.842655460300643,0.8470597071903078,649
