dataset,task,stage,model,class_index,class_name,precision,recall,f1,support
student_mat,EARLY_WARNING,S2_LATE_G1_G2,mlp,0.0,Low,0.8267716535433071,0.8076923076923077,0.8171206225680934,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,mlp,1.0,Medium,0.8393782383419689,0.84375,0.8415584415584415,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,mlp,2.0,High,0.8933333333333333,0.9178082191780822,0.9054054054054054,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,random_forest,0.0,Low,0.8444444444444444,0.8769230769230769,0.8603773584905661,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,random_forest,1.0,Medium,0.8877005347593583,0.8645833333333334,0.8759894459102903,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,random_forest,2.0,High,0.9315068493150684,0.9315068493150684,0.9315068493150684,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,svm,0.0,Low,0.8412698412698413,0.8153846153846154,0.828125,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,svm,1.0,Medium,0.8195121951219512,0.875,0.8463476070528967,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,svm,2.0,High,0.9375,0.821917808219178,0.8759124087591241,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,xgboost,0.0,Low,0.860655737704918,0.8076923076923077,0.8333333333333334,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,xgboost,1.0,Medium,0.8423645320197044,0.890625,0.8658227848101265,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,xgboost,2.0,High,0.9428571428571428,0.9041095890410958,0.9230769230769232,73.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0.0,Low,0.2514970059880239,0.42,0.3146067415730337,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,1.0,Medium,0.6853582554517134,0.5263157894736842,0.5953991880920162,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,2.0,High,0.3478260869565217,0.4274809160305343,0.3835616438356164,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,0.0,Low,0.3888888888888889,0.28,0.3255813953488372,100.0
