candidate_id,forecast_id,scope,code_module,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-C0,F1_EARLY,future_presentation,DDD,1436,0.44846796657381616,record_specific,0.7281122502992744,0.7409470752089137,0.7262689001819437,0.7833333333333333,0.5838509316770186,0.6690391459074733,0.8686868686868687,0.7196652719665272,0.7949099373550008,0.8149360452349581,0.17560914296211283,0.5274482929358205,0.04977106725833377,False,"[[688, 104], [268, 376]]"
C-C0,F1_EARLY,future_presentation,EEE,998,0.31462925851703405,record_specific,0.7454206860420292,0.7765531062124249,0.7499906879725854,0.6358208955223881,0.678343949044586,0.6563944530046225,0.8216374269005848,0.8476621417797888,0.7255010098806631,0.8247173799679666,0.1603046383935335,0.4953225471787133,0.1108286211076743,False,"[[562, 122], [101, 213]]"
C-C0,F1_EARLY,future_presentation,FFF,1799,0.3790994997220678,record_specific,0.7431167324942456,0.7726514730405781,0.7335513275242389,0.7692307692307693,0.5718475073313783,0.656013456686291,0.8952551477170994,0.7739938080495357,0.765905806285451,0.8167943039719399,0.16391229390506937,0.5011136076482436,0.04457671270230002,False,"[[1000, 117], [292, 390]]"
C-C0,F1_EARLY,future_presentation,GGG,702,0.36752136752136755,record_specific,0.5576739946533769,0.5598290598290598,0.6219882673371046,0.4482758620689655,0.8565891472868217,0.5885486018641811,0.38738738738738737,0.8229665071770335,0.6173711912501705,0.7211484740554508,0.2582082495932423,0.7194288207780459,0.2428548463389405,False,"[[172, 272], [37, 221]]"
C-C0,F2_MIDDLE,development_oof,AAA,332,0.16265060240963855,record_specific,0.6138733125649013,0.6626506024096386,0.7761790567545963,0.31875,0.9444444444444444,0.4766355140186916,0.6079136690647482,0.9825581395348837,0.6576780801290356,0.8682387423394617,0.23466443527366285,0.6649886469357305,0.3445729015798992,False,"[[169, 109], [3, 51]]"
C-C0,F2_MIDDLE,development_oof,BBB,4205,0.3816884661117717,record_specific,0.8085648107022936,0.8244946492271106,0.8010903426791277,0.8125450612833454,0.7021806853582554,0.7533422459893048,0.9,0.830376153300213,0.8617991391432801,0.8865239635753656,0.12700046452640243,0.39951413377907163,0.04375090827627215,False,"[[2340, 260], [478, 1127]]"
C-C0,F2_MIDDLE,development_oof,CCC,1133,0.440423654015887,record_specific,0.7960073521583657,0.7969991173874669,0.8000496260660122,0.7423423423423423,0.8256513026052105,0.7817836812144212,0.7744479495268138,0.8494809688581315,0.8936223698303458,0.8949254976830633,0.14299054501595423,0.435876178844704,0.1048623786750928,False,"[[491, 143], [87, 412]]"
C-C0,F2_MIDDLE,development_oof,DDD,2943,0.4651715936119606,record_specific,0.8073925575900768,0.8117567108392797,0.8051782851913352,0.8603006189213086,0.7107377647918188,0.7784,0.8996188055908514,0.7814569536423841,0.8928311490740002,0.8901253755558505,0.13078559719942306,0.40855325045226476,0.014447403266631017,False,"[[1416, 158], [396, 973]]"
C-C0,F2_MIDDLE,development_oof,EEE,1173,0.34185848252344414,record_specific,0.8446291560102301,0.8618925831202046,0.8405492098768623,0.8136482939632546,0.773067331670823,0.7928388746803069,0.9080310880829016,0.88510101010101,0.8942511849159691,0.9162133526287908,0.10481996978974706,0.34180268039717515,0.07573012522368582,False,"[[701, 71], [91, 310]]"
C-C0,F2_MIDDLE,development_oof,FFF,3956,0.3998988877654196,record_specific,0.8131505108534061,0.8245702730030333,0.807439315722263,0.8180515759312321,0.7218710493046776,0.7669576897246474,0.8930075821398483,0.828125,0.8825774511766963,0.899795455828364,0.12153241325255829,0.38403140667831176,0.044491350312253,False,"[[2120, 254], [440, 1142]]"
