candidate_id,forecast_id,scope,seed,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-L1,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8223256455841808,0.833203277409286,0.8167442564058752,0.8256645279560036,0.7361882968290291,0.7783634321265014,0.8973002159827214,0.8373475763378011,0.8848065271803052,0.9003397014933804,0.11946215610294146,0.37681130896457277,0.028804521208648633,False,"[[8309, 951], [1614, 4504]]"
C-L1,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.8680270048475558,0.8793044195477352,0.863873173753587,0.8528060714999002,0.8073359803365475,0.8294483294483295,0.9204103671706263,0.8932089708656467,0.9281168991950872,0.9425452067067761,0.08699617527231801,0.28455120006143225,0.045972477404505836,False,"[[8523, 737], [1019, 4270]]"
C-M0,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7395684464937485,0.7465893999758542,0.7374784071736069,0.7380660954712362,0.6599179206566348,0.6968077423082478,0.8150388936905791,0.7521435692921237,0.7953834590325594,0.8139853159912837,0.17364401868229243,0.5215269266450466,0.04082824731814349,False,"[[7544, 1712], [2486, 4824]]"
C-M0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8247385231856703,0.8338535570295227,0.8215546907930922,0.8096645228576395,0.7613599215429879,0.7847696066043299,0.8817494600431965,0.8483116883116883,0.8861663045768313,0.9008123622748296,0.12120662952525209,0.3821052696939625,0.04793608378228313,False,"[[8165, 1095], [1460, 4658]]"
C-M0,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.8749485325215987,0.886040277682315,0.8695296117660559,0.8684798051552669,0.8090376252599736,0.8377055599060298,0.9300215982721383,0.8950322178341301,0.9305913658428366,0.9447707189664191,0.08410193880386913,0.27614737126497735,0.03949474941755422,False,"[[8612, 648], [1010, 4279]]"
C-O0,F1_EARLY,development_oof,42,16566,0.4412652420620548,0.5,0.35845403144605376,0.5587347579379451,0.5,0.0,0.0,0.0,1.0,0.5587347579379451,0.439397833275574,0.49661209145071866,0.24656201788256116,0.6862555903951215,4.442770234702742e-06,True,"[[9256, 0], [7310, 0]]"
C-O0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,0.5,0.375842194983359,0.6021589283391858,0.5,0.0,0.0,0.0,1.0,0.6021589283391858,0.39576247627586797,0.49588893235059667,0.2395813362543515,0.6721637131695454,8.11900144559452e-06,True,"[[9260, 0], [6118, 0]]"
C-O0,F3_LATE,development_oof,42,14549,0.36353013952848995,0.5,0.3889285564282414,0.6364698604715101,0.5,0.0,0.0,0.0,1.0,0.6364698604715101,0.3606560361427348,0.4943301779192889,0.23140528553253017,0.6554856590606218,1.4411076468379136e-05,True,"[[9260, 0], [5289, 0]]"
C-R0,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7390050243184385,0.7457442955450924,0.7370385106063491,0.734910524719442,0.6629274965800274,0.6970655926352128,0.8111495246326706,0.7529081427998395,0.7973874442921594,0.8136166417583093,0.17241513028223213,0.517704744774709,0.02707227213702434,False,"[[7508, 1748], [2464, 4846]]"
C-R0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8200764398056182,0.8315775783586943,0.8138969242055274,0.8283693224125093,0.7273618829682903,0.7745865970409052,0.9004319654427646,0.8333000199880072,0.8859971912309135,0.9011615337526839,0.11800856528429413,0.38354617649115885,0.024901086778177997,False,"[[8338, 922], [1668, 4450]]"
C-R0,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.878579447495503,0.890439205443673,0.8699448241531489,0.8920008487163166,0.7948572508980903,0.8406318736252749,0.9450323974082073,0.8896909312728751,0.9328655428664011,0.9462187403907288,0.0803330236805176,0.2690367800319512,0.022610086362978336,False,"[[8751, 509], [1085, 4204]]"
