candidate_id,forecast_id,scope,code_presentation,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-H1,F1_EARLY,development_oof,2014B,5775,0.46683982683982683,record_specific,0.7270411562280532,0.7283116883116884,0.7269845358092486,0.7098696461824954,0.706973293768546,0.7084185095707117,0.7469957778499513,0.7443365695792881,0.779727454064368,0.7947021100149091,0.1846193683364653,0.5508880410479808,0.04346993580008999,False,"[[2300, 779], [790, 1906]]"
C-H1,F1_EARLY,future_presentation,2014J,8934,0.3892993060219387,record_specific,0.6519612239750421,0.6582717707633758,0.6608532434287411,0.5499647307782741,0.6725129384703853,0.6050963652826283,0.6491935483870968,0.7566759239478744,0.5417155737245726,0.7033858035595338,0.24329648929107972,0.7311153248533988,0.12281750995796721,False,"[[3542, 1914], [1139, 2339]]"
C-H1,F2_MIDDLE,development_oof,2013B,3621,0.4299917149958575,record_specific,0.8066163340117949,0.8091687379177023,0.8089418940717839,0.7627427184466019,0.8073217726396917,0.784399375975039,0.810562015503876,0.8479472883933097,0.8893978713565404,0.8949219080621151,0.13312299255175927,0.40742736072396163,0.06528910093711116,False,"[[1673, 391], [300, 1257]]"
C-H1,F2_MIDDLE,development_oof,2013J,6399,0.35677449601500233,record_specific,0.8249579754073407,0.8401312705110173,0.823353689138505,0.782258064516129,0.7647831800262812,0.773421926910299,0.8819241982507289,0.871130309575234,0.8751405214247863,0.9013725163427488,0.11678376111036695,0.37033875839423497,0.05892205776614423,False,"[[3630, 486], [537, 1746]]"
C-H1,F2_MIDDLE,development_oof,2014B,5358,0.4251586412840612,record_specific,0.8095925009438639,0.8133631952220978,0.8104574529947663,0.7747205503009458,0.7910447761194029,0.7827975673327541,0.8298701298701299,0.8430079155672823,0.8916810535765736,0.8980790280834179,0.1299084581407079,0.40515556668252,0.06583494771328956,False,"[[2556, 524], [476, 1802]]"
C-H1,F2_MIDDLE,future_presentation,2014J,8164,0.3317001469867712,record_specific,0.781037497769201,0.8031602155805977,0.7851229332443894,0.6924152394267739,0.731536189069424,0.711438319267373,0.8387096774193549,0.8629077880445031,0.820253860978261,0.8712412811285775,0.13724495386753788,0.4289444687844682,0.08346689410967637,False,"[[4576, 880], [727, 1981]]"
C-H1,F3_LATE,development_oof,2013B,3379,0.3891683930156851,record_specific,0.867474806218298,0.8777744894939331,0.8581435877030095,0.9019607843137255,0.7695817490494297,0.8305293393516618,0.9467054263565892,0.8657509968985379,0.9300163149837554,0.940162886491585,0.08884657298065933,0.286499223919605,0.01692370046646762,False,"[[1954, 110], [303, 1012]]"
C-H1,F3_LATE,development_oof,2013J,6122,0.3276706958510291,record_specific,0.875150841229817,0.8918654034629206,0.868983186494937,0.8582089552238806,0.80259222333001,0.8294693456980937,0.935374149659864,0.9067357512953368,0.9221947110910005,0.9433920057126967,0.0833490852649142,0.2746657787398152,0.052050815331948885,False,"[[3850, 266], [396, 1610]]"
C-H1,F3_LATE,development_oof,2014B,5048,0.3898573692551506,record_specific,0.872959553954939,0.8801505546751188,0.8699563140111921,0.8626929217668973,0.8236788617886179,0.8427345983883545,0.9162337662337663,0.8905017355632692,0.9375551386661655,0.9451895919121528,0.08816428904676807,0.28814929454951393,0.04805093727066445,False,"[[2822, 258], [347, 1621]]"
C-H1,F3_LATE,future_presentation,2014J,7613,0.2833311440956259,record_specific,0.8456740759925669,0.8771837646131617,0.8389077894789794,0.8030753968253969,0.750579508576727,0.7759405703330937,0.9272360703812317,0.9038770770055387,0.8863431100449375,0.9326247778833695,0.0929716141201928,0.3024098181019934,0.06765700869788739,False,"[[5059, 397], [538, 1619]]"
