forecast_id,outer_fold,scope,candidate_id,trial_id,state,inner_macro_f1,threshold,config,selected_epochs,refit_epochs
F2_MIDDLE,0,development_oof,C-R0,0,COMPLETE,0.819773687167845,0.5049999999999999,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
F2_MIDDLE,0,development_oof,C-R0,1,COMPLETE,0.8182000264870146,0.4899999999999999,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,
F2_MIDDLE,0,development_oof,C-H0,0,COMPLETE,0.8236533517311613,0.565,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",,
F2_MIDDLE,0,development_oof,C-H0,1,COMPLETE,0.8169335090387349,0.5199999999999999,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_leaf_nodes"": 31}",,
F2_MIDDLE,0,development_oof,C-M0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8138543289704139,0.5499999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[6, 7]",6.0
F2_MIDDLE,0,development_oof,C-C0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7967616589957848,0.5349999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[12, 12]",12.0
F2_MIDDLE,0,development_oof,C-L1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8146122419306571,0.575,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[12, 10]",11.0
F2_MIDDLE,0,development_oof,C-H1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8109278291280313,0.5499999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[11, 5]",8.0
F2_MIDDLE,0,development_oof,C-H2,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8210409927454971,0.5149999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}","[12, 11]",11.0
F2_MIDDLE,1,development_oof,C-L0,0,COMPLETE,0.8235881849925464,0.57,"{""C"": 0.1}",,
F2_MIDDLE,1,development_oof,C-L0,1,COMPLETE,0.8213464842000497,0.5299999999999999,"{""C"": 1.0}",,
F2_MIDDLE,1,development_oof,C-L0,2,COMPLETE,0.8224240169323591,0.6449999999999999,"{""C"": 10.0}",,
F2_MIDDLE,1,development_oof,C-R0,0,COMPLETE,0.8226317617677543,0.4299999999999999,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
F2_MIDDLE,1,development_oof,C-R0,1,COMPLETE,0.8217884641480993,0.4699999999999999,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,
F2_MIDDLE,1,development_oof,C-H0,0,COMPLETE,0.8284883716008444,0.4999999999999999,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",,
F2_MIDDLE,1,development_oof,C-H0,1,COMPLETE,0.8232128845726365,0.6,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_leaf_nodes"": 31}",,
