phase,architecture_id,outer_fold,seed,inner_fold,stage,gate_mean,gate_std,gate_fraction_near_zero,gate_fraction_near_one,aggregate_gate_mean,aggregate_gate_std,aggregate_gate_fraction_near_zero,aggregate_gate_fraction_near_one,static_gate_mean,static_gate_std,static_gate_fraction_near_zero,static_gate_fraction_near_one,temporal_norm_mean,temporal_norm_std,aggregate_norm_mean,aggregate_norm_std,static_norm_mean,static_norm_std,gamma_mean,gamma_std,gamma_max_abs,beta_mean,beta_std,beta_max_abs
screening,A0_SCALAR_GATE,2,42,1,L1_LATE_75PCT,0.7210063934326172,0.2883686125278473,0.0,0.423828125,0.9680033326148987,0.03229409456253052,0.0,0.84765625,0.47400951385498047,0.20797856152057648,0.0,0.0,5.767817497253418,0.553130030632019,6.294297695159912,1.4812566041946411,3.874011278152466,0.7379425168037415,,,,,,
screening,A1_VECTOR_GATE,0,42,0,E1_EARLY_20PCT,0.5031830072402954,0.16210433840751648,0.002907042572463768,0.001872452445652174,0.4933817982673645,0.16931785643100739,0.0044497282608695655,0.0009935461956521738,0.5129844546318054,0.15393172204494476,0.001364356884057971,0.002751358695652174,4.560564994812012,0.297903835773468,4.482776641845703,0.7281672954559326,3.5213043689727783,0.7490463256835938,,,,,,
screening,A1_VECTOR_GATE,0,42,0,E2_EARLY_35PCT,0.5038408041000366,0.15834876894950867,0.0017873941674506114,0.001283219661335842,0.5050805807113647,0.1687888354063034,0.002639934148635936,0.00046448730009407337,0.502600908279419,0.14715950191020966,0.0009348541862652869,0.0021019520225776106,4.591890811920166,0.35049188137054443,4.486705780029297,0.9305617809295654,3.5244266986846924,0.7551847100257874,,,,,,
screening,A1_VECTOR_GATE,0,42,0,M1_MIDDLE_FROZEN,0.5030447840690613,0.16574952006340027,0.0009135646072890275,0.0003562901968427207,0.5164139270782471,0.17802439630031586,0.0009592428376534788,0.00031061196647826935,0.48967552185058594,0.15131306648254395,0.0008678863769245761,0.0004019684272071721,4.705737590789795,0.3836146593093872,5.210521697998047,1.1745857000350952,3.528296947479248,0.7597488164901733,,,,,,
screening,A1_VECTOR_GATE,0,42,0,L1_LATE_75PCT,0.5037198066711426,0.17583627998828888,0.0007254806708938433,0.0004026897115974637,0.5280079245567322,0.1875845193862915,0.0005720750664757619,0.0007766158723665371,0.4794314503669739,0.15959005057811737,0.0008788862753119247,2.8763550828390264e-05,4.805327415466309,0.406387597322464,5.701030254364014,1.391599178314209,3.5303783416748047,0.7660843729972839,,,,,,
screening,A1_VECTOR_GATE,0,42,1,E1_EARLY_20PCT,0.5078571438789368,0.14755553007125854,9.883878546900416e-06,0.0,0.5109625458717346,0.14811785519123077,0.0,0.0,0.5047515034675598,0.1469254344701767,1.976775709380083e-05,0.0,4.210571765899658,0.27824950218200684,4.617359638214111,0.6565751433372498,3.308913469314575,0.6783913373947144,,,,,,
screening,A1_VECTOR_GATE,0,42,1,E2_EARLY_35PCT,0.5086326003074646,0.15266010165214539,0.0001289384846211553,0.0,0.5192461609840393,0.1539251208305359,0.0,0.0,0.49801886081695557,0.15063852071762085,0.0002578769692423106,0.0,4.28718900680542,0.3313255310058594,4.698366641998291,0.7255883812904358,3.3120546340942383,0.682364821434021,,,,,,
screening,A1_VECTOR_GATE,0,42,1,M1_MIDDLE_FROZEN,0.5089655518531799,0.16196580231189728,0.00047999561146869516,2.7428320655354007e-05,0.5317963361740112,0.1618979573249817,0.0,4.2666276574995126e-05,0.4861345887184143,0.15878406167030334,0.0009599912229373903,1.2190364735712893e-05,4.364696979522705,0.36073535680770874,5.303827285766602,0.8895413279533386,3.3116962909698486,0.6843257546424866,,,,,,
screening,A1_VECTOR_GATE,0,42,1,L1_LATE_75PCT,0.5087053775787354,0.1664314866065979,0.0005615784353880811,0.00023359103010444398,0.5413985848426819,0.16535091400146484,0.0,0.00046718206020888797,0.4760121703147888,0.1609976887702942,0.0011231568707761623,0.0,4.451530456542969,0.38326582312583923,5.332988739013672,1.0816422700881958,3.3145384788513184,0.6870648860931396,,,,,,
screening,A1_VECTOR_GATE,1,42,0,E1_EARLY_20PCT,0.533035397529602,0.20201124250888824,0.0009458129750271444,0.003732356134636265,0.5694710612297058,0.19891314208507538,0.00033365001809627215,0.005174402823018458,0.49659988284111023,0.19848309457302094,0.0015579759319580167,0.002290309446254072,8.226783752441406,0.6690150499343872,5.729458808898926,0.9760057330131531,3.7173714637756348,0.6641624569892883,,,,,,
screening,A1_VECTOR_GATE,1,42,0,E2_EARLY_35PCT,0.5321276783943176,0.20376552641391754,0.0006321317427385892,0.004240734628442097,0.5742400884628296,0.20082442462444305,0.0003418521312712184,0.006613070539419087,0.4900154769420624,0.19789756834506989,0.00092241135420596,0.0018683987174651076,8.258444786071777,0.5725537538528442,5.798097133636475,0.9760755896568298,3.718430995941162,0.6696317195892334,,,,,,
screening,A1_VECTOR_GATE,1,42,0,M1_MIDDLE_FROZEN,0.5302899479866028,0.2055448591709137,0.0002682926829268293,0.005413109756097561,0.5846635103225708,0.20242847502231598,0.00014939024390243902,0.009844512195121951,0.47591644525527954,0.19392560422420502,0.00038719512195121953,0.0009817073170731707,8.197334289550781,0.5568947196006775,6.078213691711426,1.0401129722595215,3.721517562866211,0.6735560894012451,,,,,,
screening,A1_VECTOR_GATE,1,42,0,L1_LATE_75PCT,0.5293099880218506,0.21000412106513977,0.00014277464065708419,0.0069317890143737165,0.5923895239830017,0.2064996063709259,0.0,0.013738449691991787,0.4662303328514099,0.19391566514968872,0.00028554928131416837,0.00012512833675564682,8.086978912353516,0.5703840851783752,6.238989353179932,1.243569016456604,3.7207164764404297,0.6774908304214478,,,,,,
screening,A1_VECTOR_GATE,1,42,1,E1_EARLY_20PCT,0.5585978031158447,0.22124294936656952,0.0024585482265653273,0.019073188110749185,0.5908411145210266,0.2220354825258255,0.0016908704306912777,0.03400119887803112,0.5263546705245972,0.21568001806735992,0.0032262260224393776,0.004145177343467246,8.730032920837402,0.3474872410297394,5.94601583480835,0.8995799422264099,3.733081340789795,0.6669466495513916,,,,,,
screening,A1_VECTOR_GATE,1,42,1,E2_EARLY_35PCT,0.5565181374549866,0.21932163834571838,0.0019406940284537625,0.018165305597154624,0.5931064486503601,0.22077831625938416,0.0014683171096967428,0.03336180269561962,0.519929826259613,0.21162109076976776,0.0024130709472107823,0.0029688084986896294,8.596115112304688,0.45389261841773987,5.759185791015625,0.9562269449234009,3.7382659912109375,0.6721354126930237,,,,,,
screening,A1_VECTOR_GATE,1,42,1,M1_MIDDLE_FROZEN,0.5538862943649292,0.21889632940292358,0.001216526535769829,0.0183056109059098,0.6002028584480286,0.22122029960155487,0.0010540192457231727,0.035180550155521,0.5075695514678955,0.20640331506729126,0.0013790338258164853,0.0014306716562986002,8.447610855102539,0.49462711811065674,5.846068382263184,1.1414355039596558,3.7396700382232666,0.6758378744125366,,,,,,
screening,A1_VECTOR_GATE,1,42,1,L1_LATE_75PCT,0.5489233732223511,0.22040686011314392,0.0006198875255623722,0.019865158486707567,0.6071197986602783,0.22345127165317535,0.0004026073619631902,0.03968877811860941,0.49072688817977905,0.2011324167251587,0.0008371676891615542,4.153885480572597e-05,8.296783447265625,0.5037682056427002,5.873762607574463,1.457129955291748,3.7432150840759277,0.6816990375518799,,,,,,
screening,A1_VECTOR_GATE,2,42,0,E1_EARLY_20PCT,0.5098167657852173,0.18208430707454681,0.0002409515602322206,0.00017575290275761974,0.5199934244155884,0.1929558515548706,0.00026929880261248186,9.0711175616836e-05,0.4996400475502014,0.16991259157657623,0.00021260431785195935,0.00026079462989840347,4.153388977050781,0.25125789642333984,5.423315525054932,0.663723886013031,3.5693728923797607,0.8662686944007874,,,,,,
screening,A1_VECTOR_GATE,2,42,0,E2_EARLY_35PCT,0.5110695362091064,0.18602073192596436,0.0004872661122661123,0.00011074229824229824,0.5295780301094055,0.1969299614429474,0.00016832829332829333,5.906255906255906e-06,0.49256107211112976,0.17245550453662872,0.0008062039312039312,0.00021557834057834058,4.151076316833496,0.2567862868309021,5.418227195739746,0.8155130743980408,3.575559377670288,0.8760263919830322,,,,,,
screening,A1_VECTOR_GATE,2,42,0,M1_MIDDLE_FROZEN,0.5127248167991638,0.19658736884593964,0.0008976193971422979,0.0002492537678606381,0.5445107817649841,0.20734058320522308,0.00017432472108044628,0.00023549128988060286,0.4809391498565674,0.17967301607131958,0.0016209140732041495,0.0002630162458406733,4.217626571655273,0.2558445334434509,6.048187255859375,1.0412384271621704,3.584550142288208,0.8800677061080933,,,,,,
screening,A1_VECTOR_GATE,2,42,0,L1_LATE_75PCT,0.5143262147903442,0.2065829187631607,0.0015451887566680345,0.0004279724045958145,0.5574416518211365,0.21641172468662262,0.00014426036109971277,0.00046804472712351253,0.4712108373641968,0.18655045330524445,0.002946117152236356,0.0003879000820681165,4.256596088409424,0.24891552329063416,6.39323616027832,1.3202736377716064,3.5852210521698,0.8836873769760132,,,,,,
