architecture_id,outer_fold,seed,stage,macro_f1,pr_auc,nll,brier,ece,roc_auc,research_threshold
A2_CONCAT_MLP,2,42,E2_EARLY_35PCT,0.7472417674256069,0.8003614907643783,0.4978949424375886,0.1649781951426363,0.025433717595806732,0.8189686141670475,0.4674542248249054
A2_CONCAT_MLP,2,42,M1_MIDDLE_FROZEN,0.7929991075960496,0.8502322588203947,0.4199498833280131,0.13501487484231797,0.007704972747015166,0.8672994895881239,0.4541683793067932
A2_CONCAT_MLP,2,42,L1_LATE_75PCT,0.8472277365027348,0.8961675287850195,0.32752883974722813,0.10054510731203616,0.01595449991161561,0.9122292454918546,0.37962332367897034
A3_FILM,0,42,E1_EARLY_20PCT,0.7065540267211365,0.7577666306034004,0.5640980412666645,0.1917570820474017,0.04823969860675701,0.7714436901084314,0.5226290822029114
A3_FILM,0,42,E2_EARLY_35PCT,0.7473000833851553,0.8068213499616559,0.49742309180438626,0.1655907416577788,0.03167251276096022,0.8186432195704602,0.5278068780899048
A3_FILM,0,42,M1_MIDDLE_FROZEN,0.7938261762551537,0.8552837022798756,0.4175652952077155,0.1348832555093738,0.011903383706449916,0.8691422817037524,0.4570508897304535
A3_FILM,0,42,L1_LATE_75PCT,0.8443551610756161,0.8995613183291374,0.32481988928180583,0.10079722204721873,0.010984778833109317,0.9141556967032864,0.4989503026008606
A3_FILM,1,42,E1_EARLY_20PCT,0.7073392796539408,0.758544428016185,0.559108291000641,0.18959567477075584,0.03788643516566425,0.7733744694380548,0.5042906403541565
A3_FILM,1,42,E2_EARLY_35PCT,0.7464918288628942,0.8079301302752218,0.4919118617071013,0.163095035589558,0.014012443867002114,0.8228717541202611,0.445081502199173
A3_FILM,1,42,M1_MIDDLE_FROZEN,0.7948408111384833,0.8573151671840145,0.4162061430745055,0.13435074194474939,0.022417719667558476,0.8705137135435325,0.4352884888648987
A3_FILM,1,42,L1_LATE_75PCT,0.8536540361353002,0.9049436346886206,0.31613734525891757,0.09729933516530324,0.014633307224292251,0.9171504903774981,0.3892875909805298
A3_FILM,2,42,E1_EARLY_20PCT,0.7073020161727055,0.7568507649197144,0.5670637793634746,0.19290787990239466,0.06413120492634708,0.7716653495500603,0.5070582628250122
A3_FILM,2,42,E2_EARLY_35PCT,0.7410646930074232,0.7992090122825771,0.5036480821628492,0.1676811017513428,0.04556712749549526,0.8183611003713988,0.5018149018287659
A3_FILM,2,42,M1_MIDDLE_FROZEN,0.7930256742809151,0.8531981247726734,0.4171060691975889,0.13453020972171714,0.01199461770862973,0.8693694417728464,0.45108288526535034
A3_FILM,2,42,L1_LATE_75PCT,0.8483569059031755,0.9002541504888866,0.32156018785042473,0.09892990284963753,0.008858804781319648,0.9143232557242014,0.46692726016044617
