outer_fold,trial_number,state,value,params,config,macro_f1,pr_auc,roc_auc,nll,brier,ece,selected_epochs,architecture_hash,parameter_count,outer_labels_used,failure_type
2,5,PRUNED,-0.44383076785484654,"{""batch_size"": 256, ""dropout"": 0.34533905507325124, ""learning_rate"": 0.0004751156469734412, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.15, ""pos_weight_strategy"": ""sqrt_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 1.0715678418106153e-08}","{""batch_size"": 256, ""dropout"": 0.34533905507325124, ""learning_rate"": 0.0004751156469734412, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.15, ""pos_weight_strategy"": ""sqrt_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 1.0715678418106153e-08}",,,,,,,,,,False,PRUNED
2,6,PRUNED,-0.44724353102675546,"{""batch_size"": 256, ""dropout"": 0.24189651023095282, ""learning_rate"": 0.0003848249930929579, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.15, ""weight_decay"": 0.0002773849103507586}","{""batch_size"": 256, ""dropout"": 0.24189651023095282, ""learning_rate"": 0.0003848249930929579, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.15, ""weight_decay"": 0.0002773849103507586}",,,,,,,,,,False,PRUNED
2,7,COMPLETE,0.7947318320790314,"{""batch_size"": 256, ""dropout"": 0.12811574807037257, ""learning_rate"": 0.0019321818444596368, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""survival_weight"": 0.0, ""weight_decay"": 3.07150311910072e-08}","{""batch_size"": 256, ""dropout"": 0.12811574807037257, ""learning_rate"": 0.0019321818444596368, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.0, ""weight_decay"": 3.07150311910072e-08}",0.7947318320790314,0.8536652643163338,0.8675592656984618,0.4174200963669416,0.13426482275406962,0.011236557794807854,"[5, 12]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,8,PRUNED,-0.43756590143299295,"{""batch_size"": 256, ""dropout"": 0.10166396585605182, ""learning_rate"": 0.0005616445799943079, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""sqrt_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 0.00045168844368565484}","{""batch_size"": 256, ""dropout"": 0.10166396585605182, ""learning_rate"": 0.0005616445799943079, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""sqrt_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 0.00045168844368565484}",,,,,,,,,,False,PRUNED
2,9,PRUNED,-0.46416918767218956,"{""batch_size"": 256, ""dropout"": 0.20648798825383718, ""learning_rate"": 0.0002363216933439414, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.15, ""survival_weight"": 0.0, ""weight_decay"": 2.145832440064092e-07}","{""batch_size"": 256, ""dropout"": 0.20648798825383718, ""learning_rate"": 0.0002363216933439414, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.15, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.0, ""weight_decay"": 2.145832440064092e-07}",,,,,,,,,,False,PRUNED
2,10,PRUNED,-0.537050587936158,"{""batch_size"": 256, ""dropout"": 0.25588252156569136, ""learning_rate"": 0.00010115836230921777, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""full_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 8.361140888451498e-06}","{""batch_size"": 256, ""dropout"": 0.25588252156569136, ""learning_rate"": 0.00010115836230921777, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""full_ratio"", ""survival_weight"": 0.15, ""weight_decay"": 8.361140888451498e-06}",,,,,,,,,,False,PRUNED
2,11,PRUNED,-0.4191521985917707,"{""batch_size"": 128, ""dropout"": 0.1413506129866608, ""learning_rate"": 0.0019423462396620551, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.1, ""weight_decay"": 1.908254606512506e-05}","{""batch_size"": 128, ""dropout"": 0.1413506129866608, ""learning_rate"": 0.0019423462396620551, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 1.908254606512506e-05}",,,,,,,,,,False,PRUNED
2,12,COMPLETE,0.7952321495752546,"{""batch_size"": 128, ""dropout"": 0.1498158087885302, ""learning_rate"": 0.0010965392002913244, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.1, ""weight_decay"": 6.255197325943626e-05}","{""batch_size"": 128, ""dropout"": 0.1498158087885302, ""learning_rate"": 0.0010965392002913244, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 6.255197325943626e-05}",0.7952321495752546,0.8545458403096124,0.8690453913670845,0.41539706038843005,0.13376577957425806,0.015435944436692876,"[7, 5]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,13,COMPLETE,0.7941998525872066,"{""batch_size"": 128, ""dropout"": 0.10130900005687284, ""learning_rate"": 0.001094026728069537, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.1, ""weight_decay"": 4.349755045903552e-06}","{""batch_size"": 128, ""dropout"": 0.10130900005687284, ""learning_rate"": 0.001094026728069537, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 4.349755045903552e-06}",0.7941998525872066,0.8547737893947884,0.8692290779071634,0.4150608423484298,0.13368411820834064,0.011806665789614573,"[7, 5]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,14,PRUNED,-0.4225453667885153,"{""batch_size"": 256, ""dropout"": 0.18870333178102766, ""learning_rate"": 0.00138927426437742, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.15, ""weight_decay"": 6.809743121749979e-05}","{""batch_size"": 256, ""dropout"": 0.18870333178102766, ""learning_rate"": 0.00138927426437742, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.15, ""weight_decay"": 6.809743121749979e-05}",,,,,,,,,,False,PRUNED
2,15,PRUNED,-0.43344536185011645,"{""batch_size"": 128, ""dropout"": 0.21955858162270303, ""learning_rate"": 0.0007385839444696393, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.1, ""weight_decay"": 1.769445753363962e-05}","{""batch_size"": 128, ""dropout"": 0.21955858162270303, ""learning_rate"": 0.0007385839444696393, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 1.769445753363962e-05}",,,,,,,,,,False,PRUNED
2,16,PRUNED,-0.416379456369015,"{""batch_size"": 128, ""dropout"": 0.1659803884075432, ""learning_rate"": 0.0013610581219501091, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""survival_weight"": 0.0, ""weight_decay"": 0.0001227905854264209}","{""batch_size"": 128, ""dropout"": 0.1659803884075432, ""learning_rate"": 0.0013610581219501091, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.0, ""weight_decay"": 0.0001227905854264209}",,,,,,,,,,False,PRUNED
2,17,PRUNED,-0.4312796840444936,"{""batch_size"": 256, ""dropout"": 0.12594424068025367, ""learning_rate"": 0.0007413146754093832, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.15, ""survival_weight"": 0.2, ""weight_decay"": 1.215766407952681e-06}","{""batch_size"": 256, ""dropout"": 0.12594424068025367, ""learning_rate"": 0.0007413146754093832, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.15, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.2, ""weight_decay"": 1.215766407952681e-06}",,,,,,,,,,False,PRUNED
