candidate_id,seed,outer_fold,actual,predicted,count
N0,123,1,2,2,10
N0,123,2,0,0,16
N0,123,2,0,1,5
N0,123,2,0,2,0
N0,123,2,1,0,3
N0,123,2,1,1,27
N0,123,2,1,2,1
N0,123,2,2,0,0
N0,123,2,2,1,1
N0,123,2,2,2,10
N0,123,3,0,0,20
N0,123,3,0,1,1
N0,123,3,0,2,0
N0,123,3,1,0,5
N0,123,3,1,1,26
N0,123,3,1,2,0
N0,123,3,2,0,0
N0,123,3,2,1,7
N0,123,3,2,2,4
N0,123,4,0,0,14
N0,123,4,0,1,6
N0,123,4,0,2,0
N0,123,4,1,0,2
N0,123,4,1,1,25
N0,123,4,1,2,4
N0,123,4,2,0,0
N0,123,4,2,1,0
N0,123,4,2,2,12
N0,155,0,0,0,19
N0,155,0,0,1,2
N0,155,0,0,2,0
N0,155,0,1,0,6
N0,155,0,1,1,25
N0,155,0,1,2,0
N0,155,0,2,0,0
N0,155,0,2,1,1
N0,155,0,2,2,11
N0,155,1,0,0,18
N0,155,1,0,1,3
N0,155,1,0,2,0
N0,155,1,1,0,5
N0,155,1,1,1,23
N0,155,1,1,2,2
N0,155,1,2,0,0
N0,155,1,2,1,2
N0,155,1,2,2,10
N0,155,2,0,0,18
N0,155,2,0,1,3
N0,155,2,0,2,0
N0,155,2,1,0,5
N0,155,2,1,1,25
N0,155,2,1,2,1
N0,155,2,2,0,0
N0,155,2,2,1,1
N0,155,2,2,2,10
N0,155,3,0,0,21
N0,155,3,0,1,0
N0,155,3,0,2,0
N0,155,3,1,0,4
N0,155,3,1,1,27
N0,155,3,1,2,0
N0,155,3,2,0,0
N0,155,3,2,1,2
N0,155,3,2,2,9
N0,155,4,0,0,14
N0,155,4,0,1,6
N0,155,4,0,2,0
N0,155,4,1,0,2
N0,155,4,1,1,24
N0,155,4,1,2,5
N0,155,4,2,0,0
N0,155,4,2,1,0
N0,155,4,2,2,12
N1,42,0,0,0,21
N1,42,0,0,1,0
N1,42,0,0,2,0
N1,42,0,1,0,10
N1,42,0,1,1,21
N1,42,0,1,2,0
N1,42,0,2,0,0
N1,42,0,2,1,1
N1,42,0,2,2,11
N1,42,1,0,0,21
N1,42,1,0,1,0
N1,42,1,0,2,0
N1,42,1,1,0,13
N1,42,1,1,1,14
N1,42,1,1,2,3
N1,42,1,2,0,0
N1,42,1,2,1,1
N1,42,1,2,2,11
N1,42,2,0,0,18
N1,42,2,0,1,3
N1,42,2,0,2,0
N1,42,2,1,0,4
N1,42,2,1,1,24
N1,42,2,1,2,3
N1,42,2,2,0,0
