dataset,model,model_family,prediction_stage,stage_label,protocol_id,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,nll,brier,ece
student_mat,XGBoost,xgboost,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8658227848101265,0.8674756322444678,0.8819591375272551,0.8674756322444678,0.8740776804067943,0.8657111984847924,0.9457949841759926,0.9669373296207544,0.319085925240297,0.1940748735583337,0.028286308013394
student_por,CNN-BiLSTM,cnn_bilstm,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5115562403697997,0.5885697067095218,0.5105695524152233,0.5885697067095218,0.5088862277534547,0.5199936734429658,0.4970259398114113,0.7086340026123209,0.9593888658907416,0.6122519923849311,0.1496708447971817
student_por,Decision Tree,decision_tree,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4899845916795069,0.4579322351680728,0.4282271161320863,0.4579322351680728,0.4311891911668888,0.5093745918678457,0.4368581164779015,0.630438871492551,4.103627253280518,0.6763344334339647,0.2225495337018312
student_por,HistGradientBoosting,hist_gradient_boosting,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5963020030816641,0.44600630653664,0.4859134937765835,0.44600630653664,0.4586335978494562,0.5772718424654323,0.4617281420843384,0.6435136114169135,1.1627422814349178,0.606680649119626,0.2117348025204454
student_por,Logistic Regression,logistic_regression,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4268104776579353,0.5514179967615082,0.4750878446250695,0.5514179967615082,0.4350604201757209,0.4168520463186213,0.4898441864844238,0.6802212706994971,0.9921334973141044,0.6220063707113146,0.1133188019383256
student_por,MLP,mlp,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.6409861325115562,0.4034211135054847,0.5498976014439932,0.4034211135054847,0.4002416046878521,0.5688123674952156,0.507287481667945,0.701215913389959,0.7943658942273174,0.4875353260885288,0.0606421781235036
student_por,Random Forest,random_forest,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5084745762711864,0.5882720333102013,0.5220536592218007,0.5882720333102013,0.508215391459486,0.517228837181338,0.5165690127270833,0.7161395557901167,0.9296577691567596,0.5719715989645038,0.0418094682452937
student_por,SVM,svm,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.6086286594761171,0.4352540268088681,0.4931094754734529,0.4352540268088681,0.4492991583132428,0.5799641469634308,0.4688769113412062,0.67322201650551,0.8792870743809124,0.5371142202551853,0.1426245012763951
student_por,XGBoost,xgboost,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.6456086286594761,0.4384995799700501,0.5595213263805322,0.4384995799700501,0.4533470507544582,0.5955426835841149,0.5168320704641282,0.7019357673006755,0.7994783509849298,0.4853704742032169,0.0746894825959673
student_por,CNN-BiLSTM,cnn_bilstm,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.773497688751926,0.8208970378757442,0.7241925280762809,0.8208970378757442,0.7541803875993889,0.7795354432991002,0.8530893401451235,0.9328329301195546,0.5102187287564417,0.3182628821663117,0.0548413219471656
student_por,Decision Tree,decision_tree,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7426810477657936,0.7757561147838367,0.6908904261359702,0.7757561147838367,0.7198064752379945,0.7481683842257706,0.7089588208637888,0.8516418503996963,3.179068303797295,0.3877351244733515,0.1486471043211097
student_por,HistGradientBoosting,hist_gradient_boosting,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7565485362095532,0.6608131536335634,0.7144421736367393,0.6608131536335634,0.6832892825942233,0.7503595030664729,0.7632393022987921,0.8849384181533987,0.7141485469467678,0.3693004463455969,0.1429253654976264
student_por,Logistic Regression,logistic_regression,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7781201848998459,0.8201341660883646,0.7259084265545986,0.8201341660883646,0.757211187295304,0.7833118751023127,0.8349277816641166,0.9246297543878196,0.5434808851841012,0.3304898764527194,0.0475507478649969
student_por,MLP,mlp,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.8058551617873652,0.733444123841874,0.7757847533632286,0.733444123841874,0.7523371666173523,0.8026522213953937,0.8274153687855651,0.9222882492519684,0.4325137567843637,0.2664523297483898,0.0304457477642096
student_por,Random Forest,random_forest,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.810477657935285,0.8214957936131099,0.7585055637772253,0.8214957936131099,0.783545566391818,0.8144936825818174,0.8203914509688661,0.9224413618646364,0.5142322044220073,0.3025138714258972,0.0940169503863112
student_por,SVM,svm,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.8012326656394453,0.7429424011103402,0.76417547409072,0.7429424011103402,0.752930713800279,0.7997654309371331,0.803127417500562,0.9159242090678116,0.4600517328361759,0.2848044074418631,0.0296129333963619
student_por,XGBoost,xgboost,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.8120184899845917,0.7512298963926124,0.7812204080421247,0.7512298963926124,0.7647507114873956,0.8097797066479916,0.8293819023456187,0.921044979522549,0.4405715049210339,0.2702871778780209,0.0421692218651334
student_por,CNN-BiLSTM,cnn_bilstm,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8705701078582434,0.9006671780074753,0.8223053631158086,0.9006671780074753,0.8519466776181582,0.8745147483228287,0.9282971653010008,0.9669063159508332,0.3592110131521246,0.2057112160143152,0.0313158918990769
student_por,Decision Tree,decision_tree,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.827426810477658,0.8212519327465088,0.7758201628352491,0.8212519327465088,0.7954347771327063,0.8304365788007292,0.8448710058758649,0.9106753432937764,2.051819578011148,0.2491467687036768,0.0999324494937186
student_por,HistGradientBoosting,hist_gradient_boosting,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8597842835130971,0.8019875330240939,0.8371087488399561,0.8019875330240939,0.8181733953864985,0.8580226588377352,0.8866282588139746,0.944883701809825,0.4699874131395251,0.2205835749552863,0.0861164762635641
student_por,Logistic Regression,logistic_regression,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8597842835130971,0.8908020745827093,0.8093417792541175,0.8908020745827093,0.8404435657780885,0.8633287408412522,0.9268420418438184,0.9646184848957524,0.3633993666078953,0.2102679289425792,0.0412861178582193
student_por,MLP,mlp,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.884437596302003,0.8491799067411763,0.8557001923129679,0.8491799067411763,0.8520445326449201,0.8834971785234772,0.9236846001059642,0.964516936617296,0.2828465498241753,0.1632212711865524,0.0216032807049597
student_por,Random Forest,random_forest,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8798151001540832,0.8815011505168194,0.8376700232091506,0.8815011505168194,0.8570554572996425,0.8817063804581269,0.9258060189109352,0.9670963456623162,0.3111115511899142,0.1753678771051721,0.0478923585419871
student_por,SVM,svm,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8551617873651772,0.7682062894919465,0.8483849483849483,0.7682062894919465,0.799814559254787,0.8489617657292053,0.8772280256613237,0.9526647125980108,0.3688550778120456,0.2130190494063644,0.0625895260774849
student_por,XGBoost,xgboost,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8798151001540832,0.829655697188843,0.8586275038843865,0.829655697188843,0.8428343826024025,0.8778819117597916,0.9240453789021053,0.96204812891834,0.2893637458181421,0.1650561071191823,0.0301429191887524
