model,model_family,prediction_stage,protocol_id,source_role,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,nll,brier,ece,risk_precision,risk_recall,risk_f1,stage,observation_percentage
SVM,svm,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7616262184689289,0.7437344273708885,0.7611616580995726,0.7437344273708885,0.7481399934316473,0.7575371233052693,0.804475968770305,0.8243327831632362,0.4973731476784152,0.1639473758243898,0.0288068098911503,0.7592278908869098,0.6323772149866403,0.6898665961271394,E2,35
XGBoost,xgboost,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7643369234078685,0.7485057376080557,0.762197035244609,0.7485057376080557,0.7524274776839306,0.7611814790547718,0.818222542455596,0.8324042257344901,0.4796054757086308,0.1587633969814122,0.0178853221830885,0.7542018788081437,0.6500323817167578,0.6981421308941371,E2,35
Decision Tree,decision_tree,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7748724535973707,0.7475287593872361,0.7746441163225763,0.7475287593872361,0.7546990688589096,0.7690732686511934,0.7699904823355586,0.8077970181832673,0.8479797288450263,0.1758005866060611,0.1066303900915012,0.7738921877384416,0.6135067913003308,0.6843531440186558,M1,50
H1 Tabular Residual Hybrid,cnn_bilstm,M1_MIDDLE_FROZEN,h1_final_outer_v1,protocol_matched_h1_comparator,0.80626334384366,0.7893989864052583,0.8022252023676643,0.7893989864052583,0.7939529749949714,0.8042237467085528,0.8614981669261308,0.8757708093252691,0.4078442130774767,0.1314677247044063,0.0176059179003302,0.7858564937895239,0.7071350035706702,0.7438176921103631,M1,50
HistGradientBoosting,hist_gradient_boosting,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8039344651711127,0.7916592491573726,0.7965642398714055,0.7916592491573726,0.7937570347974517,0.8031187258674596,0.8608873687536726,0.8744991245871848,0.4078420654628701,0.1317184375659797,0.0148457557116457,0.7655246245490802,0.731348979222694,0.7479484120303775,M1,50
Logistic Regression,logistic_regression,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.798337319776449,0.7874408129997786,0.7900572335451587,0.7874408129997786,0.788616848869561,0.7978836433985226,0.8518617878141402,0.8687417652092911,0.4295827777188226,0.1391314830290796,0.0523352264020638,0.7530029092793403,0.7339345552873069,0.743288911854039,M1,50
MLP,mlp,M1_MIDDLE_FROZEN,h1_final_outer_v1,protocol_matched_h1_comparator,0.8107002718015105,0.787969747189092,0.8121359840938256,0.787969747189092,0.7955048792562015,0.8069005679093989,0.861968599615435,0.8755411386614615,0.4073802781593781,0.1312743529801383,0.0141033272660351,0.8160358412174605,0.6769095906684649,0.7398314089211809,M1,50
Random Forest,random_forest,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7996362970314644,0.7882813299158405,0.7916143382063415,0.7882813299158405,0.7897434247853409,0.7990650749730271,0.8560900689110215,0.870629749863137,0.4168934806498905,0.1340962982831983,0.0243362195330826,0.756357550985237,0.7324780146906313,0.7441383057526805,M1,50
SVM,svm,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8015274555222822,0.7913932416793369,0.7932017687480224,0.7913932416793369,0.7922353074742938,0.801220523220994,0.8523222321252854,0.8703572481404352,0.4231620939243317,0.1343534684958042,0.0246663830282515,0.75504912960759,0.7417372292335905,0.7483088775731255,M1,50
XGBoost,xgboost,M1_MIDDLE_FROZEN,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8004866735152792,0.7902474080702374,0.7921644380402578,0.7902474080702374,0.791110160218004,0.8001559147797357,0.8621328713406582,0.8759518832827228,0.4059108116857449,0.1310036921633945,0.0161897006448622,0.7540069425691353,0.7399798373712398,0.7468633901007333,M1,50
Decision Tree,decision_tree,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8176206598145926,0.8058584873041387,0.8037972413208422,0.8058584873041387,0.8045919213872074,0.817977503109415,0.8460764037374858,0.8740753450700095,0.6023584482535541,0.1286685653821972,0.0811698861507012,0.7475218402700418,0.7616181082665547,0.7542394993846179,L1,75
H1 Tabular Residual Hybrid,cnn_bilstm,L1_LATE_75PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.8663519707673771,0.8384508137538983,0.8730368549386095,0.8384508137538983,0.8503327120764504,0.863292195232812,0.9060904561571352,0.9194012429226516,0.3131228371262424,0.096264912288328,0.0136177231127155,0.8867002215346586,0.7335275212023228,0.8015496877602367,L1,75
HistGradientBoosting,hist_gradient_boosting,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.837442762027813,0.8355870507321413,0.8239337830932062,0.8355870507321413,0.8284440413673929,0.838878616241277,0.9064765033905662,0.9193657499430504,0.3124499587252075,0.0963263351051813,0.0140545428185445,0.7535082393688302,0.8285041559761709,0.7891688274227987,L1,75
Logistic Regression,logistic_regression,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8348487372218202,0.8314398885450437,0.8211510406283361,0.8314398885450437,0.8252879473720528,0.8361380227513845,0.9001748290973738,0.9134503492874316,0.3296654133622555,0.1024030663799673,0.0366256473648312,0.7532029960256907,0.8184901305602743,0.7844328702479929,L1,75
MLP,mlp,L1_LATE_75PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.8705250438344664,0.8395215425240389,0.8813684070322768,0.8395215425240389,0.8536586282550352,0.8668335584619505,0.9079161280226126,0.921283321766306,0.3096353984080226,0.0953006868706884,0.0154746979795967,0.9067923262833084,0.7226856296055085,0.8040159660869235,L1,75
Random Forest,random_forest,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8399041575359701,0.8361558748675667,0.82641781879294,0.8361558748675667,0.8304379926547195,0.8410785941297022,0.9037730581894694,0.9167425739827976,0.3189619496041447,0.0983789169483238,0.0275645966336047,0.7611872987712193,0.8219816522471879,0.7903883865372897,L1,75
SVM,svm,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8415410339628532,0.8388127460244416,0.828126804716743,0.8388127460244416,0.8324247455354504,0.8428058494064751,0.8970311615026357,0.9106478000444452,0.3398085659123799,0.1004197412039435,0.0441363187384408,0.76116603316361,0.8284811907628772,0.7933564754112806,L1,75
XGBoost,xgboost,L1_LATE_75PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.8409332509943046,0.8389657413656121,0.8275117966629274,0.8389657413656121,0.8320260632151449,0.842296646359248,0.907661888104766,0.9207907243035268,0.3102435638583272,0.0956498110357209,0.0155947497328327,0.7585379161952845,0.8316128743660548,0.7933805019773614,L1,75
